activityId,activity,evidenceKind,plannedStatus,ledgerStatus,moduleId,moduleName,reviewerName,evidenceRef,evidenceNote,reviewedAt,residualAction
design_review:structure_containment,Review Airframe Structure And Payload Mounting architecture allocation,design_review,ready_for_review,pending,structure_containment,Airframe Structure And Payload Mounting,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:structure_containment,Collect source-backed evidence for Airframe Structure And Payload Mounting critical components,source_evidence,blocked,source_evidence_required,structure_containment,Airframe Structure And Payload Mounting,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:energy_storage_source,Review Flight Energy Storage architecture allocation,design_review,ready_for_review,pending,energy_storage_source,Flight Energy Storage,,,,,Collect reviewer evidence through the verification intake template.
calculation:energy_storage_source,Verify Flight Energy Storage requirement calculations,calculation,open,pending,energy_storage_source,Flight Energy Storage,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:energy_storage_source,Collect source-backed evidence for Flight Energy Storage critical components,source_evidence,blocked,source_evidence_required,energy_storage_source,Flight Energy Storage,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:actuation_kinematics,Review Propulsion And Flight Actuation architecture allocation,design_review,ready_for_review,pending,actuation_kinematics,Propulsion And Flight Actuation,,,,,Collect reviewer evidence through the verification intake template.
calculation:actuation_kinematics,Verify Propulsion And Flight Actuation requirement calculations,calculation,open,pending,actuation_kinematics,Propulsion And Flight Actuation,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:actuation_kinematics,Collect source-backed evidence for Propulsion And Flight Actuation critical components,source_evidence,blocked,source_evidence_required,actuation_kinematics,Propulsion And Flight Actuation,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:control_compute_communication,Review Flight Control Compute And Communications architecture allocation,design_review,ready_for_review,pending,control_compute_communication,Flight Control Compute And Communications,,,,,Collect reviewer evidence through the verification intake template.
calculation:control_compute_communication,Verify Flight Control Compute And Communications requirement calculations,calculation,open,pending,control_compute_communication,Flight Control Compute And Communications,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:control_compute_communication,Collect source-backed evidence for Flight Control Compute And Communications critical components,source_evidence,blocked,source_evidence_required,control_compute_communication,Flight Control Compute And Communications,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:sensing_instrumentation,Review Navigation And Cinematography Sensing architecture allocation,design_review,ready_for_review,pending,sensing_instrumentation,Navigation And Cinematography Sensing,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:sensing_instrumentation,Collect source-backed evidence for Navigation And Cinematography Sensing critical components,source_evidence,blocked,source_evidence_required,sensing_instrumentation,Navigation And Cinematography Sensing,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:power_distribution,Review Aircraft Power Distribution architecture allocation,design_review,ready_for_review,pending,power_distribution,Aircraft Power Distribution,,,,,Collect reviewer evidence through the verification intake template.
design_review:safety_protection,Review Flight Safety And Containment architecture allocation,design_review,ready_for_review,pending,safety_protection,Flight Safety And Containment,,,,,Collect reviewer evidence through the verification intake template.
design_review:maintenance_serviceability,Review Field Maintenance And Serviceability architecture allocation,design_review,ready_for_review,pending,maintenance_serviceability,Field Maintenance And Serviceability,,,,,Collect reviewer evidence through the verification intake template.
design_review:hmi_ergonomics,Review Ground Operator Interface architecture allocation,design_review,ready_for_review,pending,hmi_ergonomics,Ground Operator Interface,,,,,Collect reviewer evidence through the verification intake template.
interface_review:energy_storage_source:actuation_kinematics:power_bus,Verify power_bus interface contract,interface_review,ready_for_review,pending,energy_storage_source:actuation_kinematics,Flight Energy Storage -> Propulsion And Flight Actuation,,,,,Collect reviewer evidence through the verification intake template.
interface_review:control_compute_communication:actuation_kinematics:motor_drive,Verify motor_drive interface contract,interface_review,ready_for_review,pending,control_compute_communication:actuation_kinematics,Flight Control Compute And Communications -> Propulsion And Flight Actuation,,,,,Collect reviewer evidence through the verification intake template.
interface_review:control_compute_communication:sensing_instrumentation:sensor_bus,Verify sensor_bus interface contract,interface_review,ready_for_review,pending,control_compute_communication:sensing_instrumentation,Flight Control Compute And Communications -> Navigation And Cinematography Sensing,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:UK-UAS,Plan evidence for UK-UAS,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:CE-EMC,Plan evidence for CE-EMC,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
risk_review:1,Review risk control for Loss of propulsion,compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
risk_review:2,Review risk control for Battery thermal event,compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
