moduleId,moduleName,verdict,subModuleCount,componentWordCount,interfaceCount,linkedRequirementCount,requiredInterfaceContracts,carrierCompleteInterfaceContracts,blockedAllocationRows,reviewQuestions,acceptedReviewQuestions,blockedReviewQuestions,linkedCalculationRows,assumptionReviewRows,criticalBomLines,unpricedCriticalLines,passRatio,blockers,requiredAction
skin_patient_interface,Skin Patient Interface,review,3,12,5,1,3,3,0,11,0,0,1,6,1,1,0.86,,1 critical BoM line(s) need source-backed cost evidence. 11 engineering review question(s) await acceptance. 6 assumption row(s) need review or source evidence.
sensing_instrumentation,Glucose Sensing Instrumentation,review,3,12,6,2,4,4,0,18,0,0,3,12,3,3,0.86,,3 critical BoM line(s) need source-backed cost evidence. 18 engineering review question(s) await acceptance. 12 assumption row(s) need review or source evidence.
actuation_kinematics,Applicator Insertion Mechanism,review,3,12,4,0,1,1,0,6,0,0,0,3,1,1,0.71,,1 critical BoM line(s) need source-backed cost evidence. 6 engineering review question(s) await acceptance. 3 assumption row(s) need review or source evidence.
structure_containment,Transmitter Housing Structure,review,3,12,5,0,0,0,0,5,0,0,0,1,1,1,0.71,,1 critical BoM line(s) need source-backed cost evidence. 5 engineering review question(s) await acceptance. 1 assumption row(s) need review or source evidence.
energy_storage_source,Wearable Energy Source,review,3,12,3,1,1,1,0,9,0,0,1,4,1,1,0.86,,1 critical BoM line(s) need source-backed cost evidence. 9 engineering review question(s) await acceptance. 4 assumption row(s) need review or source evidence.
power_distribution,Low-Power Distribution,review,3,12,5,1,3,3,0,12,0,0,2,7,0,0,0.86,,12 engineering review question(s) await acceptance. 7 assumption row(s) need review or source evidence.
control_compute_communication,Control Compute Communication,review,3,12,6,2,5,5,0,18,0,0,3,11,2,2,0.86,,2 critical BoM line(s) need source-backed cost evidence. 18 engineering review question(s) await acceptance. 11 assumption row(s) need review or source evidence.
environmental_interface,Wear Environment Compensation,review,3,12,4,2,1,1,0,12,0,0,2,7,1,1,0.86,,1 critical BoM line(s) need source-backed cost evidence. 12 engineering review question(s) await acceptance. 7 assumption row(s) need review or source evidence.
safety_protection,Patient Safety Protection,review,3,12,6,1,1,1,0,8,0,0,1,4,0,0,0.86,,8 engineering review question(s) await acceptance. 4 assumption row(s) need review or source evidence.
maintenance_serviceability,Packaging Traceability Serviceability,review,3,12,4,0,1,1,0,7,0,0,0,3,2,2,0.71,,2 critical BoM line(s) need source-backed cost evidence. 7 engineering review question(s) await acceptance. 3 assumption row(s) need review or source evidence.
