id,category,status,scope,assumption,basis,evidenceRequired,linkedRequirements,linkedInterfaces,linkedComponents,blocksArchitecture,blocksBom
brief:compute_tops,brief_requirement,brief_supported,Inference throughput,"Inference throughput = 200 TOPS is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",compute_tops,,,false,false
brief:rack_units,brief_requirement,brief_supported,Rack height,"Rack height = 1 U is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",rack_units,,,false,false
brief:power_budget_w,brief_requirement,brief_supported,Power budget,"Power budget = 700 W is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",power_budget_w,,,false,false
metric:headline_output,derived_metric,review_required,Inference throughput,Inference throughput uses compute_tops with medium confidence.,class_pack:edge_ai.class_pack; formula:compute_tops,"Review the formula, input values and operating envelope before treating this metric as a performance claim.",,,,false,false
metric:capex_gbp,derived_metric,source_required,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,formula:capex=sum(bom.totalCostGbp); class_pack:edge_ai.class_pack,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,true
metric:opex_annual_gbp,derived_metric,source_required,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,formula:opex=capex*0.04,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,true
sanity:edgeai_compute_throughput,sanity_envelope,review_required,Inference Throughput,Inference Throughput currently evaluates as pass against 10 to 2000 TOPS for a rack edge inference appliance before model and latency derating.,brief:input.brief; model:engineering_sanity.edge_ai; model:engineering_sanity.edge_ai,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",compute_tops,,,false,false
sanity:edgeai_power_density,sanity_envelope,review_required,Rack Power Density,Rack Power Density currently evaluates as pass against 100 to 1500 W/U for forced-air edge appliances; higher density needs detailed rack inlet and cooling proof.,brief:input.brief; formula:power_budget_w / rack_units; model:engineering_sanity.edge_ai; model:engineering_sanity.edge_ai,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",rack_units; power_budget_w,,,false,false
sanity:edgeai_data_compute_closure,sanity_envelope,review_required,Data/Compute Closure,"Data/Compute Closure currently evaluates as pass against PCIe fabric, inference network, storage bus and management network present.",model:engineering_sanity.edge_ai; model:engineering_sanity.edge_ai,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",compute_tops,,,false,false
sanity:edgeai_thermal_power_safety,sanity_envelope,review_required,Thermal/Power Safety,"Thermal/Power Safety currently evaluates as pass against thermal path, airflow path, fan control, AC input, protective earth, thermal alarm and hardwired trip present.",model:engineering_sanity.edge_ai; model:engineering_sanity.edge_ai,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",compute_tops; rack_units; power_budget_w,,,false,false
sanity:edgeai_secure_management,sanity_envelope,review_required,Secure Management,"Secure Management currently evaluates as pass against secure boot chain, management network, service access and TPM present.",model:engineering_sanity.edge_ai; model:engineering_sanity.edge_ai,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",,,,false,false
interface:control_compute_communication:compute_acceleration:pcie_fabric,interface_closure,model_present,control_compute_communication -> compute_acceleration,pcie_fabric is named on both endpoint modules in the generated architecture.,Host control must enumerate and command the accelerator over a declared PCIe fabric.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,pcie_fabric,,false,false
interface:power_distribution:compute_acceleration:gpu_power_bus,interface_closure,model_present,power_distribution -> compute_acceleration,gpu_power_bus is named on both endpoint modules in the generated architecture.,Accelerator power must be isolated from lower-power appliance rails.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,gpu_power_bus,,false,false
interface:network_io:control_compute_communication:inference_network,interface_closure,model_present,network_io -> control_compute_communication,inference_network is named on both endpoint modules in the generated architecture.,Inference traffic must reach host software and runtime orchestration.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,inference_network,,false,false
interface:data_storage:control_compute_communication:storage_bus,interface_closure,model_present,data_storage -> control_compute_communication,storage_bus is named on both endpoint modules in the generated architecture.,Model cache and logs must be visible to host software.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,storage_bus,,false,false
interface:environmental_interface:compute_acceleration:thermal_path,interface_closure,model_present,environmental_interface -> compute_acceleration,thermal_path is named on both endpoint modules in the generated architecture.,Accelerator and CPU heat must couple into the cooling path.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,thermal_path,,false,false
interface:sensing_instrumentation:control_compute_communication:sensor_bus,interface_closure,model_present,sensing_instrumentation -> control_compute_communication,sensor_bus is named on both endpoint modules in the generated architecture.,Thermal and power telemetry must feed management control.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,sensor_bus,,false,false
interface:safety_protection:power_distribution:hardwired_trip,interface_closure,model_present,safety_protection -> power_distribution,hardwired_trip is named on both endpoint modules in the generated architecture.,Thermal and electrical safety faults must force power shutdown.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,hardwired_trip,,false,false
interface:structure_containment:environmental_interface:airflow_path,interface_closure,model_present,structure_containment -> environmental_interface,airflow_path is named on both endpoint modules in the generated architecture.,The rack chassis must preserve the front-to-back airflow path used by cooling.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,airflow_path,,false,false
component:structure_containment_rack_chassis_1u_rack_chassis,critical_component,source_required,1U rack chassis,1U rack chassis is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.edge_ai,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,1u_rack_chassis,false,true
component:compute_acceleration_accelerator_module_ai_accelerator_module,critical_component,source_required,AI accelerator module,AI accelerator module is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.edge_ai,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,ai_accelerator_module,false,true
component:compute_acceleration_cpu_memory_complex_cpu_module,critical_component,source_required,CPU module,CPU module is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.edge_ai,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,cpu_module,false,true
component:compute_acceleration_cpu_memory_complex_ecc_memory,critical_component,source_required,ECC memory,ECC memory is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.edge_ai,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,ecc_memory,false,true
component:compute_acceleration_cpu_memory_complex_system_motherboard,critical_component,source_required,System motherboard,System motherboard is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.edge_ai,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,system_motherboard,false,true
component:network_io_high_speed_network_high_speed_nic,critical_component,source_required,High-speed NIC,High-speed NIC is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.edge_ai,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,high_speed_nic,false,true
component:data_storage_nvme_storage_nvme_ssd,critical_component,source_required,NVMe SSD,NVMe SSD is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.edge_ai,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,nvme_ssd,false,true
component:control_compute_communication_host_control_bmc_management_controller,critical_component,source_required,BMC management controller,BMC management controller is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.edge_ai,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,bmc_management_controller,false,true
component:power_distribution_ac_input_conversion_redundant_power_supply,critical_component,source_required,Redundant power supply,Redundant power supply is a critical architecture-derived component candidate with quantity 2 each.,model:scratch_universal_architecture.edge_ai,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,redundant_power_supply,false,true
component:environmental_interface_forced_air_cooling_fan_wall_assembly,critical_component,source_required,Fan wall assembly,Fan wall assembly is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.edge_ai,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,fan_wall_assembly,false,true
component:environmental_interface_heat_transfer_heatsink_cold_plate,critical_component,source_required,Heatsink cold plate,Heatsink cold plate is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.edge_ai,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,heatsink_cold_plate,false,true
component:safety_protection_secure_boot_tpm_security_module,critical_component,source_required,TPM security module,TPM security module is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.edge_ai,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,tpm_security_module,false,true
compliance:IEC-62368-1,compliance_evidence,review_required,IEC-62368-1,"Audio/video, ICT and communication equipment safety is relevant to this product class in UK/EU/global.",class_pack:edge_ai.class_pack,"Electrical safety, enclosure, temperature and abnormal-operation evidence.",,,,false,false
compliance:CE-EMC,compliance_evidence,review_required,CE-EMC,Electromagnetic compatibility technical file is relevant to this product class in UK/EU.,class_pack:edge_ai.class_pack,"EMC design review, pre-compliance or test evidence for rack appliance.",,,,false,false
compliance:SECURE-BOOT-REVIEW,compliance_evidence,review_required,SECURE-BOOT-REVIEW,Secure boot and fleet-management review is relevant to this product class in Project security gate.,class_pack:edge_ai.class_pack,"TPM, measured boot, firmware signing, recovery and management-access evidence.",,,,false,false
