id,lineId,componentWordId,description,priority,quantity,unit,traceStatus,ledgerStatus,duplicateResolution,supplier,manufacturer,mpn,unitCostGbp,totalCostGbp,sourceRef,sourceReferenceClass,sourceReferenceStatus,sourceQualityIssues,supplierClaim,manufacturerClaim,mpnClaim,unitCostClaim,sourceBackedRequiredClaims,missingRequiredClaims,provenanceViolations,canDisplayCandidate,canDisplayPricedReview,canUseForProcurement,requiredAction
bom-trace:structure_containment_carbon_airframe_carbon_airframe,structure_containment_carbon_airframe_carbon_airframe,carbon_airframe,Carbon airframe,critical,1,candidate,critical_unsourced,critical_unpriced,unique_allocation,,,,,,,,,,missing_source,missing_source,missing_source,missing_source,0,4,0,yes,no,no,Collect admissible source evidence for this critical line before BoM can pass.
bom-trace:structure_containment_carbon_airframe_carbon_fibre_arm_tube,structure_containment_carbon_airframe_carbon_fibre_arm_tube,carbon_fibre_arm_tube,carbon fibre arm tube,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_carbon_airframe_centre_plate_pair,structure_containment_carbon_airframe_centre_plate_pair,centre_plate_pair,centre plate pair,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_carbon_airframe_arm_folding_hinge,structure_containment_carbon_airframe_arm_folding_hinge,arm_folding_hinge,arm folding hinge,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_carbon_airframe_landing_gear_strut,structure_containment_carbon_airframe_landing_gear_strut,landing_gear_strut,landing gear strut,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_payload_mounting_camera_gimbal_mount_plate,structure_containment_payload_mounting_camera_gimbal_mount_plate,camera_gimbal_mount_plate,camera gimbal mount plate,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_payload_mounting_rubber_vibration_damper,structure_containment_payload_mounting_rubber_vibration_damper,rubber_vibration_damper,rubber vibration damper,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_payload_mounting_payload_quick_release_latch,structure_containment_payload_mounting_payload_quick_release_latch,payload_quick_release_latch,payload quick-release latch,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_payload_mounting_payload_cg_adjustment_rail,structure_containment_payload_mounting_payload_cg_adjustment_rail,payload_cg_adjustment_rail,payload CG adjustment rail,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_battery_mounting_battery_tray,structure_containment_battery_mounting_battery_tray,battery_tray,battery tray,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_battery_mounting_battery_retention_strap,structure_containment_battery_mounting_battery_retention_strap,battery_retention_strap,battery retention strap,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_battery_mounting_anti_slip_battery_pad,structure_containment_battery_mounting_anti_slip_battery_pad,anti_slip_battery_pad,anti-slip battery pad,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_battery_mounting_pack_latch_sensor,structure_containment_battery_mounting_pack_latch_sensor,pack_latch_sensor,pack latch sensor,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_storage_source_flight_battery_pack_flight_battery_pack,energy_storage_source_flight_battery_pack_flight_battery_pack,flight_battery_pack,Flight battery pack,critical,1,candidate,critical_unsourced,critical_unpriced,unique_allocation,,,,,,,,,,missing_source,missing_source,missing_source,missing_source,0,4,0,yes,no,no,Collect admissible source evidence for this critical line before BoM can pass.
bom-trace:energy_storage_source_flight_battery_pack_high_discharge_cell_group,energy_storage_source_flight_battery_pack_high_discharge_cell_group,high_discharge_cell_group,high-discharge cell group,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_storage_source_flight_battery_pack_battery_management_pcb,energy_storage_source_flight_battery_pack_battery_management_pcb,battery_management_pcb,battery management PCB,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_storage_source_flight_battery_pack_xt90_anti_spark_connector,energy_storage_source_flight_battery_pack_xt90_anti_spark_connector,xt90_anti_spark_connector,XT90 anti-spark connector,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
