id,category,status,scope,assumption,basis,evidenceRequired,linkedRequirements,linkedInterfaces,linkedComponents,blocksArchitecture,blocksBom
brief:duration_minutes,brief_requirement,brief_supported,Duration,"Duration = 40 minutes is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",duration_minutes,,,false,false
metric:headline_output,derived_metric,review_required,Flight endurance,Flight endurance uses duration_minutes with medium confidence.,class_pack:drone.class_pack; formula:duration_minutes,"Review the formula, input values and operating envelope before treating this metric as a performance claim.",,,,false,false
metric:capex_gbp,derived_metric,source_required,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,formula:capex=sum(bom.totalCostGbp); class_pack:drone.class_pack,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,true
metric:opex_annual_gbp,derived_metric,source_required,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,formula:opex=capex*0.04,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,true
sanity:drone_endurance_target,sanity_envelope,review_required,Endurance Target,"Endurance Target currently evaluates as warn against <=30 min typical, 30-45 min aggressive, >45 min high-risk without mass/power budget.",brief:input.brief; model:engineering_sanity.drone; model:engineering_sanity.drone,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",duration_minutes,,,false,false
sanity:drone_propulsion_quads,sanity_envelope,review_required,Quad Propulsion Allocation,Quad Propulsion Allocation currently evaluates as pass against four motors and four ESCs allocated for quadcopter layout.,model:engineering_sanity.drone; model:engineering_sanity.drone,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",duration_minutes,,,false,false
sanity:drone_control_power_chain,sanity_envelope,review_required,Control/Power/Actuation Chain,"Control/Power/Actuation Chain currently evaluates as pass against power bus, motor drive, sensor bus and radio link all present.",model:engineering_sanity.drone; model:engineering_sanity.drone,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",duration_minutes,,,false,false
interface:energy_storage_source:actuation_kinematics:power_bus,interface_closure,model_present,energy_storage_source -> actuation_kinematics,power_bus is named on both endpoint modules in the generated architecture.,Flight battery must feed propulsion loads through an explicit power bus.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,power_bus,,false,false
interface:control_compute_communication:actuation_kinematics:motor_drive,interface_closure,model_present,control_compute_communication -> actuation_kinematics,motor_drive is named on both endpoint modules in the generated architecture.,Flight controller must command ESC/motor drive outputs.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,motor_drive,,false,false
interface:control_compute_communication:sensing_instrumentation:sensor_bus,interface_closure,model_present,control_compute_communication -> sensing_instrumentation,sensor_bus is named on both endpoint modules in the generated architecture.,Flight controller must receive navigation and payload state.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,sensor_bus,,false,false
component:structure_containment_carbon_airframe_carbon_airframe,critical_component,source_required,Carbon airframe,Carbon airframe is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.drone,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,carbon_airframe,false,true
component:energy_storage_source_flight_battery_pack_flight_battery_pack,critical_component,source_required,Flight battery pack,Flight battery pack is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.drone,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,flight_battery_pack,false,true
component:actuation_kinematics_motor_sets_brushless_motors,critical_component,source_required,Brushless motors,Brushless motors is a critical architecture-derived component candidate with quantity 4 each.,model:scratch_universal_architecture.drone,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,brushless_motors,false,true
component:actuation_kinematics_esc_stack_esc,critical_component,source_required,ESC,ESC is a critical architecture-derived component candidate with quantity 4 each.,model:scratch_universal_architecture.drone,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,esc,false,true
component:actuation_kinematics_propeller_sets_propeller_set,critical_component,source_required,Propeller set,Propeller set is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.drone,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,propeller_set,false,true
component:control_compute_communication_flight_controller_stack_flight_controller,critical_component,source_required,Flight controller,Flight controller is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.drone,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,flight_controller,false,true
