id,sequence,action,status,priority,lineId,componentWordId,description,traceStatus,requiredEvidence,intakeArtifacts,acceptanceCriteria,rejectionCriteria,blocksCandidateDisplay,blocksPricedReview,blocksProcurement,requiredAction
bom-close:actuation_kinematics_electric_propulsion_pods_electric_propulsion_pod,1,collect_source_evidence,ready,blocker,actuation_kinematics_electric_propulsion_pods_electric_propulsion_pod,electric_propulsion_pod,Electric propulsion pod,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:control_compute_communication_flight_control_computer_flight_control_computer,2,collect_source_evidence,ready,blocker,control_compute_communication_flight_control_computer_flight_control_computer,flight_control_computer,Flight control computer,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:control_compute_communication_ground_command_link_ground_control_link,3,collect_source_evidence,ready,blocker,control_compute_communication_ground_command_link_ground_control_link,ground_control_link,Ground control link,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:energy_harvesting_mppt_conversion_mppt_power_tracker,4,collect_source_evidence,ready,blocker,energy_harvesting_mppt_conversion_mppt_power_tracker,mppt_power_tracker,MPPT power tracker,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:energy_harvesting_solar_skin_array_solar_cell_array,5,collect_source_evidence,ready,blocker,energy_harvesting_solar_skin_array_solar_cell_array,solar_cell_array,Solar cell array,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:energy_storage_source_stratospheric_battery_pack_stratospheric_battery_pack,6,collect_source_evidence,ready,blocker,energy_storage_source_stratospheric_battery_pack_stratospheric_battery_pack,stratospheric_battery_pack,Stratospheric battery pack,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:environmental_interface_thermal_protection_thermal_insulation_blanket,7,collect_source_evidence,ready,blocker,environmental_interface_thermal_protection_thermal_insulation_blanket,thermal_insulation_blanket,Thermal insulation blanket,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:payload_communication_antenna_aperture_payload_antenna_array,8,collect_source_evidence,ready,blocker,payload_communication_antenna_aperture_payload_antenna_array,payload_antenna_array,Payload antenna array,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:payload_communication_payload_radio_stratospheric_communications_payload,9,collect_source_evidence,ready,blocker,payload_communication_payload_radio_stratospheric_communications_payload,stratospheric_communications_payload,Stratospheric communications payload,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:safety_protection_abort_recovery_recovery_parachute_system,10,collect_source_evidence,ready,blocker,safety_protection_abort_recovery_recovery_parachute_system,recovery_parachute_system,Recovery parachute system,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
