activityId,activity,evidenceKind,reviewerName,verdict,evidenceRef,evidenceNote,reviewedAt
design_review:energy_storage_source,Review Energy Storage Source architecture allocation,design_review,,,,,
calculation:energy_storage_source,Verify Energy Storage Source requirement calculations,calculation,,,,,
design_review:energy_conversion_transduction,Review Power Conversion System architecture allocation,design_review,,,,,
calculation:energy_conversion_transduction,Verify Power Conversion System requirement calculations,calculation,,,,,
design_review:structure_containment,Review Container Structure And Fit-Out architecture allocation,design_review,,,,,
calculation:structure_containment,Verify Container Structure And Fit-Out requirement calculations,calculation,,,,,
design_review:sensing_instrumentation,Review Sensing And Instrumentation architecture allocation,design_review,,,,,
design_review:control_compute_communication,Review Control Compute And Communication architecture allocation,design_review,,,,,
calculation:control_compute_communication,Verify Control Compute And Communication requirement calculations,calculation,,,,,
design_review:safety_protection,Review Safety Protection And Interlocks architecture allocation,design_review,,,,,
design_review:environmental_interface,Review Environmental Interface architecture allocation,design_review,,,,,
design_review:power_distribution,Review DC And AC Power Distribution architecture allocation,design_review,,,,,
calculation:power_distribution,Verify DC And AC Power Distribution requirement calculations,calculation,,,,,
design_review:maintenance_serviceability,Review Maintenance And Serviceability architecture allocation,design_review,,,,,
calculation:maintenance_serviceability,Verify Maintenance And Serviceability requirement calculations,calculation,,,,,
design_review:mass_fluid_transport_process,Review Coolant Circulation Process architecture allocation,design_review,,,,,
design_review:hmi_ergonomics,Review Operator HMI And Labelling architecture allocation,design_review,,,,,
interface_review:energy_storage_source:energy_conversion_transduction:dc_bus,Verify dc_bus interface contract,interface_review,,,,,
interface_review:energy_storage_source:environmental_interface:thermal_loop,Verify thermal_loop interface contract,interface_review,,,,,
interface_review:energy_storage_source:control_compute_communication:bms_network,Verify bms_network interface contract,interface_review,,,,,
compliance_review:IEC-62619,Plan evidence for IEC-62619,compliance_review,,,,,
compliance_review:UL-9540A,Plan evidence for UL-9540A,compliance_review,,,,,
compliance_review:G99,Plan evidence for G99,compliance_review,,,,,
risk_review:1,Review risk control for Thermal runaway propagation,compliance_review,,,,,
risk_review:2,Review risk control for DC arc fault,compliance_review,,,,,
