id,sequence,action,status,priority,lineId,componentWordId,description,traceStatus,requiredEvidence,intakeArtifacts,acceptanceCriteria,rejectionCriteria,blocksCandidateDisplay,blocksPricedReview,blocksProcurement,requiredAction
bom-close:control_compute_communication_bms_master_bms_master_controller,1,collect_source_evidence,ready,blocker,control_compute_communication_bms_master_bms_master_controller,bms_master_controller,BMS master controller,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:energy_conversion_transduction_pcs_inverter_pcs_inverter,2,collect_source_evidence,ready,blocker,energy_conversion_transduction_pcs_inverter_pcs_inverter,pcs_inverter,PCS inverter,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:energy_storage_source_dc_string_output_dc_contactor_or_breaker,3,collect_source_evidence,ready,blocker,energy_storage_source_dc_string_output_dc_contactor_or_breaker,dc_contactor_or_breaker,DC contactor or breaker,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:mass_fluid_transport_process_pump_station_thermal_management_loop,4,collect_source_evidence,ready,blocker,mass_fluid_transport_process_pump_station_thermal_management_loop,thermal_management_loop,Thermal management loop,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:safety_protection_fire_suppression_fire_detection_suppression,5,collect_source_evidence,ready,blocker,safety_protection_fire_suppression_fire_detection_suppression,fire_detection_suppression,Fire detection/suppression,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:energy_storage_source_cell_string_lfp_prismatic_cells,6,replace_protocol_source,ready,blocker,energy_storage_source_cell_string_lfp_prismatic_cells,lfp_prismatic_cells,LFP prismatic cells,protocol_only,production supplier/catalogue or quote URL; fresh retrievedAt timestamp; quote note anchored to manufacturer or MPN,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Source Reference Quality Gate row passes.; BoM evidence trace row becomes production_eligible, or an explicit reviewer decision keeps it out of procurement scope.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,no,yes,Replace protocol fixture with production supplier/catalogue evidence before procurement use.
bom-close:control_compute_communication_bms_master_contactor_driver_output,7,defer_candidate_sourcing,deferred,minor,control_compute_communication_bms_master_contactor_driver_output,contactor_driver_output,contactor driver output,candidate_only,no immediate evidence required unless this candidate is promoted to procurement scope,*.sourcing-pack.csv; *.bom-evidence-trace.csv,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,no,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-close:control_compute_communication_bms_master_isolation_interface,8,defer_candidate_sourcing,deferred,minor,control_compute_communication_bms_master_isolation_interface,isolation_interface,isolation interface,candidate_only,no immediate evidence required unless this candidate is promoted to procurement scope,*.sourcing-pack.csv; *.bom-evidence-trace.csv,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,no,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-close:control_compute_communication_bms_master_soc_estimation_firmware,9,defer_candidate_sourcing,deferred,minor,control_compute_communication_bms_master_soc_estimation_firmware,soc_estimation_firmware,SOC estimation firmware,candidate_only,no immediate evidence required unless this candidate is promoted to procurement scope,*.sourcing-pack.csv; *.bom-evidence-trace.csv,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,no,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-close:control_compute_communication_communications_gateway_cybersecurity_firewall,10,defer_candidate_sourcing,deferred,minor,control_compute_communication_communications_gateway_cybersecurity_firewall,cybersecurity_firewall,cybersecurity firewall,candidate_only,no immediate evidence required unless this candidate is promoted to procurement scope,*.sourcing-pack.csv; *.bom-evidence-trace.csv,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,no,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
