id,kind,status,basis,scope,claim,provenanceRefs,sourceRefs,reviewerEvidenceRefs,linkedRequirementIds,linkedModuleIds,linkedComponentWordIds,blocksBom,blocksPublish,nextAction
bom_source_field:charging_connector_interface_ccs2_cable_connector_ccs2_liquid_cooled_cable_and_connector:manufacturer,bom_source_field,source_required,assumption,CCS2 liquid-cooled cable and connector / manufacturer,manufacturer is required but not source-backed.,,,,dc_power_kw,charging_connector_interface,ccs2_liquid_cooled_cable_and_connector,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:charging_connector_interface_ccs2_cable_connector_ccs2_liquid_cooled_cable_and_connector:mpn,bom_source_field,source_required,assumption,CCS2 liquid-cooled cable and connector / mpn,mpn is required but not source-backed.,,,,dc_power_kw,charging_connector_interface,ccs2_liquid_cooled_cable_and_connector,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:charging_connector_interface_ccs2_cable_connector_ccs2_liquid_cooled_cable_and_connector:supplier,bom_source_field,source_required,assumption,CCS2 liquid-cooled cable and connector / supplier,supplier is required but not source-backed.,,,,dc_power_kw,charging_connector_interface,ccs2_liquid_cooled_cable_and_connector,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:charging_connector_interface_ccs2_cable_connector_ccs2_liquid_cooled_cable_and_connector:unit_cost_gbp,bom_source_field,source_required,assumption,CCS2 liquid-cooled cable and connector / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,dc_power_kw,charging_connector_interface,ccs2_liquid_cooled_cable_and_connector,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:charging_connector_interface_vehicle_communication_frontend_iso_15118_plc_modem:manufacturer,bom_source_field,source_required,assumption,ISO 15118 PLC modem / manufacturer,manufacturer is required but not source-backed.,,,,,charging_connector_interface; control_compute_communication,iso_15118_plc_modem,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:charging_connector_interface_vehicle_communication_frontend_iso_15118_plc_modem:mpn,bom_source_field,source_required,assumption,ISO 15118 PLC modem / mpn,mpn is required but not source-backed.,,,,,charging_connector_interface; control_compute_communication,iso_15118_plc_modem,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:charging_connector_interface_vehicle_communication_frontend_iso_15118_plc_modem:supplier,bom_source_field,source_required,assumption,ISO 15118 PLC modem / supplier,supplier is required but not source-backed.,,,,,charging_connector_interface; control_compute_communication,iso_15118_plc_modem,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:charging_connector_interface_vehicle_communication_frontend_iso_15118_plc_modem:unit_cost_gbp,bom_source_field,source_required,assumption,ISO 15118 PLC modem / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,charging_connector_interface; control_compute_communication,iso_15118_plc_modem,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_backend_gateway_ocpp_communications_gateway:manufacturer,bom_source_field,source_required,assumption,OCPP communications gateway / manufacturer,manufacturer is required but not source-backed.,,,,,control_compute_communication,ocpp_communications_gateway,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_backend_gateway_ocpp_communications_gateway:mpn,bom_source_field,source_required,assumption,OCPP communications gateway / mpn,mpn is required but not source-backed.,,,,,control_compute_communication,ocpp_communications_gateway,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_backend_gateway_ocpp_communications_gateway:supplier,bom_source_field,source_required,assumption,OCPP communications gateway / supplier,supplier is required but not source-backed.,,,,,control_compute_communication,ocpp_communications_gateway,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_backend_gateway_ocpp_communications_gateway:unit_cost_gbp,bom_source_field,source_required,assumption,OCPP communications gateway / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,control_compute_communication,ocpp_communications_gateway,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_protocol_stack_iso_15118_plc_modem:manufacturer,bom_source_field,source_required,assumption,ISO 15118 PLC modem / manufacturer,manufacturer is required but not source-backed.,,,,,charging_connector_interface; control_compute_communication,iso_15118_plc_modem,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_protocol_stack_iso_15118_plc_modem:mpn,bom_source_field,source_required,assumption,ISO 15118 PLC modem / mpn,mpn is required but not source-backed.,,,,,charging_connector_interface; control_compute_communication,iso_15118_plc_modem,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_protocol_stack_iso_15118_plc_modem:supplier,bom_source_field,source_required,assumption,ISO 15118 PLC modem / supplier,supplier is required but not source-backed.,,,,,charging_connector_interface; control_compute_communication,iso_15118_plc_modem,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_protocol_stack_iso_15118_plc_modem:unit_cost_gbp,bom_source_field,source_required,assumption,ISO 15118 PLC modem / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,charging_connector_interface; control_compute_communication,iso_15118_plc_modem,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_conversion_transduction_rectifier_power_modules_power_module_stack:manufacturer,bom_source_field,source_required,assumption,Power module stack / manufacturer,manufacturer is required but not source-backed.,,,,dc_power_kw,energy_conversion_transduction,power_module_stack,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_conversion_transduction_rectifier_power_modules_power_module_stack:mpn,bom_source_field,source_required,assumption,Power module stack / mpn,mpn is required but not source-backed.,,,,dc_power_kw,energy_conversion_transduction,power_module_stack,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
