activityId,activity,evidenceKind,reviewerName,verdict,evidenceRef,evidenceNote,reviewedAt
design_review:structure_containment,Review Ultra-Light Wing Structure architecture allocation,design_review,,,,,
calculation:structure_containment,Verify Ultra-Light Wing Structure requirement calculations,calculation,,,,,
design_review:energy_harvesting,Review Solar Energy Harvesting architecture allocation,design_review,,,,,
calculation:energy_harvesting,Verify Solar Energy Harvesting requirement calculations,calculation,,,,,
design_review:energy_storage_source,Review Night-Cycle Energy Storage architecture allocation,design_review,,,,,
calculation:energy_storage_source,Verify Night-Cycle Energy Storage requirement calculations,calculation,,,,,
design_review:power_distribution,Review Flight Power Distribution architecture allocation,design_review,,,,,
calculation:power_distribution,Verify Flight Power Distribution requirement calculations,calculation,,,,,
design_review:actuation_kinematics,Review Propulsion And Control Surfaces architecture allocation,design_review,,,,,
calculation:actuation_kinematics,Verify Propulsion And Control Surfaces requirement calculations,calculation,,,,,
design_review:control_compute_communication,Review Autonomy Control Communication architecture allocation,design_review,,,,,
calculation:control_compute_communication,Verify Autonomy Control Communication requirement calculations,calculation,,,,,
design_review:sensing_instrumentation,Review Navigation And Airdata Sensing architecture allocation,design_review,,,,,
calculation:sensing_instrumentation,Verify Navigation And Airdata Sensing requirement calculations,calculation,,,,,
design_review:payload_communication,Review Communications Payload architecture allocation,design_review,,,,,
design_review:environmental_interface,Review Stratospheric Environmental Interface architecture allocation,design_review,,,,,
calculation:environmental_interface,Verify Stratospheric Environmental Interface requirement calculations,calculation,,,,,
design_review:safety_protection,Review Flight Safety And Recovery architecture allocation,design_review,,,,,
calculation:safety_protection,Verify Flight Safety And Recovery requirement calculations,calculation,,,,,
design_review:maintenance_serviceability,Review Ground Handling Serviceability architecture allocation,design_review,,,,,
calculation:maintenance_serviceability,Verify Ground Handling Serviceability requirement calculations,calculation,,,,,
interface_review:energy_harvesting:power_distribution:solar_dc_bus,Verify solar_dc_bus interface contract,interface_review,,,,,
interface_review:energy_storage_source:power_distribution:battery_dc_bus,Verify battery_dc_bus interface contract,interface_review,,,,,
interface_review:power_distribution:actuation_kinematics:propulsion_power_bus,Verify propulsion_power_bus interface contract,interface_review,,,,,
interface_review:control_compute_communication:actuation_kinematics:flight_control_bus,Verify flight_control_bus interface contract,interface_review,,,,,
interface_review:sensing_instrumentation:control_compute_communication:sensor_bus,Verify sensor_bus interface contract,interface_review,,,,,
interface_review:payload_communication:control_compute_communication:payload_data_link,Verify payload_data_link interface contract,interface_review,,,,,
interface_review:environmental_interface:energy_storage_source:thermal_path,Verify thermal_path interface contract,interface_review,,,,,
interface_review:safety_protection:control_compute_communication:telemetry_link,Verify telemetry_link interface contract,interface_review,,,,,
compliance_review:CAA-UAS-OPS,Plan evidence for CAA-UAS-OPS,compliance_review,,,,,
compliance_review:DO-160-ENV,Plan evidence for DO-160-ENV,compliance_review,,,,,
compliance_review:SOLAR-ENERGY-BALANCE-REVIEW,Plan evidence for SOLAR-ENERGY-BALANCE-REVIEW,compliance_review,,,,,
risk_review:1,Review risk control for Energy-negative overnight operation,compliance_review,,,,,
risk_review:2,Review risk control for Wing structural failure in gust or launch handling,compliance_review,,,,,
risk_review:3,Review risk control for Lost command link or uncontrolled descent,compliance_review,,,,,
