lineId,componentWordId,description,duplicateGroupSize,duplicatePeerLineIds,duplicateResolution,priority,ledgerStatus,quantity,unit,unitCostGbp,totalCostGbp,supplier,manufacturer,mpn,leadTimeWeeks,sourceGrade,evidenceRef,evidenceQuote,retrievedAt,rejectionReasons,nextAction
energy_storage_source_cell_string_lfp_prismatic_cells,lfp_prismatic_cells,LFP prismatic cells,1,,unique_allocation,critical,admitted_priced,1,candidate,100,100,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-1-lfp_prismatic_cells,8,priced,test-fixture://review-evidence-closure/source/lfp_prismatic_cells,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_cell_string_cell_to_cell_busbar,cell_to_cell_busbar,cell-to-cell busbar,1,,unique_allocation,candidate,admitted_priced,1,candidate,101,101,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-2-cell_to_cell_busbar,8,priced,test-fixture://review-evidence-closure/source/cell_to_cell_busbar,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_cell_string_cell_terminal_hardware_set,cell_terminal_hardware_set,cell terminal hardware set,1,,unique_allocation,candidate,admitted_priced,1,candidate,102,102,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-3-cell_terminal_hardware_set,8,priced,test-fixture://review-evidence-closure/source/cell_terminal_hardware_set,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_cell_string_cell_insulation_pad,cell_insulation_pad,cell insulation pad,1,,unique_allocation,candidate,admitted_priced,1,candidate,103,103,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-4-cell_insulation_pad,8,priced,test-fixture://review-evidence-closure/source/cell_insulation_pad,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_cell_string_module_fuse,module_fuse,module fuse,1,,unique_allocation,candidate,admitted_priced,1,candidate,104,104,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-5-module_fuse,8,priced,test-fixture://review-evidence-closure/source/module_fuse,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_rack_structure_module_steel_frame,module_steel_frame,module steel frame,1,,unique_allocation,candidate,admitted_priced,1,candidate,105,105,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-6-module_steel_frame,8,priced,test-fixture://review-evidence-closure/source/module_steel_frame,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_rack_structure_compression_plate,compression_plate,compression plate,1,,unique_allocation,candidate,admitted_priced,1,candidate,106,106,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-7-compression_plate,8,priced,test-fixture://review-evidence-closure/source/compression_plate,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_rack_structure_compression_tie_rod_set,compression_tie_rod_set,compression tie rod set,1,,unique_allocation,candidate,admitted_priced,1,candidate,107,107,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-8-compression_tie_rod_set,8,priced,test-fixture://review-evidence-closure/source/compression_tie_rod_set,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_rack_structure_module_top_cover,module_top_cover,module top cover,1,,unique_allocation,candidate,admitted_priced,1,candidate,108,108,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-9-module_top_cover,8,priced,test-fixture://review-evidence-closure/source/module_top_cover,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_rack_structure_rack_label_plate,rack_label_plate,rack label plate,1,,unique_allocation,candidate,admitted_priced,1,candidate,109,109,Protocol Evidence Supplier,Protocol Evidence Manufacturer,PROTOCOL-10-rack_label_plate,8,priced,test-fixture://review-evidence-closure/source/rack_label_plate,Protocol-only fixture proving source-backed closure. Not a real supplier quote.,2026-05-17T11:40:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
