activityId,activity,evidenceKind,reviewerName,verdict,evidenceRef,evidenceNote,reviewedAt
design_review:structure_containment,Review Rack Structure Containment architecture allocation,design_review,,,,,
calculation:structure_containment,Verify Rack Structure Containment requirement calculations,calculation,,,,,
design_review:compute_acceleration,Review Compute Acceleration architecture allocation,design_review,,,,,
calculation:compute_acceleration,Verify Compute Acceleration requirement calculations,calculation,,,,,
design_review:network_io,Review Network IO architecture allocation,design_review,,,,,
design_review:data_storage,Review Data Storage architecture allocation,design_review,,,,,
design_review:control_compute_communication,Review Control Compute Communication architecture allocation,design_review,,,,,
calculation:control_compute_communication,Verify Control Compute Communication requirement calculations,calculation,,,,,
design_review:power_distribution,Review Power Distribution architecture allocation,design_review,,,,,
calculation:power_distribution,Verify Power Distribution requirement calculations,calculation,,,,,
design_review:environmental_interface,Review Thermal Airflow Interface architecture allocation,design_review,,,,,
calculation:environmental_interface,Verify Thermal Airflow Interface requirement calculations,calculation,,,,,
design_review:sensing_instrumentation,Review Telemetry Instrumentation architecture allocation,design_review,,,,,
design_review:safety_protection,Review Security And Safety Protection architecture allocation,design_review,,,,,
calculation:safety_protection,Verify Security And Safety Protection requirement calculations,calculation,,,,,
design_review:maintenance_serviceability,Review Field Maintenance Serviceability architecture allocation,design_review,,,,,
calculation:maintenance_serviceability,Verify Field Maintenance Serviceability requirement calculations,calculation,,,,,
interface_review:control_compute_communication:compute_acceleration:pcie_fabric,Verify pcie_fabric interface contract,interface_review,,,,,
interface_review:power_distribution:compute_acceleration:gpu_power_bus,Verify gpu_power_bus interface contract,interface_review,,,,,
interface_review:network_io:control_compute_communication:inference_network,Verify inference_network interface contract,interface_review,,,,,
interface_review:data_storage:control_compute_communication:storage_bus,Verify storage_bus interface contract,interface_review,,,,,
interface_review:environmental_interface:compute_acceleration:thermal_path,Verify thermal_path interface contract,interface_review,,,,,
interface_review:sensing_instrumentation:control_compute_communication:sensor_bus,Verify sensor_bus interface contract,interface_review,,,,,
interface_review:safety_protection:power_distribution:hardwired_trip,Verify hardwired_trip interface contract,interface_review,,,,,
interface_review:structure_containment:environmental_interface:airflow_path,Verify airflow_path interface contract,interface_review,,,,,
compliance_review:IEC-62368-1,Plan evidence for IEC-62368-1,compliance_review,,,,,
compliance_review:CE-EMC,Plan evidence for CE-EMC,compliance_review,,,,,
compliance_review:SECURE-BOOT-REVIEW,Plan evidence for SECURE-BOOT-REVIEW,compliance_review,,,,,
risk_review:1,Review risk control for Accelerator thermal throttling or shutdown under rack inlet conditions,compliance_review,,,,,
risk_review:2,Review risk control for Insecure firmware or management interface compromise,compliance_review,,,,,
risk_review:3,"Review risk control for Inference outage from PSU, fan or SSD failure",compliance_review,,,,,
