lineId,componentWordId,description,duplicateGroupSize,duplicatePeerLineIds,duplicateResolution,priority,ledgerStatus,quantity,unit,unitCostGbp,totalCostGbp,supplier,manufacturer,mpn,leadTimeWeeks,sourceGrade,evidenceRef,evidenceQuote,retrievedAt,rejectionReasons,nextAction
energy_storage_source_cell_string_lfp_prismatic_cells,lfp_prismatic_cells,LFP prismatic cells,1,,unique_allocation,critical,admitted_priced,1,candidate,75,75,Protocol CSV Supplier,Protocol CSV Manufacturer,PROTOCOL-CSV-NOT-A-REAL-PART,12,priced,test-fixture://csv-sourcing/lfp_prismatic_cells,Protocol-only CSV fixture proving source-backed intake. Not a real supplier quote.,2026-05-17T00:00:00.000+01:00,,Keep source record attached; re-check freshness before procurement use.
energy_storage_source_cell_string_cell_to_cell_busbar,cell_to_cell_busbar,cell-to-cell busbar,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_cell_string_cell_terminal_hardware_set,cell_terminal_hardware_set,cell terminal hardware set,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_cell_string_cell_insulation_pad,cell_insulation_pad,cell insulation pad,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_cell_string_module_fuse,module_fuse,module fuse,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_rack_structure_module_steel_frame,module_steel_frame,module steel frame,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_rack_structure_compression_plate,compression_plate,compression plate,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_rack_structure_compression_tie_rod_set,compression_tie_rod_set,compression tie rod set,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_rack_structure_module_top_cover,module_top_cover,module top cover,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_rack_structure_rack_label_plate,rack_label_plate,rack label plate,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_bms_slave_bms_slave_pcb,bms_slave_pcb,BMS slave PCB,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_bms_slave_afe_monitor_ic,afe_monitor_ic,AFE monitor IC,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_bms_slave_ntc_thermistor_harness,ntc_thermistor_harness,NTC thermistor harness,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_bms_slave_isolated_can_transceiver,isolated_can_transceiver,isolated CAN transceiver,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_bms_slave_conformal_coating,conformal_coating,conformal coating,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_dc_string_output_dc_contactor_or_breaker,dc_contactor_or_breaker,DC contactor or breaker,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
