activityId,activity,evidenceKind,plannedStatus,ledgerStatus,moduleId,moduleName,reviewerName,evidenceRef,evidenceNote,reviewedAt,residualAction
design_review:power_distribution,Review AC Input And DC Output Distribution architecture allocation,design_review,ready_for_review,pending,power_distribution,AC Input And DC Output Distribution,,,,,Collect reviewer evidence through the verification intake template.
calculation:power_distribution,Verify AC Input And DC Output Distribution requirement calculations,calculation,ready_for_review,pending,power_distribution,AC Input And DC Output Distribution,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:power_distribution,Collect source-backed evidence for AC Input And DC Output Distribution critical components,source_evidence,blocked,source_evidence_required,power_distribution,AC Input And DC Output Distribution,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:energy_conversion_transduction,Review Power Conversion Stack architecture allocation,design_review,ready_for_review,pending,energy_conversion_transduction,Power Conversion Stack,,,,,Collect reviewer evidence through the verification intake template.
calculation:energy_conversion_transduction,Verify Power Conversion Stack requirement calculations,calculation,ready_for_review,pending,energy_conversion_transduction,Power Conversion Stack,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:energy_conversion_transduction,Collect source-backed evidence for Power Conversion Stack critical components,source_evidence,blocked,source_evidence_required,energy_conversion_transduction,Power Conversion Stack,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:charging_connector_interface,Review Vehicle Charging Interface architecture allocation,design_review,ready_for_review,pending,charging_connector_interface,Vehicle Charging Interface,,,,,Collect reviewer evidence through the verification intake template.
calculation:charging_connector_interface,Verify Vehicle Charging Interface requirement calculations,calculation,ready_for_review,pending,charging_connector_interface,Vehicle Charging Interface,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:charging_connector_interface,Collect source-backed evidence for Vehicle Charging Interface critical components,source_evidence,blocked,source_evidence_required,charging_connector_interface,Vehicle Charging Interface,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:control_compute_communication,Review Control Compute Communication architecture allocation,design_review,ready_for_review,pending,control_compute_communication,Control Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:control_compute_communication,Collect source-backed evidence for Control Compute Communication critical components,source_evidence,blocked,source_evidence_required,control_compute_communication,Control Compute Communication,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:sensing_instrumentation,Review Metering And Electrical Sensing architecture allocation,design_review,ready_for_review,pending,sensing_instrumentation,Metering And Electrical Sensing,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:sensing_instrumentation,Collect source-backed evidence for Metering And Electrical Sensing critical components,source_evidence,blocked,source_evidence_required,sensing_instrumentation,Metering And Electrical Sensing,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:environmental_interface,Review Thermal And Environmental Interface architecture allocation,design_review,ready_for_review,pending,environmental_interface,Thermal And Environmental Interface,,,,,Collect reviewer evidence through the verification intake template.
calculation:environmental_interface,Verify Thermal And Environmental Interface requirement calculations,calculation,ready_for_review,pending,environmental_interface,Thermal And Environmental Interface,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:environmental_interface,Collect source-backed evidence for Thermal And Environmental Interface critical components,source_evidence,blocked,source_evidence_required,environmental_interface,Thermal And Environmental Interface,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:structure_containment,Review Cabinet Structure And Containment architecture allocation,design_review,ready_for_review,pending,structure_containment,Cabinet Structure And Containment,,,,,Collect reviewer evidence through the verification intake template.
design_review:safety_protection,Review Safety Protection architecture allocation,design_review,ready_for_review,pending,safety_protection,Safety Protection,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:safety_protection,Collect source-backed evidence for Safety Protection critical components,source_evidence,blocked,source_evidence_required,safety_protection,Safety Protection,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:maintenance_serviceability,Review Maintenance And Commissioning architecture allocation,design_review,ready_for_review,pending,maintenance_serviceability,Maintenance And Commissioning,,,,,Collect reviewer evidence through the verification intake template.
design_review:hmi_ergonomics,Review User Payment And HMI architecture allocation,design_review,ready_for_review,pending,hmi_ergonomics,User Payment And HMI,,,,,Collect reviewer evidence through the verification intake template.
interface_review:power_distribution:energy_conversion_transduction:ac_input_bus,Verify ac_input_bus interface contract,interface_review,ready_for_review,pending,power_distribution:energy_conversion_transduction,AC Input And DC Output Distribution -> Power Conversion Stack,,,,,Collect reviewer evidence through the verification intake template.
interface_review:energy_conversion_transduction:charging_connector_interface:dc_output_bus,Verify dc_output_bus interface contract,interface_review,ready_for_review,pending,energy_conversion_transduction:charging_connector_interface,Power Conversion Stack -> Vehicle Charging Interface,,,,,Collect reviewer evidence through the verification intake template.
interface_review:control_compute_communication:charging_connector_interface:iso15118_plc,Verify iso15118_plc interface contract,interface_review,ready_for_review,pending,control_compute_communication:charging_connector_interface,Control Compute Communication -> Vehicle Charging Interface,,,,,Collect reviewer evidence through the verification intake template.
interface_review:control_compute_communication:energy_conversion_transduction:control_bus,Verify control_bus interface contract,interface_review,ready_for_review,pending,control_compute_communication:energy_conversion_transduction,Control Compute Communication -> Power Conversion Stack,,,,,Collect reviewer evidence through the verification intake template.
interface_review:sensing_instrumentation:control_compute_communication:metering_bus,Verify metering_bus interface contract,interface_review,ready_for_review,pending,sensing_instrumentation:control_compute_communication,Metering And Electrical Sensing -> Control Compute Communication,,,,,Collect reviewer evidence through the verification intake template.
interface_review:environmental_interface:energy_conversion_transduction:coolant_loop,Verify coolant_loop interface contract,interface_review,ready_for_review,pending,environmental_interface:energy_conversion_transduction,Thermal And Environmental Interface -> Power Conversion Stack,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:IEC-61851,Plan evidence for IEC-61851,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:IEC-62196-3,Plan evidence for IEC-62196-3,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:ISO-15118,Plan evidence for ISO-15118,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:OCPP-1.6J/2.0.1,Plan evidence for OCPP-1.6J/2.0.1,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
risk_review:1,Review risk control for DC output fault or insulation failure,compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
risk_review:2,Review risk control for Connector overheating at high current,compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
risk_review:3,Review risk control for Backend or payment outage stops sessions,compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
