activityId,activity,evidenceKind,plannedStatus,ledgerStatus,moduleId,moduleName,reviewerName,evidenceRef,evidenceNote,reviewedAt,residualAction
design_review:skin_patient_interface,Review Skin Patient Interface architecture allocation,design_review,ready_for_review,pending,skin_patient_interface,Skin Patient Interface,,,,,Collect reviewer evidence through the verification intake template.
calculation:skin_patient_interface,Verify Skin Patient Interface requirement calculations,calculation,ready_for_review,pending,skin_patient_interface,Skin Patient Interface,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:skin_patient_interface,Collect source-backed evidence for Skin Patient Interface critical components,source_evidence,blocked,source_evidence_required,skin_patient_interface,Skin Patient Interface,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:sensing_instrumentation,Review Glucose Sensing Instrumentation architecture allocation,design_review,ready_for_review,pending,sensing_instrumentation,Glucose Sensing Instrumentation,,,,,Collect reviewer evidence through the verification intake template.
calculation:sensing_instrumentation,Verify Glucose Sensing Instrumentation requirement calculations,calculation,ready_for_review,pending,sensing_instrumentation,Glucose Sensing Instrumentation,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:sensing_instrumentation,Collect source-backed evidence for Glucose Sensing Instrumentation critical components,source_evidence,blocked,source_evidence_required,sensing_instrumentation,Glucose Sensing Instrumentation,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:actuation_kinematics,Review Applicator Insertion Mechanism architecture allocation,design_review,ready_for_review,pending,actuation_kinematics,Applicator Insertion Mechanism,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:actuation_kinematics,Collect source-backed evidence for Applicator Insertion Mechanism critical components,source_evidence,blocked,source_evidence_required,actuation_kinematics,Applicator Insertion Mechanism,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:structure_containment,Review Transmitter Housing Structure architecture allocation,design_review,ready_for_review,pending,structure_containment,Transmitter Housing Structure,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:structure_containment,Collect source-backed evidence for Transmitter Housing Structure critical components,source_evidence,blocked,source_evidence_required,structure_containment,Transmitter Housing Structure,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:energy_storage_source,Review Wearable Energy Source architecture allocation,design_review,ready_for_review,pending,energy_storage_source,Wearable Energy Source,,,,,Collect reviewer evidence through the verification intake template.
calculation:energy_storage_source,Verify Wearable Energy Source requirement calculations,calculation,ready_for_review,pending,energy_storage_source,Wearable Energy Source,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:energy_storage_source,Collect source-backed evidence for Wearable Energy Source critical components,source_evidence,blocked,source_evidence_required,energy_storage_source,Wearable Energy Source,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:power_distribution,Review Low-Power Distribution architecture allocation,design_review,ready_for_review,pending,power_distribution,Low-Power Distribution,,,,,Collect reviewer evidence through the verification intake template.
calculation:power_distribution,Verify Low-Power Distribution requirement calculations,calculation,ready_for_review,pending,power_distribution,Low-Power Distribution,,,,,Collect reviewer evidence through the verification intake template.
