lineId,componentWordId,description,duplicateGroupSize,duplicatePeerLineIds,duplicateResolution,priority,ledgerStatus,quantity,unit,unitCostGbp,totalCostGbp,supplier,manufacturer,mpn,leadTimeWeeks,sourceGrade,evidenceRef,evidenceQuote,retrievedAt,rejectionReasons,nextAction
structure_containment_carbon_airframe_carbon_airframe,carbon_airframe,Carbon airframe,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_carbon_airframe_carbon_fibre_arm_tube,carbon_fibre_arm_tube,carbon fibre arm tube,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_carbon_airframe_centre_plate_pair,centre_plate_pair,centre plate pair,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_carbon_airframe_arm_folding_hinge,arm_folding_hinge,arm folding hinge,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_carbon_airframe_landing_gear_strut,landing_gear_strut,landing gear strut,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_payload_mounting_camera_gimbal_mount_plate,camera_gimbal_mount_plate,camera gimbal mount plate,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_payload_mounting_rubber_vibration_damper,rubber_vibration_damper,rubber vibration damper,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_payload_mounting_payload_quick_release_latch,payload_quick_release_latch,payload quick-release latch,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_payload_mounting_payload_cg_adjustment_rail,payload_cg_adjustment_rail,payload CG adjustment rail,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_battery_mounting_battery_tray,battery_tray,battery tray,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_battery_mounting_battery_retention_strap,battery_retention_strap,battery retention strap,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_battery_mounting_anti_slip_battery_pad,anti_slip_battery_pad,anti-slip battery pad,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_battery_mounting_pack_latch_sensor,pack_latch_sensor,pack latch sensor,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_flight_battery_pack_flight_battery_pack,flight_battery_pack,Flight battery pack,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
energy_storage_source_flight_battery_pack_high_discharge_cell_group,high_discharge_cell_group,high-discharge cell group,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_flight_battery_pack_battery_management_pcb,battery_management_pcb,battery management PCB,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_flight_battery_pack_xt90_anti_spark_connector,xt90_anti_spark_connector,XT90 anti-spark connector,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_flight_battery_pack_pack_temperature_sensor,pack_temperature_sensor,pack temperature sensor,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_power_monitoring_power_module_shunt,power_module_shunt,power module shunt,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_power_monitoring_voltage_divider_board,voltage_divider_board,voltage divider board,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_power_monitoring_low_voltage_alarm_output,low_voltage_alarm_output,low-voltage alarm output,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_power_monitoring_battery_telemetry_connector,battery_telemetry_connector,battery telemetry connector,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_charging_interface_balance_charge_harness,balance_charge_harness,balance charge harness,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_charging_interface_charging_cradle,charging_cradle,charging cradle,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_charging_interface_pack_id_label,pack_id_label,pack ID label,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
energy_storage_source_charging_interface_transport_storage_case_insert,transport_storage_case_insert,transport storage case insert,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
actuation_kinematics_motor_sets_brushless_motors,brushless_motors,Brushless motors,1,,unique_allocation,critical,critical_unpriced,4,each,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
actuation_kinematics_motor_sets_motor_mounting_screw_set,motor_mounting_screw_set,motor mounting screw set,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
actuation_kinematics_motor_sets_motor_phase_lead_set,motor_phase_lead_set,motor phase lead set,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
