productClass,classPackLabel,classifiedAs,classificationConfidence,supportLevel,architectureSource,verdict,ok,moduleCount,subModuleCount,componentCandidateCount,requiredInterfaceLinks,readyForBom,scoredSectionsAtTarget,scoredSections,meanScore,blockingIssueCodes,limitations,nextAction
energy_storage,Containerised Battery Energy Storage System,energy_storage,high,deep_scratch,scratch_universal_architecture,architecture_review_ready,false,11,46,204,3,true,5,6,7.67,bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/low_priced_line_ratio,"Deep deterministic grammar exists, but engineering evidence and sourcing evidence are still required before publication.","Continue evidence intake, source-backed BoM admission and class-specific depth improvements."
vertical_farm,Indoor Vertical Farm,vertical_farm,high,deep_scratch,scratch_universal_architecture,architecture_review_ready,false,9,28,122,3,true,5,6,7.58,bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/low_priced_line_ratio,"Deep deterministic grammar exists, but engineering evidence and sourcing evidence are still required before publication.","Continue evidence intake, source-backed BoM admission and class-specific depth improvements."
heat_pump,Air-Source Heat Pump,heat_pump,high,deep_scratch,scratch_universal_architecture,architecture_review_ready,false,10,31,124,4,true,5,6,7.67,bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/low_priced_line_ratio,"Deep deterministic grammar exists, but engineering evidence and sourcing evidence are still required before publication.","Continue evidence intake, source-backed BoM admission and class-specific depth improvements."
ev_charger,DC Fast EV Charger,ev_charger,high,deep_scratch,scratch_universal_architecture,architecture_review_ready,false,10,30,120,6,true,5,6,7.67,bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/low_priced_line_ratio,"Deep deterministic grammar exists, but engineering evidence and sourcing evidence are still required before publication.","Continue evidence intake, source-backed BoM admission and class-specific depth improvements."
bioreactor,Single-Use Mammalian-Cell Bioreactor,bioreactor,high,deep_scratch,scratch_universal_architecture,architecture_review_ready,false,9,27,108,6,true,5,6,7.58,bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/low_priced_line_ratio,"Deep deterministic grammar exists, but engineering evidence and sourcing evidence are still required before publication.","Continue evidence intake, source-backed BoM admission and class-specific depth improvements."
drone,Prosumer Cinematography Drone,drone,high,deep_scratch,scratch_universal_architecture,architecture_review_ready,false,9,26,110,3,true,5,6,7.67,bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/low_priced_line_ratio,"Deep deterministic grammar exists, but engineering evidence and sourcing evidence are still required before publication.","Continue evidence intake, source-backed BoM admission and class-specific depth improvements."
auv,Inspection Autonomous Underwater Vehicle,auv,high,deep_scratch,scratch_universal_architecture,architecture_review_ready,false,9,27,108,8,true,5,6,7.58,bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/low_priced_line_ratio,"Deep deterministic grammar exists, but engineering evidence and sourcing evidence are still required before publication.","Continue evidence intake, source-backed BoM admission and class-specific depth improvements."
edge_ai,Rack-Mount Edge AI Inference Appliance,edge_ai,high,deep_scratch,scratch_universal_architecture,architecture_review_ready,false,10,30,120,8,true,5,6,7.67,bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/low_priced_line_ratio,"Deep deterministic grammar exists, but engineering evidence and sourcing evidence are still required before publication.","Continue evidence intake, source-backed BoM admission and class-specific depth improvements."
haps,Solar-Electric High-Altitude Pseudo-Satellite,haps,high,deep_scratch,scratch_universal_architecture,architecture_review_ready,false,11,33,132,8,true,5,6,7.67,bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/low_priced_line_ratio,"Deep deterministic grammar exists, but engineering evidence and sourcing evidence are still required before publication.","Continue evidence intake, source-backed BoM admission and class-specific depth improvements."
cgm,Continuous Glucose Monitor Wearable Patch,cgm,high,deep_scratch,scratch_universal_architecture,architecture_review_ready,false,10,30,120,10,true,5,6,7.67,bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/critical_part_unpriced; bom/low_priced_line_ratio,"Deep deterministic grammar exists, but engineering evidence and sourcing evidence are still required before publication.","Continue evidence intake, source-backed BoM admission and class-specific depth improvements."
