rowType,id,moduleId,moduleName,subModuleId,subModuleName,componentWordId,label,status,interfaces,componentWordIds,criticalComponentWordIds,duplicateComponentWordIds,blockers,requiredAction
submodule,structure_containment:growing_rack_stack,structure_containment,Growing Structure And Containment,growing_rack_stack,Growing rack stack,,,ready,tray_support; service_access,growing_rack_structure; aluminium_extrusion_upright; cross_brace_set; adjustable_levelling_foot; tray_slide_rail,growing_rack_structure,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:crop_tray_carriers,structure_containment,Growing Structure And Containment,crop_tray_carriers,Crop tray carriers,,,ready,tray_support; nutrient_loop,food_safe_grow_tray; nft_channel_insert; seedling_raft; root_zone_cover; tray_drain_fitting,,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:enclosure_panels,structure_containment,Growing Structure And Containment,enclosure_panels,Enclosure panels,,,ready,washdown_boundary; airflow,washdown_side_panel; clear_inspection_door; epdm_door_gasket; condensate_drip_channel,,,,Submodule has component candidates and no allocation blocker.
submodule,environmental_interface:horticultural_lighting,environmental_interface,Light Climate And Gas Environment,horticultural_lighting,Horticultural lighting,,,ready,lighting_control; mains_supply; service_access,led_grow_lights; dimmable_led_driver; lighting_suspension_bracket; ppfd_calibration_target; glare_shield,led_grow_lights,,,Submodule has component candidates and no allocation blocker.
submodule,environmental_interface:canopy_air_mixing,environmental_interface,Light Climate And Gas Environment,canopy_air_mixing,Canopy air mixing,,,ready,airflow; actuator_bus,air_circulation_fans; fan_guard_grille; airflow_baffle_plate; replaceable_intake_filter,air_circulation_fans,,,Submodule has component candidates and no allocation blocker.
submodule,environmental_interface:humidity_temperature_control,environmental_interface,Light Climate And Gas Environment,humidity_temperature_control,Humidity and temperature control,,,ready,airflow; sensor_bus; actuator_bus,dehumidifier_module; heat_exchanger_coil; condensate_pump; supply_air_temperature_probe; humidity_control_relay,,,,Submodule has component candidates and no allocation blocker.
submodule,environmental_interface:co2_enrichment,environmental_interface,Light Climate And Gas Environment,co2_enrichment,CO2 enrichment,,,ready,airflow; sensor_bus; actuator_bus,co2_sensor_or_dosing; ndir_co2_sensor_head; co2_solenoid_valve; gas_regulator; co2_distribution_tube,co2_sensor_or_dosing,,,Submodule has component candidates and no allocation blocker.
submodule,mass_fluid_transport_process:reservoir_plumbing,mass_fluid_transport_process,Nutrient And Water Transport Process,reservoir_plumbing,Reservoir and plumbing,,,ready,nutrient_loop; service_access,reservoir_and_plumbing_set; opaque_nutrient_reservoir; bulkhead_fitting_set; pvc_u_manifold; return_drain_header,reservoir_and_plumbing_set,,,Submodule has component candidates and no allocation blocker.
submodule,mass_fluid_transport_process:fertigation_pumping,mass_fluid_transport_process,Nutrient And Water Transport Process,fertigation_pumping,Fertigation pumping,,,ready,nutrient_loop; actuator_bus; sensor_bus,nutrient_pump; pump_isolation_valve; check_valve; flow_meter; pump_vibration_mount,nutrient_pump,,,Submodule has component candidates and no allocation blocker.
submodule,mass_fluid_transport_process:nutrient_dosing,mass_fluid_transport_process,Nutrient And Water Transport Process,nutrient_dosing,Nutrient dosing,,,ready,nutrient_loop; actuator_bus; sensor_bus,peristaltic_dosing_pump; ph_dosing_pump; chemical_suction_lance; anti_siphon_valve; mixing_eductor,,,,Submodule has component candidates and no allocation blocker.
submodule,mass_fluid_transport_process:filtration_sanitation,mass_fluid_transport_process,Nutrient And Water Transport Process,filtration_sanitation,Filtration and sanitation,,,ready,nutrient_loop; service_access,inline_mesh_filter; uv_steriliser; drain_valve; sample_port,,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:climate_sensors,sensing_instrumentation,Crop And Process Instrumentation,climate_sensors,Climate sensors,,,ready,sensor_bus; airflow,temperature_humidity_probe; par_light_sensor; leaf_temperature_sensor; differential_pressure_switch,,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:nutrient_sensors,sensing_instrumentation,Crop And Process Instrumentation,nutrient_sensors,Nutrient sensors,,,ready,sensor_bus; nutrient_loop,ph_probe; ec_probe; reservoir_level_sensor; solution_temperature_probe,,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:crop_observation,sensing_instrumentation,Crop And Process Instrumentation,crop_observation,Crop observation,,,ready,video_link; sensor_bus,rgb_crop_camera; camera_light_shield; time_lapse_controller; calibration_colour_card,,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:environmental_controller,control_compute_communication,Recipe Control And Communications,environmental_controller,Environmental controller,,,ready,sensor_bus; actuator_bus; lighting_control,environmental_controller; din_rail_plc; analog_input_module; relay_output_module; real_time_clock_module,environmental_controller,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:recipe_management,control_compute_communication,Recipe Control And Communications,recipe_management,Recipe management,,,ready,operator_network; lighting_control,recipe_database; set_point_scheduler; alarm_historian; data_export_module,,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:remote_monitoring,control_compute_communication,Recipe Control And Communications,remote_monitoring,Remote monitoring,,,ready,operator_network; video_link,industrial_ethernet_switch; wi_fi_gateway; mqtt_telemetry_bridge; sms_alarm_modem,,,,Submodule has component candidates and no allocation blocker.
