id,sequence,kind,priority,status,subjectId,scope,issue,acquisitionTarget,requiredFields,disallowedEvidence,intakeArtifacts,acceptanceCriteria,blocksBom,blocksPublish
acquire:1:readiness:2,1,sourcing,blocker,open,readiness:2,Report readiness gate,9 critical BoM line(s) lack source-backed cost evidence.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:2:readiness:3,2,verification,blocker,open,readiness:3,Report readiness gate,5 verification activity/activities remain blocked.,named_engineering_review,activityId; evidenceKind; reviewerName; verdict; evidenceRef; evidenceNote; reviewedAt,anonymous reviewer; unchecked model assertion; test-fixture:// review; source-evidence claims that belong in sourcing intake,*.verification-intake-template.csv; *.verification-plan.csv; *.verification-ledger.csv; *.engineering-review-pack.csv,"Verification intake accepts the row.; Verification ledger status is accepted, rejected or deferred with named evidence.; Reviewer evidence can be traced back to the relevant architecture or calculation activity.",no,yes
acquire:3:readiness:4,3,verification,blocker,open,readiness:4,Report readiness gate,0/25 non-sourcing verification activity/activities have accepted reviewer evidence.,named_engineering_review,activityId; evidenceKind; reviewerName; verdict; evidenceRef; evidenceNote; reviewedAt,anonymous reviewer; unchecked model assertion; test-fixture:// review; source-evidence claims that belong in sourcing intake,*.verification-intake-template.csv; *.verification-plan.csv; *.verification-ledger.csv; *.engineering-review-pack.csv,"Verification intake accepts the row.; Verification ledger status is accepted, rejected or deferred with named evidence.; Reviewer evidence can be traced back to the relevant architecture or calculation activity.",no,yes
acquire:4:assumption:metric:capex_gbp,4,sourcing,blocker,ready_for_intake,assumption:metric:capex_gbp,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:5:assumption:metric:opex_annual_gbp,5,sourcing,blocker,ready_for_intake,assumption:metric:opex_annual_gbp,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:6:sourcing:inverter_scroll_compressor,6,sourcing,blocker,ready_for_intake,inverter_scroll_compressor,Inverter scroll compressor,Required class-critical line must be sourced before BoM can pass.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:7:sourcing:electronic_expansion_valve,7,sourcing,blocker,ready_for_intake,electronic_expansion_valve,Electronic expansion valve,Required class-critical line must be sourced before BoM can pass.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:8:sourcing:outdoor_finned_evaporator_coil,8,sourcing,blocker,ready_for_intake,outdoor_finned_evaporator_coil,Outdoor finned evaporator coil,Required class-critical line must be sourced before BoM can pass.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:9:sourcing:variable_speed_fan_assembly,9,sourcing,blocker,ready_for_intake,variable_speed_fan_assembly,Variable-speed fan assembly,Required class-critical line must be sourced before BoM can pass.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:10:sourcing:brazed_plate_heat_exchanger,10,sourcing,blocker,ready_for_intake,brazed_plate_heat_exchanger,Brazed plate heat exchanger,Required class-critical line must be sourced before BoM can pass.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:11:sourcing:hydronic_circulation_pump,11,sourcing,blocker,ready_for_intake,hydronic_circulation_pump,Hydronic circulation pump,Required class-critical line must be sourced before BoM can pass.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:12:sourcing:hydronic_safety_valve_kit,12,sourcing,blocker,ready_for_intake,hydronic_safety_valve_kit,Hydronic safety valve kit,Required class-critical line must be sourced before BoM can pass.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:13:sourcing:heat_pump_controller_pcb,13,sourcing,blocker,ready_for_intake,heat_pump_controller_pcb,Heat pump controller PCB,Required class-critical line must be sourced before BoM can pass.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:14:sourcing:refrigerant_sensor_and_pressure_transducers,14,sourcing,blocker,ready_for_intake,refrigerant_sensor_and_pressure_transducers,Refrigerant sensor and pressure transducers,Required class-critical line must be sourced before BoM can pass.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:15:verification:design_review:energy_conversion_transduction,15,verification,major,ready_for_intake,design_review:energy_conversion_transduction,Refrigerant Energy Conversion,Review Refrigerant Energy Conversion architecture allocation,named_engineering_review,activityId; evidenceKind; reviewerName; verdict; evidenceRef; evidenceNote; reviewedAt,anonymous reviewer; unchecked model assertion; test-fixture:// review; source-evidence claims that belong in sourcing intake,*.verification-intake-template.csv; *.verification-plan.csv; *.verification-ledger.csv; *.engineering-review-pack.csv,"Verification intake accepts the row.; Verification ledger status is accepted, rejected or deferred with named evidence.; Reviewer evidence can be traced back to the relevant architecture or calculation activity.",no,yes
acquire:16:verification:calculation:energy_conversion_transduction,16,verification,major,ready_for_intake,calculation:energy_conversion_transduction,Refrigerant Energy Conversion,Verify Refrigerant Energy Conversion requirement calculations,named_engineering_review,activityId; evidenceKind; reviewerName; verdict; evidenceRef; evidenceNote; reviewedAt,anonymous reviewer; unchecked model assertion; test-fixture:// review; source-evidence claims that belong in sourcing intake,*.verification-intake-template.csv; *.verification-plan.csv; *.verification-ledger.csv; *.engineering-review-pack.csv,"Verification intake accepts the row.; Verification ledger status is accepted, rejected or deferred with named evidence.; Reviewer evidence can be traced back to the relevant architecture or calculation activity.",no,yes
acquire:17:verification:design_review:environmental_interface,17,verification,major,ready_for_intake,design_review:environmental_interface,Outdoor Air Interface,Review Outdoor Air Interface architecture allocation,named_engineering_review,activityId; evidenceKind; reviewerName; verdict; evidenceRef; evidenceNote; reviewedAt,anonymous reviewer; unchecked model assertion; test-fixture:// review; source-evidence claims that belong in sourcing intake,*.verification-intake-template.csv; *.verification-plan.csv; *.verification-ledger.csv; *.engineering-review-pack.csv,"Verification intake accepts the row.; Verification ledger status is accepted, rejected or deferred with named evidence.; Reviewer evidence can be traced back to the relevant architecture or calculation activity.",no,yes
