id,kind,priority,status,scope,issue,requiredEvidence,closurePath,blocks,linkedIds,source
readiness:1,readiness_blocker,blocker,open,Report readiness gate,bom score 1 is below 8.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",score_repair,publishable,,report_readiness_gate
readiness:2,readiness_blocker,blocker,open,Report readiness gate,5 critical BoM line(s) lack source-backed cost evidence.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",sourcing_intake,bom; publishable,,report_readiness_gate
readiness:3,readiness_blocker,blocker,open,Report readiness gate,5 verification activity/activities remain blocked.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",verification_intake,publishable,,report_readiness_gate
readiness:4,readiness_blocker,blocker,open,Report readiness gate,1/25 non-sourcing verification activity/activities have accepted reviewer evidence.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",verification_intake,publishable,,report_readiness_gate
calculation:bess_nameplate_annual_throughput_mwh,calculation_review,major,needs_review,BESS annual nameplate throughput,1277.5 MWh/year assumes one full equivalent cycle per day.,"Confirm cycles per year, usable depth of discharge, round-trip efficiency and degradation assumptions.",engineering_review,publishable,capacity_mwh,engineering_calculation_ledger
assumption:metric:headline_output,assumption_review,major,needs_review,Annual MWh delivered,Annual MWh delivered uses capacity_mwh * cycles_per_year * efficiency with medium confidence.,"Review the formula, input values and operating envelope before treating this metric as a performance claim.",engineering_review,publishable,,engineering_assumption_ledger
assumption:metric:capex_gbp,assumption_review,major,needs_review,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,Admit source-backed BoM pricing before treating this cost metric as a claim.,engineering_review,publishable,,engineering_assumption_ledger
assumption:metric:opex_annual_gbp,assumption_review,major,needs_review,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,Admit source-backed BoM pricing before treating this cost metric as a claim.,engineering_review,publishable,,engineering_assumption_ledger
assumption:sanity:bess_c_rate,assumption_review,major,needs_review,BESS C-Rate,BESS C-Rate currently evaluates as pass against 0.1C to 1.0C for typical grid-storage duration systems.,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,capacity_mwh; power_mw,engineering_assumption_ledger
assumption:sanity:bess_duration,assumption_review,major,needs_review,Rated Duration,Rated Duration currently evaluates as pass against 1 to 6 hours for common containerised BESS applications.,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,capacity_mwh; power_mw,engineering_assumption_ledger
assumption:sanity:bess_container_energy_density,assumption_review,major,needs_review,Container-Level Energy Density,Container-Level Energy Density currently evaluates as pass against 50 to 200 Wh/kg at container/system level before detailed structural mass review.,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,capacity_mwh; mass_kg,engineering_assumption_ledger
assumption:compliance:IEC-62619,assumption_review,major,needs_review,IEC-62619,Industrial lithium battery safety is relevant to this product class in Global / UK-adopted.,Cell certificates and pack-level safety validation.,engineering_review,publishable,,engineering_assumption_ledger
assumption:compliance:UL-9540A,assumption_review,major,needs_review,UL-9540A,Thermal runaway fire propagation test is relevant to this product class in US / investor diligence.,"Cell, module and unit-level propagation evidence.",engineering_review,publishable,,engineering_assumption_ledger
assumption:compliance:G99,assumption_review,major,needs_review,G99,UK grid connection requirements is relevant to this product class in UK.,"Protection settings, relay test certificates and commissioning records.",engineering_review,publishable,,engineering_assumption_ledger
sourcing:dc_contactor_or_breaker,sourcing_evidence,blocker,ready_for_intake,DC contactor or breaker,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,dc_contactor_or_breaker,sourcing_worklist
sourcing:pcs_inverter,sourcing_evidence,blocker,ready_for_intake,PCS inverter,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,pcs_inverter,sourcing_worklist
sourcing:bms_master_controller,sourcing_evidence,blocker,ready_for_intake,BMS master controller,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,bms_master_controller,sourcing_worklist
sourcing:fire_detection_suppression,sourcing_evidence,blocker,ready_for_intake,Fire detection/suppression,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,fire_detection_suppression,sourcing_worklist
sourcing:thermal_management_loop,sourcing_evidence,blocker,ready_for_intake,Thermal management loop,Required class-critical line must be sourced before BoM can pass.,"Supplier name, manufacturer, MPN where applicable, unit cost, lead time and source quote/reference through sourcing intake.",sourcing_intake,bom; publishable,thermal_management_loop,sourcing_worklist
verification:calculation:energy_storage_source,verification_evidence,major,ready_for_intake,Energy Storage Source,Verify Energy Storage Source requirement calculations,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,calculation:energy_storage_source,verification_evidence_ledger
verification:design_review:energy_conversion_transduction,verification_evidence,major,ready_for_intake,Power Conversion System,Review Power Conversion System architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:energy_conversion_transduction,verification_evidence_ledger
verification:calculation:energy_conversion_transduction,verification_evidence,major,ready_for_intake,Power Conversion System,Verify Power Conversion System requirement calculations,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,calculation:energy_conversion_transduction,verification_evidence_ledger
verification:design_review:structure_containment,verification_evidence,major,ready_for_intake,Container Structure And Fit-Out,Review Container Structure And Fit-Out architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:structure_containment,verification_evidence_ledger
verification:calculation:structure_containment,verification_evidence,major,ready_for_intake,Container Structure And Fit-Out,Verify Container Structure And Fit-Out requirement calculations,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,calculation:structure_containment,verification_evidence_ledger
verification:design_review:sensing_instrumentation,verification_evidence,major,ready_for_intake,Sensing And Instrumentation,Review Sensing And Instrumentation architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:sensing_instrumentation,verification_evidence_ledger
verification:design_review:control_compute_communication,verification_evidence,major,ready_for_intake,Control Compute And Communication,Review Control Compute And Communication architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:control_compute_communication,verification_evidence_ledger
verification:calculation:control_compute_communication,verification_evidence,major,ready_for_intake,Control Compute And Communication,Verify Control Compute And Communication requirement calculations,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,calculation:control_compute_communication,verification_evidence_ledger
verification:design_review:safety_protection,verification_evidence,major,ready_for_intake,Safety Protection And Interlocks,Review Safety Protection And Interlocks architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:safety_protection,verification_evidence_ledger
verification:design_review:environmental_interface,verification_evidence,major,ready_for_intake,Environmental Interface,Review Environmental Interface architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:environmental_interface,verification_evidence_ledger
verification:design_review:power_distribution,verification_evidence,major,ready_for_intake,DC And AC Power Distribution,Review DC And AC Power Distribution architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:power_distribution,verification_evidence_ledger
verification:calculation:power_distribution,verification_evidence,major,ready_for_intake,DC And AC Power Distribution,Verify DC And AC Power Distribution requirement calculations,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,calculation:power_distribution,verification_evidence_ledger
verification:design_review:maintenance_serviceability,verification_evidence,major,ready_for_intake,Maintenance And Serviceability,Review Maintenance And Serviceability architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:maintenance_serviceability,verification_evidence_ledger
verification:calculation:maintenance_serviceability,verification_evidence,major,ready_for_intake,Maintenance And Serviceability,Verify Maintenance And Serviceability requirement calculations,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,calculation:maintenance_serviceability,verification_evidence_ledger
verification:design_review:mass_fluid_transport_process,verification_evidence,major,ready_for_intake,Coolant Circulation Process,Review Coolant Circulation Process architecture allocation,Collect reviewer evidence through the verification intake template.,verification_intake,publishable,design_review:mass_fluid_transport_process,verification_evidence_ledger
