moduleId,moduleName,verdict,subModuleCount,componentWordCount,interfaceCount,linkedRequirementCount,requiredInterfaceContracts,carrierCompleteInterfaceContracts,blockedAllocationRows,reviewQuestions,acceptedReviewQuestions,blockedReviewQuestions,linkedCalculationRows,assumptionReviewRows,criticalBomLines,unpricedCriticalLines,passRatio,blockers,requiredAction
structure_containment,Rack Structure Containment,review,3,12,4,1,1,1,0,9,0,0,1,4,1,1,0.86,,1 critical BoM line(s) need source-backed cost evidence. 9 engineering review question(s) await acceptance. 4 assumption row(s) need review or source evidence.
compute_acceleration,Compute Acceleration,review,3,12,6,1,3,3,0,15,0,0,1,11,4,4,0.86,,4 critical BoM line(s) need source-backed cost evidence. 15 engineering review question(s) await acceptance. 11 assumption row(s) need review or source evidence.
network_io,Network IO,review,3,12,5,0,1,1,0,6,0,0,0,3,1,1,0.71,,1 critical BoM line(s) need source-backed cost evidence. 6 engineering review question(s) await acceptance. 3 assumption row(s) need review or source evidence.
data_storage,Data Storage,review,3,12,5,0,1,1,0,6,0,0,0,3,1,1,0.71,,1 critical BoM line(s) need source-backed cost evidence. 6 engineering review question(s) await acceptance. 3 assumption row(s) need review or source evidence.
control_compute_communication,Control Compute Communication,review,3,12,8,1,4,4,0,13,0,0,1,8,1,1,0.86,,1 critical BoM line(s) need source-backed cost evidence. 13 engineering review question(s) await acceptance. 8 assumption row(s) need review or source evidence.
power_distribution,Power Distribution,review,3,12,7,1,2,2,0,11,0,0,2,6,1,1,0.86,,1 critical BoM line(s) need source-backed cost evidence. 11 engineering review question(s) await acceptance. 6 assumption row(s) need review or source evidence.
environmental_interface,Thermal Airflow Interface,review,3,12,5,3,2,2,0,14,0,0,2,9,2,2,0.86,,2 critical BoM line(s) need source-backed cost evidence. 14 engineering review question(s) await acceptance. 9 assumption row(s) need review or source evidence.
sensing_instrumentation,Telemetry Instrumentation,review,3,12,5,0,1,1,0,5,0,0,0,1,0,0,0.71,,5 engineering review question(s) await acceptance. 1 assumption row(s) need review or source evidence.
safety_protection,Security And Safety Protection,review,3,12,7,1,1,1,0,10,0,0,2,4,1,1,0.86,,1 critical BoM line(s) need source-backed cost evidence. 10 engineering review question(s) await acceptance. 4 assumption row(s) need review or source evidence.
maintenance_serviceability,Field Maintenance Serviceability,review,3,12,5,1,0,0,0,7,0,0,1,3,0,0,0.86,,7 engineering review question(s) await acceptance. 3 assumption row(s) need review or source evidence.
