id,category,status,scope,assumption,basis,evidenceRequired,linkedRequirements,linkedInterfaces,linkedComponents,blocksArchitecture,blocksBom
brief:wingspan_m,brief_requirement,brief_supported,Wingspan,"Wingspan = 35 m is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",wingspan_m,,,false,false
brief:endurance_days,brief_requirement,brief_supported,Endurance,"Endurance = 30 days is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",endurance_days,,,false,false
brief:altitude_km,brief_requirement,brief_supported,Operating altitude,"Operating altitude = 20 km is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",altitude_km,,,false,false
metric:headline_output,derived_metric,review_required,Station-keeping endurance,Station-keeping endurance uses endurance_days with medium confidence.,class_pack:haps.class_pack; formula:endurance_days,"Review the formula, input values and operating envelope before treating this metric as a performance claim.",,,,false,false
metric:capex_gbp,derived_metric,source_required,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,formula:capex=sum(bom.totalCostGbp); class_pack:haps.class_pack,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,true
metric:opex_annual_gbp,derived_metric,source_required,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,formula:opex=capex*0.04,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,true
sanity:haps_altitude_band,sanity_envelope,review_required,Stratospheric Altitude Band,"Stratospheric Altitude Band currently evaluates as pass against 15 to 25 km for common HAPS station-keeping concepts; outside this band needs atmospheric, power and airspace evidence.",brief:input.brief; model:engineering_sanity.haps; model:engineering_sanity.haps,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",altitude_km,,,false,false
sanity:haps_endurance_target,sanity_envelope,review_required,Station-Keeping Endurance,"Station-Keeping Endurance currently evaluates as pass against <=60 days plausible for early solar HAPS concept, 60-180 days needs strong degradation and energy evidence, >180 days is high risk.",brief:input.brief; model:engineering_sanity.haps; model:engineering_sanity.haps,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",endurance_days,,,false,false
sanity:haps_wingspan_envelope,sanity_envelope,review_required,Wing Span Envelope,Wing Span Envelope currently evaluates as pass against 10 to 80 m for lightweight demonstrator-to-service HAPS concepts before aeroelastic proof.,brief:input.brief; model:engineering_sanity.haps; model:engineering_sanity.haps,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",wingspan_m,,,false,false
sanity:haps_energy_flight_closure,sanity_envelope,review_required,Solar/Energy/Flight Closure,"Solar/Energy/Flight Closure currently evaluates as pass against solar DC, battery DC, propulsion power, flight control and battery monitor paths present.",model:engineering_sanity.haps; model:engineering_sanity.haps,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",wingspan_m; endurance_days; altitude_km,,,false,false
sanity:haps_payload_comms_safety,sanity_envelope,review_required,Payload/Telemetry/Safety Closure,"Payload/Telemetry/Safety Closure currently evaluates as pass against payload data, payload power, telemetry, hardwired trip, thermal path and recovery parachute present.",model:engineering_sanity.haps; model:engineering_sanity.haps,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",altitude_km,,,false,false
interface:energy_harvesting:power_distribution:solar_dc_bus,interface_closure,model_present,energy_harvesting -> power_distribution,solar_dc_bus is named on both endpoint modules in the generated architecture.,Solar array output must feed power management over a declared DC bus.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,solar_dc_bus,,false,false
