id,kind,priority,status,scope,reviewerQuestion,evidenceRequired,acceptanceCriteria,linkedModuleIds,linkedSubModuleIds,linkedComponentWordIds,linkedRequirementIds,linkedInterfaceIds,linkedCalculationIds,blockers
assumption_resolution:compliance:CE-EMC,assumption_resolution,major,needs_review,CE-EMC,"Can the CE-EMC assumption be accepted for architecture review, or must it be replaced with evidence?","EMC design review, pre-compliance or test evidence for rack appliance.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:IEC-62368-1,assumption_resolution,major,needs_review,IEC-62368-1,"Can the IEC-62368-1 assumption be accepted for architecture review, or must it be replaced with evidence?","Electrical safety, enclosure, temperature and abnormal-operation evidence.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:SECURE-BOOT-REVIEW,assumption_resolution,major,needs_review,SECURE-BOOT-REVIEW,"Can the SECURE-BOOT-REVIEW assumption be accepted for architecture review, or must it be replaced with evidence?","TPM, measured boot, firmware signing, recovery and management-access evidence.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:component:compute_acceleration_accelerator_module_ai_accelerator_module,assumption_resolution,major,needs_review,AI accelerator module,"Can the AI accelerator module assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",compute_acceleration,,ai_accelerator_module,,,,
assumption_resolution:component:compute_acceleration_cpu_memory_complex_cpu_module,assumption_resolution,major,needs_review,CPU module,"Can the CPU module assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",compute_acceleration,,cpu_module,,,,
assumption_resolution:component:compute_acceleration_cpu_memory_complex_ecc_memory,assumption_resolution,major,needs_review,ECC memory,"Can the ECC memory assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",compute_acceleration,,ecc_memory,,,,
assumption_resolution:component:compute_acceleration_cpu_memory_complex_system_motherboard,assumption_resolution,major,needs_review,System motherboard,"Can the System motherboard assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",compute_acceleration,,system_motherboard,,,,
assumption_resolution:component:control_compute_communication_host_control_bmc_management_controller,assumption_resolution,major,needs_review,BMC management controller,"Can the BMC management controller assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",control_compute_communication,,bmc_management_controller,,,,
assumption_resolution:component:data_storage_nvme_storage_nvme_ssd,assumption_resolution,major,needs_review,NVMe SSD,"Can the NVMe SSD assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",data_storage,,nvme_ssd,,,,
assumption_resolution:component:environmental_interface_forced_air_cooling_fan_wall_assembly,assumption_resolution,major,needs_review,Fan wall assembly,"Can the Fan wall assembly assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",environmental_interface,,fan_wall_assembly,,,,
