lineId,componentWordId,description,duplicateGroupSize,duplicatePeerLineIds,duplicateResolution,priority,ledgerStatus,quantity,unit,unitCostGbp,totalCostGbp,supplier,manufacturer,mpn,leadTimeWeeks,sourceGrade,evidenceRef,evidenceQuote,retrievedAt,rejectionReasons,nextAction
structure_containment_rack_chassis_1u_rack_chassis,1u_rack_chassis,1U rack chassis,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_rack_chassis_slide_rail_kit,slide_rail_kit,slide rail kit,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_rack_chassis_internal_divider_panel,internal_divider_panel,internal divider panel,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_rack_chassis_front_bezel_assembly,front_bezel_assembly,front bezel assembly,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_accelerator_mounting_accelerator_retention_bracket,accelerator_retention_bracket,accelerator retention bracket,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_accelerator_mounting_pcie_riser_support,pcie_riser_support,PCIe riser support,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_accelerator_mounting_card_stiffener_rail,card_stiffener_rail,card stiffener rail,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_accelerator_mounting_gpu_airflow_baffle,gpu_airflow_baffle,GPU airflow baffle,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_service_labelling_asset_label_plate,asset_label_plate,asset label plate,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_service_labelling_airflow_direction_label,airflow_direction_label,airflow direction label,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_service_labelling_rack_ear_set,rack_ear_set,rack ear set,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_service_labelling_cable_management_arm,cable_management_arm,cable management arm,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
compute_acceleration_accelerator_module_ai_accelerator_module,ai_accelerator_module,AI accelerator module,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
compute_acceleration_accelerator_module_accelerator_carrier_board,accelerator_carrier_board,accelerator carrier board,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
compute_acceleration_accelerator_module_pcie_edge_connector,pcie_edge_connector,PCIe edge connector,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
compute_acceleration_accelerator_module_accelerator_retention_latch,accelerator_retention_latch,accelerator retention latch,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
compute_acceleration_cpu_memory_complex_cpu_module,cpu_module,CPU module,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
compute_acceleration_cpu_memory_complex_ecc_memory,ecc_memory,ECC memory,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
compute_acceleration_cpu_memory_complex_system_motherboard,system_motherboard,System motherboard,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
compute_acceleration_cpu_memory_complex_boot_flash_device,boot_flash_device,boot flash device,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
compute_acceleration_signal_power_integrity_high_current_vrm_module,high_current_vrm_module,high-current VRM module,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
compute_acceleration_signal_power_integrity_pcie_retimer_set,pcie_retimer_set,PCIe retimer set,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
