id,category,status,scope,assumption,basis,evidenceRequired,linkedRequirements,linkedInterfaces,linkedComponents,blocksArchitecture,blocksBom
brief:envelope_length_m,brief_requirement,brief_supported,Envelope length,"Envelope length = 2.4 m is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",envelope_length_m,,,false,false
brief:envelope_width_m,brief_requirement,brief_supported,Envelope width,"Envelope width = 1.4 m is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",envelope_width_m,,,false,false
brief:footprint_m2,brief_requirement,brief_supported,Footprint,"Footprint = 3.36 m2 is treated as a design input, not as independently verified truth.",length_m * width_m,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",footprint_m2,,,false,false
metric:headline_output,derived_metric,review_required,Annual leafy-green yield,Annual leafy-green yield uses class_pack_default with low confidence.,class_pack:vertical_farm.class_pack; formula:class_pack_default,"Review the formula, input values and operating envelope before treating this metric as a performance claim.",,,,false,false
metric:capex_gbp,derived_metric,source_required,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,formula:capex=sum(bom.totalCostGbp); class_pack:vertical_farm.class_pack,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,true
metric:opex_annual_gbp,derived_metric,source_required,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,formula:opex=capex*0.04,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,true
sanity:farm_footprint,sanity_envelope,review_required,Grow Unit Footprint,Grow Unit Footprint currently evaluates as pass against 1 to 20 m2 for compact prototype grow units.,brief:input.brief; formula:length_m * width_m; model:engineering_sanity.vertical_farm; model:engineering_sanity.vertical_farm,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",envelope_length_m; envelope_width_m; footprint_m2,,,false,false
sanity:farm_wet_electrical_separation,sanity_envelope,review_required,Wet/Electrical Separation,"Wet/Electrical Separation currently evaluates as pass against washdown boundary, mains supply and protective-earth interfaces present.",model:engineering_sanity.vertical_farm; model:engineering_sanity.vertical_farm,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",envelope_length_m; envelope_width_m; footprint_m2,,,false,false
sanity:farm_process_closure,sanity_envelope,review_required,Climate/Nutrient/Control Closure,"Climate/Nutrient/Control Closure currently evaluates as pass against environmental, nutrient transport, sensing and control modules all present.",model:engineering_sanity.vertical_farm; model:engineering_sanity.vertical_farm,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",envelope_length_m; envelope_width_m; footprint_m2,,,false,false
interface:control_compute_communication:environmental_interface:actuator_bus,interface_closure,model_present,control_compute_communication -> environmental_interface,actuator_bus is named on both endpoint modules in the generated architecture.,"Farm controller must command lighting, CO2 dosing and airflow.","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,actuator_bus,,false,false
interface:control_compute_communication:mass_fluid_transport_process:actuator_bus,interface_closure,model_present,control_compute_communication -> mass_fluid_transport_process,actuator_bus is named on both endpoint modules in the generated architecture.,Farm controller must command fertigation pumps and nutrient circulation.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,actuator_bus,,false,false
interface:environmental_interface:mass_fluid_transport_process:sensor_bus,interface_closure,model_present,environmental_interface -> mass_fluid_transport_process,sensor_bus is named on both endpoint modules in the generated architecture.,Climate and fertigation state must be observable by the same control layer.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,sensor_bus,,false,false
component:structure_containment_growing_rack_stack_growing_rack_structure,critical_component,source_required,Growing rack structure,Growing rack structure is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.vertical_farm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,growing_rack_structure,false,true
component:environmental_interface_horticultural_lighting_led_grow_lights,critical_component,source_required,LED grow lights,LED grow lights is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.vertical_farm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,led_grow_lights,false,true
component:environmental_interface_canopy_air_mixing_air_circulation_fans,critical_component,source_required,Air circulation fans,Air circulation fans is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.vertical_farm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,air_circulation_fans,false,true
component:environmental_interface_co2_enrichment_co2_sensor_or_dosing,critical_component,source_required,CO2 sensor or dosing,CO2 sensor or dosing is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.vertical_farm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,co2_sensor_or_dosing,false,true
component:mass_fluid_transport_process_reservoir_plumbing_reservoir_and_plumbing_set,critical_component,source_required,Reservoir and plumbing set,Reservoir and plumbing set is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.vertical_farm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,reservoir_and_plumbing_set,false,true
component:mass_fluid_transport_process_fertigation_pumping_nutrient_pump,critical_component,source_required,Nutrient pump,Nutrient pump is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.vertical_farm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,nutrient_pump,false,true
component:control_compute_communication_environmental_controller_environmental_controller,critical_component,source_required,Environmental controller,Environmental controller is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.vertical_farm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,environmental_controller,false,true
component:power_distribution_mains_panel_rcd_isolator_panel,critical_component,source_required,RCD isolator panel,RCD isolator panel is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.vertical_farm,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,rcd_isolator_panel,false,true
compliance:CE-UKCA,compliance_evidence,review_required,CE-UKCA,Electrical safety and UKCA/CE file is relevant to this product class in UK/EU.,class_pack:vertical_farm.class_pack,"Technical file, electrical risk assessment and declarations.",,,,false,false
