activityId,activity,evidenceKind,plannedStatus,ledgerStatus,moduleId,moduleName,reviewerName,evidenceRef,evidenceNote,reviewedAt,residualAction
design_review:structure_containment,Review Growing Structure And Containment architecture allocation,design_review,ready_for_review,pending,structure_containment,Growing Structure And Containment,,,,,Collect reviewer evidence through the verification intake template.
calculation:structure_containment,Verify Growing Structure And Containment requirement calculations,calculation,ready_for_review,pending,structure_containment,Growing Structure And Containment,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:structure_containment,Collect source-backed evidence for Growing Structure And Containment critical components,source_evidence,blocked,source_evidence_required,structure_containment,Growing Structure And Containment,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:environmental_interface,Review Light Climate And Gas Environment architecture allocation,design_review,ready_for_review,pending,environmental_interface,Light Climate And Gas Environment,,,,,Collect reviewer evidence through the verification intake template.
calculation:environmental_interface,Verify Light Climate And Gas Environment requirement calculations,calculation,ready_for_review,pending,environmental_interface,Light Climate And Gas Environment,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:environmental_interface,Collect source-backed evidence for Light Climate And Gas Environment critical components,source_evidence,blocked,source_evidence_required,environmental_interface,Light Climate And Gas Environment,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:mass_fluid_transport_process,Review Nutrient And Water Transport Process architecture allocation,design_review,ready_for_review,pending,mass_fluid_transport_process,Nutrient And Water Transport Process,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:mass_fluid_transport_process,Collect source-backed evidence for Nutrient And Water Transport Process critical components,source_evidence,blocked,source_evidence_required,mass_fluid_transport_process,Nutrient And Water Transport Process,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:sensing_instrumentation,Review Crop And Process Instrumentation architecture allocation,design_review,ready_for_review,pending,sensing_instrumentation,Crop And Process Instrumentation,,,,,Collect reviewer evidence through the verification intake template.
design_review:control_compute_communication,Review Recipe Control And Communications architecture allocation,design_review,ready_for_review,pending,control_compute_communication,Recipe Control And Communications,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:control_compute_communication,Collect source-backed evidence for Recipe Control And Communications critical components,source_evidence,blocked,source_evidence_required,control_compute_communication,Recipe Control And Communications,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:power_distribution,Review Wet-Zone Power Distribution architecture allocation,design_review,ready_for_review,pending,power_distribution,Wet-Zone Power Distribution,,,,,Collect reviewer evidence through the verification intake template.
source_evidence:power_distribution,Collect source-backed evidence for Wet-Zone Power Distribution critical components,source_evidence,blocked,source_evidence_required,power_distribution,Wet-Zone Power Distribution,,,,,"Use sourcing intake for supplier, manufacturer, MPN, cost and lead-time evidence."
design_review:safety_protection,Review Food-Safe Safety And Protection architecture allocation,design_review,ready_for_review,pending,safety_protection,Food-Safe Safety And Protection,,,,,Collect reviewer evidence through the verification intake template.
design_review:maintenance_serviceability,Review Harvest Cleaning And Serviceability architecture allocation,design_review,ready_for_review,pending,maintenance_serviceability,Harvest Cleaning And Serviceability,,,,,Collect reviewer evidence through the verification intake template.
calculation:maintenance_serviceability,Verify Harvest Cleaning And Serviceability requirement calculations,calculation,ready_for_review,pending,maintenance_serviceability,Harvest Cleaning And Serviceability,,,,,Collect reviewer evidence through the verification intake template.
design_review:hmi_ergonomics,Review Operator HMI And Labelling architecture allocation,design_review,ready_for_review,pending,hmi_ergonomics,Operator HMI And Labelling,,,,,Collect reviewer evidence through the verification intake template.
interface_review:control_compute_communication:environmental_interface:actuator_bus,Verify actuator_bus interface contract,interface_review,ready_for_review,pending,control_compute_communication:environmental_interface,Recipe Control And Communications -> Light Climate And Gas Environment,,,,,Collect reviewer evidence through the verification intake template.
interface_review:control_compute_communication:mass_fluid_transport_process:actuator_bus,Verify actuator_bus interface contract,interface_review,ready_for_review,pending,control_compute_communication:mass_fluid_transport_process,Recipe Control And Communications -> Nutrient And Water Transport Process,,,,,Collect reviewer evidence through the verification intake template.
interface_review:environmental_interface:mass_fluid_transport_process:sensor_bus,Verify sensor_bus interface contract,interface_review,ready_for_review,pending,environmental_interface:mass_fluid_transport_process,Light Climate And Gas Environment -> Nutrient And Water Transport Process,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:CE-UKCA,Plan evidence for CE-UKCA,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
compliance_review:WRAS,Plan evidence for WRAS,compliance_review,open,pending,system_compliance,System Compliance,,,,,Collect reviewer evidence through the verification intake template.
risk_review:1,Review risk control for Crop loss from pump failure,compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
risk_review:2,Review risk control for Electrical fault in humid grow area,compliance_review,open,pending,system_risk,System Risk Register,,,,,Collect reviewer evidence through the verification intake template.
