id,lineId,componentWordId,description,priority,quantity,unit,traceStatus,ledgerStatus,duplicateResolution,supplier,manufacturer,mpn,unitCostGbp,totalCostGbp,sourceRef,sourceReferenceClass,sourceReferenceStatus,sourceQualityIssues,supplierClaim,manufacturerClaim,mpnClaim,unitCostClaim,sourceBackedRequiredClaims,missingRequiredClaims,provenanceViolations,canDisplayCandidate,canDisplayPricedReview,canUseForProcurement,requiredAction
bom-trace:energy_conversion_transduction_compressor_inverter_stage_inverter_scroll_compressor,energy_conversion_transduction_compressor_inverter_stage_inverter_scroll_compressor,inverter_scroll_compressor,Inverter scroll compressor,critical,1,candidate,critical_unsourced,critical_unpriced,unique_allocation,,,,,,,,,,missing_source,missing_source,missing_source,missing_source,0,4,0,yes,no,no,Collect admissible source evidence for this critical line before BoM can pass.
bom-trace:energy_conversion_transduction_compressor_inverter_stage_compressor_inverter_drive,energy_conversion_transduction_compressor_inverter_stage_compressor_inverter_drive,compressor_inverter_drive,compressor inverter drive,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_conversion_transduction_compressor_inverter_stage_compressor_mounting_grommet_set,energy_conversion_transduction_compressor_inverter_stage_compressor_mounting_grommet_set,compressor_mounting_grommet_set,compressor mounting grommet set,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_conversion_transduction_compressor_inverter_stage_crankcase_heater_band,energy_conversion_transduction_compressor_inverter_stage_crankcase_heater_band,crankcase_heater_band,crankcase heater band,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_conversion_transduction_expansion_metering_stage_electronic_expansion_valve,energy_conversion_transduction_expansion_metering_stage_electronic_expansion_valve,electronic_expansion_valve,Electronic expansion valve,critical,1,candidate,critical_unsourced,critical_unpriced,unique_allocation,,,,,,,,,,missing_source,missing_source,missing_source,missing_source,0,4,0,yes,no,no,Collect admissible source evidence for this critical line before BoM can pass.
bom-trace:energy_conversion_transduction_expansion_metering_stage_eev_stepper_harness,energy_conversion_transduction_expansion_metering_stage_eev_stepper_harness,eev_stepper_harness,EEV stepper harness,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_conversion_transduction_expansion_metering_stage_liquid_line_filter_drier,energy_conversion_transduction_expansion_metering_stage_liquid_line_filter_drier,liquid_line_filter_drier,liquid-line filter drier,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_conversion_transduction_expansion_metering_stage_sight_glass_indicator,energy_conversion_transduction_expansion_metering_stage_sight_glass_indicator,sight_glass_indicator,sight glass indicator,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_conversion_transduction_refrigerant_manifold_copper_refrigerant_tube_set,energy_conversion_transduction_refrigerant_manifold_copper_refrigerant_tube_set,copper_refrigerant_tube_set,copper refrigerant tube set,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_conversion_transduction_refrigerant_manifold_service_valve_pair,energy_conversion_transduction_refrigerant_manifold_service_valve_pair,service_valve_pair,service valve pair,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
