id,lineId,componentWordId,description,priority,quantity,unit,traceStatus,ledgerStatus,duplicateResolution,supplier,manufacturer,mpn,unitCostGbp,totalCostGbp,sourceRef,sourceReferenceClass,sourceReferenceStatus,sourceQualityIssues,supplierClaim,manufacturerClaim,mpnClaim,unitCostClaim,sourceBackedRequiredClaims,missingRequiredClaims,provenanceViolations,canDisplayCandidate,canDisplayPricedReview,canUseForProcurement,requiredAction
bom-trace:power_distribution_ac_input_switchgear_ac_input_breaker_and_spd,power_distribution_ac_input_switchgear_ac_input_breaker_and_spd,ac_input_breaker_and_spd,AC input breaker and SPD,critical,1,candidate,critical_unsourced,critical_unpriced,unique_allocation,,,,,,,,,,missing_source,missing_source,missing_source,missing_source,0,4,0,yes,no,no,Collect admissible source evidence for this critical line before BoM can pass.
bom-trace:power_distribution_ac_input_switchgear_lockable_ac_isolator,power_distribution_ac_input_switchgear_lockable_ac_isolator,lockable_ac_isolator,lockable AC isolator,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:power_distribution_ac_input_switchgear_surge_arrestor_cartridge,power_distribution_ac_input_switchgear_surge_arrestor_cartridge,surge_arrestor_cartridge,surge arrestor cartridge,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:power_distribution_ac_input_switchgear_input_terminal_shroud,power_distribution_ac_input_switchgear_input_terminal_shroud,input_terminal_shroud,input terminal shroud,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:power_distribution_dc_output_switchgear_dc_output_contactor_set,power_distribution_dc_output_switchgear_dc_output_contactor_set,dc_output_contactor_set,DC output contactor set,critical,1,candidate,critical_unsourced,critical_unpriced,unique_allocation,,,,,,,,,,missing_source,missing_source,missing_source,missing_source,0,4,0,yes,no,no,Collect admissible source evidence for this critical line before BoM can pass.
bom-trace:power_distribution_dc_output_switchgear_precharge_resistor_module,power_distribution_dc_output_switchgear_precharge_resistor_module,precharge_resistor_module,precharge resistor module,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:power_distribution_dc_output_switchgear_dc_output_fuse_carrier,power_distribution_dc_output_switchgear_dc_output_fuse_carrier,dc_output_fuse_carrier,DC output fuse carrier,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:power_distribution_dc_output_switchgear_output_polarity_label,power_distribution_dc_output_switchgear_output_polarity_label,output_polarity_label,output polarity label,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:power_distribution_billing_metering_branch_mid_energy_meter,power_distribution_billing_metering_branch_mid_energy_meter,mid_energy_meter,MID energy meter,critical,1,candidate,duplicate_identity_review_required,critical_unpriced,canonical_review_required,,,,,,,,,,missing_source,missing_source,missing_source,missing_source,0,4,0,yes,no,no,Resolve duplicate component identity before pricing or using this line.
bom-trace:power_distribution_billing_metering_branch_meter_ct_shunt_set,power_distribution_billing_metering_branch_meter_ct_shunt_set,meter_ct_shunt_set,meter CT shunt set,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:power_distribution_billing_metering_branch_meter_seal_kit,power_distribution_billing_metering_branch_meter_seal_kit,meter_seal_kit,meter seal kit,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:power_distribution_billing_metering_branch_meter_calibration_label,power_distribution_billing_metering_branch_meter_calibration_label,meter_calibration_label,meter calibration label,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_conversion_transduction_rectifier_power_modules_power_module_stack,energy_conversion_transduction_rectifier_power_modules_power_module_stack,power_module_stack,Power module stack,critical,1,candidate,critical_unsourced,critical_unpriced,unique_allocation,,,,,,,,,,missing_source,missing_source,missing_source,missing_source,0,4,0,yes,no,no,Collect admissible source evidence for this critical line before BoM can pass.
bom-trace:energy_conversion_transduction_rectifier_power_modules_power_module_backplane,energy_conversion_transduction_rectifier_power_modules_power_module_backplane,power_module_backplane,power module backplane,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_conversion_transduction_rectifier_power_modules_module_locking_rail,energy_conversion_transduction_rectifier_power_modules_module_locking_rail,module_locking_rail,module locking rail,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_conversion_transduction_rectifier_power_modules_dc_link_capacitor_bank,energy_conversion_transduction_rectifier_power_modules_dc_link_capacitor_bank,dc_link_capacitor_bank,DC-link capacitor bank,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:energy_conversion_transduction_output_filtering_dc_output_choke,energy_conversion_transduction_output_filtering_dc_output_choke,dc_output_choke,DC output choke,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
