activityId,activity,evidenceKind,reviewerName,verdict,evidenceRef,evidenceNote,reviewedAt
design_review:structure_containment,Review Sterile Structure Containment architecture allocation,design_review,,,,,
calculation:structure_containment,Verify Sterile Structure Containment requirement calculations,calculation,,,,,
design_review:actuation_kinematics,Review Mixing And Agitation architecture allocation,design_review,,,,,
calculation:actuation_kinematics,Verify Mixing And Agitation requirement calculations,calculation,,,,,
design_review:mass_fluid_transport_process,Review Media Gas And Harvest Transport architecture allocation,design_review,,,,,
calculation:mass_fluid_transport_process,Verify Media Gas And Harvest Transport requirement calculations,calculation,,,,,
design_review:environmental_interface,Review Thermal Gas Exhaust Interface architecture allocation,design_review,,,,,
calculation:environmental_interface,Verify Thermal Gas Exhaust Interface requirement calculations,calculation,,,,,
design_review:sensing_instrumentation,Review Process Sensing Instrumentation architecture allocation,design_review,,,,,
design_review:control_compute_communication,Review Control Compute Communication architecture allocation,design_review,,,,,
design_review:power_distribution,Review Power Distribution architecture allocation,design_review,,,,,
design_review:safety_protection,Review Aseptic And Pressure Safety architecture allocation,design_review,,,,,
design_review:maintenance_serviceability,Review Setup Calibration And Service architecture allocation,design_review,,,,,
interface_review:structure_containment:mass_fluid_transport_process:sterile_fluid_path,Verify sterile_fluid_path interface contract,interface_review,,,,,
interface_review:actuation_kinematics:structure_containment:sterile_boundary,Verify sterile_boundary interface contract,interface_review,,,,,
interface_review:mass_fluid_transport_process:environmental_interface:gas_path,Verify gas_path interface contract,interface_review,,,,,
interface_review:sensing_instrumentation:control_compute_communication:sensor_bus,Verify sensor_bus interface contract,interface_review,,,,,
interface_review:control_compute_communication:mass_fluid_transport_process:pump_control,Verify pump_control interface contract,interface_review,,,,,
interface_review:safety_protection:structure_containment:pressure_relief,Verify pressure_relief interface contract,interface_review,,,,,
compliance_review:ISO-13485,Plan evidence for ISO-13485,compliance_review,,,,,
compliance_review:USP-CLASS-VI,Plan evidence for USP-CLASS-VI,compliance_review,,,,,
compliance_review:IEC-61010,Plan evidence for IEC-61010,compliance_review,,,,,
compliance_review:EU-GMP-ANNEX-11,Plan evidence for EU-GMP-ANNEX-11,compliance_review,,,,,
risk_review:1,Review risk control for Loss of sterility through connector or bag handling,compliance_review,,,,,
risk_review:2,Review risk control for Cell culture loss from DO or pH control failure,compliance_review,,,,,
risk_review:3,Review risk control for Disposable bag overpressure,compliance_review,,,,,
