lineId,componentWordId,description,critical,field,value,status,sourceRef,sourceQuote,retrievedAt,nextAction
skin_patient_interface_adhesive_patch_stack_adhesive_skin_patch,adhesive_skin_patch,Adhesive skin patch,true,supplier,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
skin_patient_interface_adhesive_patch_stack_adhesive_skin_patch,adhesive_skin_patch,Adhesive skin patch,true,manufacturer,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
skin_patient_interface_adhesive_patch_stack_adhesive_skin_patch,adhesive_skin_patch,Adhesive skin patch,true,mpn,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
skin_patient_interface_adhesive_patch_stack_adhesive_skin_patch,adhesive_skin_patch,Adhesive skin patch,true,unit_cost_gbp,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
skin_patient_interface_adhesive_patch_stack_adhesive_skin_patch,adhesive_skin_patch,Adhesive skin patch,true,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_adhesive_patch_stack_hydrocolloid_edge_seal,hydrocolloid_edge_seal,hydrocolloid edge seal,false,supplier,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_adhesive_patch_stack_hydrocolloid_edge_seal,hydrocolloid_edge_seal,hydrocolloid edge seal,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_adhesive_patch_stack_hydrocolloid_edge_seal,hydrocolloid_edge_seal,hydrocolloid edge seal,false,mpn,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_adhesive_patch_stack_hydrocolloid_edge_seal,hydrocolloid_edge_seal,hydrocolloid edge seal,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_adhesive_patch_stack_hydrocolloid_edge_seal,hydrocolloid_edge_seal,hydrocolloid edge seal,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_adhesive_patch_stack_breathable_backing_film,breathable_backing_film,breathable backing film,false,supplier,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_adhesive_patch_stack_breathable_backing_film,breathable_backing_film,breathable backing film,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_adhesive_patch_stack_breathable_backing_film,breathable_backing_film,breathable backing film,false,mpn,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_adhesive_patch_stack_breathable_backing_film,breathable_backing_film,breathable backing film,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_adhesive_patch_stack_breathable_backing_film,breathable_backing_film,breathable backing film,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_adhesive_patch_stack_pull_tab_liner,pull_tab_liner,pull tab liner,false,supplier,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_adhesive_patch_stack_pull_tab_liner,pull_tab_liner,pull tab liner,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_adhesive_patch_stack_pull_tab_liner,pull_tab_liner,pull tab liner,false,mpn,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_adhesive_patch_stack_pull_tab_liner,pull_tab_liner,pull tab liner,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_adhesive_patch_stack_pull_tab_liner,pull_tab_liner,pull tab liner,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_skin_contact_gasket,skin_contact_gasket,skin contact gasket,false,supplier,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_skin_contact_gasket,skin_contact_gasket,skin contact gasket,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_skin_contact_gasket,skin_contact_gasket,skin contact gasket,false,mpn,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_skin_contact_gasket,skin_contact_gasket,skin contact gasket,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_skin_contact_gasket,skin_contact_gasket,skin contact gasket,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_filament_entry_seal,filament_entry_seal,filament entry seal,false,supplier,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_filament_entry_seal,filament_entry_seal,filament entry seal,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_filament_entry_seal,filament_entry_seal,filament entry seal,false,mpn,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_filament_entry_seal,filament_entry_seal,filament entry seal,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_filament_entry_seal,filament_entry_seal,filament entry seal,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_antimicrobial_contact_pad,antimicrobial_contact_pad,antimicrobial contact pad,false,supplier,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_antimicrobial_contact_pad,antimicrobial_contact_pad,antimicrobial contact pad,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_antimicrobial_contact_pad,antimicrobial_contact_pad,antimicrobial contact pad,false,mpn,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_antimicrobial_contact_pad,antimicrobial_contact_pad,antimicrobial contact pad,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_antimicrobial_contact_pad,antimicrobial_contact_pad,antimicrobial contact pad,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_insertion_site_spacing_ring,insertion_site_spacing_ring,insertion site spacing ring,false,supplier,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_insertion_site_spacing_ring,insertion_site_spacing_ring,insertion site spacing ring,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_insertion_site_spacing_ring,insertion_site_spacing_ring,insertion site spacing ring,false,mpn,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_insertion_site_spacing_ring,insertion_site_spacing_ring,insertion site spacing ring,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_cannula_skin_contact_insertion_site_spacing_ring,insertion_site_spacing_ring,insertion site spacing ring,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_flex_relief_bridge,flex_relief_bridge,flex relief bridge,false,supplier,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_flex_relief_bridge,flex_relief_bridge,flex relief bridge,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_flex_relief_bridge,flex_relief_bridge,flex relief bridge,false,mpn,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_flex_relief_bridge,flex_relief_bridge,flex relief bridge,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_flex_relief_bridge,flex_relief_bridge,flex relief bridge,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_sweat_channel_texture,sweat_channel_texture,sweat channel texture,false,supplier,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_sweat_channel_texture,sweat_channel_texture,sweat channel texture,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_sweat_channel_texture,sweat_channel_texture,sweat channel texture,false,mpn,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_sweat_channel_texture,sweat_channel_texture,sweat channel texture,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_sweat_channel_texture,sweat_channel_texture,sweat channel texture,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_patch_stretch_zone,patch_stretch_zone,patch stretch zone,false,supplier,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_patch_stretch_zone,patch_stretch_zone,patch stretch zone,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_patch_stretch_zone,patch_stretch_zone,patch stretch zone,false,mpn,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_patch_stretch_zone,patch_stretch_zone,patch stretch zone,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_patch_stretch_zone,patch_stretch_zone,patch stretch zone,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_removal_aid_tab,removal_aid_tab,removal aid tab,false,supplier,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_removal_aid_tab,removal_aid_tab,removal aid tab,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_removal_aid_tab,removal_aid_tab,removal aid tab,false,mpn,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_removal_aid_tab,removal_aid_tab,removal aid tab,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
skin_patient_interface_wear_comfort_retention_removal_aid_tab,removal_aid_tab,removal aid tab,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
sensing_instrumentation_glucose_filament_stack_glucose_sensing_filament,glucose_sensing_filament,Glucose sensing filament,true,supplier,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
sensing_instrumentation_glucose_filament_stack_glucose_sensing_filament,glucose_sensing_filament,Glucose sensing filament,true,manufacturer,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
sensing_instrumentation_glucose_filament_stack_glucose_sensing_filament,glucose_sensing_filament,Glucose sensing filament,true,mpn,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
sensing_instrumentation_glucose_filament_stack_glucose_sensing_filament,glucose_sensing_filament,Glucose sensing filament,true,unit_cost_gbp,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
sensing_instrumentation_glucose_filament_stack_glucose_sensing_filament,glucose_sensing_filament,Glucose sensing filament,true,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
sensing_instrumentation_glucose_filament_stack_enzyme_reagent_membrane,enzyme_reagent_membrane,Enzyme reagent membrane,true,supplier,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
sensing_instrumentation_glucose_filament_stack_enzyme_reagent_membrane,enzyme_reagent_membrane,Enzyme reagent membrane,true,manufacturer,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
sensing_instrumentation_glucose_filament_stack_enzyme_reagent_membrane,enzyme_reagent_membrane,Enzyme reagent membrane,true,mpn,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
sensing_instrumentation_glucose_filament_stack_enzyme_reagent_membrane,enzyme_reagent_membrane,Enzyme reagent membrane,true,unit_cost_gbp,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
sensing_instrumentation_glucose_filament_stack_enzyme_reagent_membrane,enzyme_reagent_membrane,Enzyme reagent membrane,true,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
sensing_instrumentation_glucose_filament_stack_reference_electrode,reference_electrode,Reference electrode,true,supplier,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
sensing_instrumentation_glucose_filament_stack_reference_electrode,reference_electrode,Reference electrode,true,manufacturer,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
