rowType,id,moduleId,moduleName,subModuleId,subModuleName,componentWordId,label,status,interfaces,componentWordIds,criticalComponentWordIds,duplicateComponentWordIds,blockers,requiredAction
submodule,structure_containment:single_use_bag_chamber,structure_containment,Sterile Structure Containment,single_use_bag_chamber,Single-use bag chamber,,,ready,sterile_boundary; sterile_fluid_path; mechanical_mounts; service_access; pressure_relief,single_use_bioreactor_bag; bag_support_tray; port_clamp_set; bag_integrity_test_label,single_use_bioreactor_bag,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:support_frame_load_path,structure_containment,Sterile Structure Containment,support_frame_load_path,Support frame and load path,,,ready,mechanical_mounts; service_access,stainless_support_frame; load_cell_mounting_bracket_set; levelling_foot_set; lifting_eye_kit,,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:sterile_connector_panel,structure_containment,Sterile Structure Containment,sterile_connector_panel,Sterile connector panel,,,ready,sterile_boundary; sterile_fluid_path; service_access,sterile_tubing_and_connector_set; aseptic_sampling_port; clamp_rail; connector_parking_bracket,sterile_tubing_and_connector_set,,,Submodule has component candidates and no allocation blocker.
submodule,actuation_kinematics:agitation_drive_train,actuation_kinematics,Mixing And Agitation,agitation_drive_train,Agitation drive train,,,ready,mixing_drive; control_bus; sterile_boundary,agitation_drive; magnetic_coupling_hub; drive_encoder; motor_mounting_plate,agitation_drive,,,Submodule has component candidates and no allocation blocker.
submodule,actuation_kinematics:mixing_impeller_interface,actuation_kinematics,Mixing And Agitation,mixing_impeller_interface,Mixing impeller interface,,,ready,mixing_drive; sterile_boundary; service_access,single_use_impeller_coupling; impeller_guard_insert; rocker_angle_stop; mixing_validation_coupon,,,,Submodule has component candidates and no allocation blocker.
submodule,actuation_kinematics:agitation_safety_feedback,actuation_kinematics,Mixing And Agitation,agitation_safety_feedback,Agitation safety feedback,,,ready,mixing_drive; sensor_bus; alarm_bus,motor_current_sensor; overspeed_interlock_input; drive_fault_relay; emergency_drive_stop_contactor,,,,Submodule has component candidates and no allocation blocker.
submodule,mass_fluid_transport_process:feed_pump_manifold,mass_fluid_transport_process,Media Gas And Harvest Transport,feed_pump_manifold,Feed pump manifold,,,ready,sterile_fluid_path; pump_control; sensor_bus,peristaltic_feed_pump; pump_tubing_cassette_set; media_bag_hanger; feed_line_pinch_clamp,peristaltic_feed_pump,,,Submodule has component candidates and no allocation blocker.
submodule,mass_fluid_transport_process:harvest_sampling_path,mass_fluid_transport_process,Media Gas And Harvest Transport,harvest_sampling_path,Harvest and sampling path,,,ready,sterile_fluid_path; service_access; sensor_bus,harvest_transfer_tubing_set; single_use_sample_valve; waste_collection_bag; low_hold_up_connector,,,,Submodule has component candidates and no allocation blocker.
submodule,mass_fluid_transport_process:sparger_gas_mixing,mass_fluid_transport_process,Media Gas And Harvest Transport,sparger_gas_mixing,Sparger gas mixing,,,ready,gas_path; sterile_fluid_path; control_bus,sparger_and_gas_mix_manifold; mass_flow_controller_bank; sterile_gas_filter_capsule; sparger_check_valve,sparger_and_gas_mix_manifold,,,Submodule has component candidates and no allocation blocker.
submodule,environmental_interface:temperature_control_loop,environmental_interface,Thermal Gas Exhaust Interface,temperature_control_loop,Temperature control loop,,,ready,thermal_loop; control_bus; sensor_bus,temperature_control_loop; heater_blanket; cooling_plate; thermal_interface_mat,temperature_control_loop,,,Submodule has component candidates and no allocation blocker.
submodule,environmental_interface:exhaust_filter_train,environmental_interface,Thermal Gas Exhaust Interface,exhaust_filter_train,Exhaust filter train,,,ready,exhaust_path; gas_path; sterile_boundary; pressure_relief,exhaust_filter_and_pressure_relief_set; condensate_knock_out_bottle; exhaust_heater_sleeve; pressure_relief_indicator,exhaust_filter_and_pressure_relief_set,,,Submodule has component candidates and no allocation blocker.
