id,sequence,kind,priority,status,subjectId,scope,issue,acquisitionTarget,requiredFields,disallowedEvidence,intakeArtifacts,acceptanceCriteria,blocksBom,blocksPublish
acquire:1:readiness:2,1,sourcing,blocker,open,readiness:2,Report readiness gate,11 critical BoM line(s) lack source-backed cost evidence.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:2:readiness:3,2,verification,blocker,open,readiness:3,Report readiness gate,6 verification activity/activities remain blocked.,named_engineering_review,activityId; evidenceKind; reviewerName; verdict; evidenceRef; evidenceNote; reviewedAt,anonymous reviewer; unchecked model assertion; test-fixture:// review; source-evidence claims that belong in sourcing intake,*.verification-intake-template.csv; *.verification-plan.csv; *.verification-ledger.csv; *.engineering-review-pack.csv,"Verification intake accepts the row.; Verification ledger status is accepted, rejected or deferred with named evidence.; Reviewer evidence can be traced back to the relevant architecture or calculation activity.",no,yes
acquire:3:readiness:4,3,verification,blocker,open,readiness:4,Report readiness gate,0/26 non-sourcing verification activity/activities have accepted reviewer evidence.,named_engineering_review,activityId; evidenceKind; reviewerName; verdict; evidenceRef; evidenceNote; reviewedAt,anonymous reviewer; unchecked model assertion; test-fixture:// review; source-evidence claims that belong in sourcing intake,*.verification-intake-template.csv; *.verification-plan.csv; *.verification-ledger.csv; *.engineering-review-pack.csv,"Verification intake accepts the row.; Verification ledger status is accepted, rejected or deferred with named evidence.; Reviewer evidence can be traced back to the relevant architecture or calculation activity.",no,yes
acquire:4:assumption:metric:capex_gbp,4,sourcing,blocker,ready_for_intake,assumption:metric:capex_gbp,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:5:assumption:metric:opex_annual_gbp,5,sourcing,blocker,ready_for_intake,assumption:metric:opex_annual_gbp,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:6:sourcing:single_use_bioreactor_bag,6,sourcing,blocker,ready_for_intake,single_use_bioreactor_bag,Single-use bioreactor bag,Required class-critical line must be sourced before BoM can pass.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:7:sourcing:sterile_tubing_and_connector_set,7,sourcing,blocker,ready_for_intake,sterile_tubing_and_connector_set,Sterile tubing and connector set,Required class-critical line must be sourced before BoM can pass.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:8:sourcing:agitation_drive,8,sourcing,blocker,ready_for_intake,agitation_drive,Agitation drive,Required class-critical line must be sourced before BoM can pass.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:9:sourcing:peristaltic_feed_pump,9,sourcing,blocker,ready_for_intake,peristaltic_feed_pump,Peristaltic feed pump,Required class-critical line must be sourced before BoM can pass.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:10:sourcing:sparger_and_gas_mix_manifold,10,sourcing,blocker,ready_for_intake,sparger_and_gas_mix_manifold,Sparger and gas-mix manifold,Required class-critical line must be sourced before BoM can pass.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
acquire:11:sourcing:temperature_control_loop,11,sourcing,blocker,ready_for_intake,temperature_control_loop,Temperature control loop,Required class-critical line must be sourced before BoM can pass.,supplier_catalogue_or_quote,componentWordId; supplierName; manufacturer; mpn where applicable; unitCostGbp; leadTimeWeeks where stated; sourceGrade; evidence.ref; evidence.quote; retrievedAt,LLM-estimated cost; benchmark average without supplier evidence; class-pack default; test-fixture:// source,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv,Sourcing admission accepts the row.; BoM ledger carries supplier/manufacturer/MPN/cost only from admitted evidence.; BoM provenance manifest shows source_backed for claimed fields.,yes,yes
