id,moduleId,moduleName,subModuleId,subModuleName,verdict,purposePresent,componentWordCount,interfaceCount,linkedRequirementCount,criticalComponentCount,duplicateComponentCount,carrierContractCount,missingCarrierContractCount,localOnlyInterfaceCount,reviewQuestions,acceptedReviewQuestions,blockedReviewQuestions,verificationActivities,acceptedVerificationActivities,blockedVerificationActivities,criticalUnpricedLines,passRatio,blockers,requiredAction
structure_containment:rack_chassis,structure_containment,Rack Structure Containment,rack_chassis,Rack chassis,review,yes,4,4,1,1,0,1,0,3,3,0,0,4,0,0,1,0.6667,,"Review 3 local-only interface declaration(s): rack_mount, service_access, protective_earth. 3 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
structure_containment:accelerator_mounting,structure_containment,Rack Structure Containment,accelerator_mounting,Accelerator mounting,review,yes,4,3,0,0,0,1,0,2,3,0,0,2,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): rack_mount, service_access. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
structure_containment:service_labelling,structure_containment,Rack Structure Containment,service_labelling,Service labelling,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): service_access, rack_mount. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
compute_acceleration:accelerator_module,compute_acceleration,Compute Acceleration,accelerator_module,Accelerator module,review,yes,4,4,1,1,0,3,0,1,5,0,0,6,0,0,1,0.6667,,Review 1 local-only interface declaration(s): sensor_bus. 5 engineering review question(s) await acceptance. 5 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
compute_acceleration:cpu_memory_complex,compute_acceleration,Compute Acceleration,cpu_memory_complex,CPU and memory complex,review,yes,4,4,0,3,0,1,0,3,3,0,0,3,0,0,3,0.6667,,"Review 3 local-only interface declaration(s): memory_bus, low_voltage_rail, sensor_bus. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence. 3 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
compute_acceleration:signal_power_integrity,compute_acceleration,Compute Acceleration,signal_power_integrity,Signal and power integrity,review,yes,4,3,0,0,0,3,0,0,5,0,0,4,0,0,0,0.6667,,5 engineering review question(s) await acceptance. 4 verification activity row(s) await accepted evidence.
network_io:high_speed_network,network_io,Network IO,high_speed_network,High-speed network,review,yes,4,3,0,1,0,1,0,2,3,0,0,3,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): pcie_fabric, service_access. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
network_io:timing_ingest,network_io,Network IO,timing_ingest,Timing and ingest,review,yes,4,3,0,0,0,1,0,2,3,0,0,2,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): management_network, service_access. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
network_io:io_isolation_routing,network_io,Network IO,io_isolation_routing,IO isolation and routing,review,yes,4,3,0,0,0,1,0,2,3,0,0,2,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): service_access, protective_earth. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
data_storage:nvme_storage,data_storage,Data Storage,nvme_storage,NVMe storage,review,yes,4,3,0,1,0,1,0,2,3,0,0,3,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): pcie_fabric, service_access. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
