id,sequence,action,status,priority,lineId,componentWordId,description,traceStatus,requiredEvidence,intakeArtifacts,acceptanceCriteria,rejectionCriteria,blocksCandidateDisplay,blocksPricedReview,blocksProcurement,requiredAction
bom-close:charging_connector_interface_ccs2_cable_connector_ccs2_liquid_cooled_cable_and_connector,1,collect_source_evidence,ready,blocker,charging_connector_interface_ccs2_cable_connector_ccs2_liquid_cooled_cable_and_connector,ccs2_liquid_cooled_cable_and_connector,CCS2 liquid-cooled cable and connector,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:control_compute_communication_backend_gateway_ocpp_communications_gateway,2,collect_source_evidence,ready,blocker,control_compute_communication_backend_gateway_ocpp_communications_gateway,ocpp_communications_gateway,OCPP communications gateway,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:energy_conversion_transduction_rectifier_power_modules_power_module_stack,3,collect_source_evidence,ready,blocker,energy_conversion_transduction_rectifier_power_modules_power_module_stack,power_module_stack,Power module stack,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:environmental_interface_liquid_cooling_loop_cooling_loop_assembly,4,collect_source_evidence,ready,blocker,environmental_interface_liquid_cooling_loop_cooling_loop_assembly,cooling_loop_assembly,Cooling loop assembly,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:power_distribution_ac_input_switchgear_ac_input_breaker_and_spd,5,collect_source_evidence,ready,blocker,power_distribution_ac_input_switchgear_ac_input_breaker_and_spd,ac_input_breaker_and_spd,AC input breaker and SPD,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:power_distribution_dc_output_switchgear_dc_output_contactor_set,6,collect_source_evidence,ready,blocker,power_distribution_dc_output_switchgear_dc_output_contactor_set,dc_output_contactor_set,DC output contactor set,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:safety_protection_emergency_stop_chain_emergency_stop_and_safety_interlock_set,7,collect_source_evidence,ready,blocker,safety_protection_emergency_stop_chain_emergency_stop_and_safety_interlock_set,emergency_stop_and_safety_interlock_set,Emergency stop and safety interlock set,critical_unsourced,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,*.sourcing-intake-template.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-trace.csv,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,no,yes,yes,Collect admissible source evidence for this critical line before BoM can pass.
bom-close:charging_connector_interface_vehicle_communication_frontend_iso_15118_plc_modem,8,resolve_component_identity,blocked,blocker,charging_connector_interface_vehicle_communication_frontend_iso_15118_plc_modem,iso_15118_plc_modem,ISO 15118 PLC modem,duplicate_identity_review_required,canonical component identity decision; whether repeated allocations are one shared physical item or separate installed lines; updated componentWordId or quantity basis,*.component-identity.csv; *.bom-evidence-trace.csv; *.component-allocation-gate.csv,Component identity worklist no longer reports this component as duplicated.; Sourcing evidence is admitted only after the line identity is unambiguous.,Same componentWordId continues to represent ambiguous physical quantities.,no,yes,yes,Resolve duplicate component identity before pricing or using this line.
bom-close:control_compute_communication_protocol_stack_iso_15118_plc_modem,9,resolve_component_identity,blocked,blocker,control_compute_communication_protocol_stack_iso_15118_plc_modem,iso_15118_plc_modem,ISO 15118 PLC modem,duplicate_identity_review_required,canonical component identity decision; whether repeated allocations are one shared physical item or separate installed lines; updated componentWordId or quantity basis,*.component-identity.csv; *.bom-evidence-trace.csv; *.component-allocation-gate.csv,Component identity worklist no longer reports this component as duplicated.; Sourcing evidence is admitted only after the line identity is unambiguous.,Same componentWordId continues to represent ambiguous physical quantities.,no,yes,yes,Resolve duplicate component identity before pricing or using this line.
bom-close:power_distribution_billing_metering_branch_mid_energy_meter,10,resolve_component_identity,blocked,blocker,power_distribution_billing_metering_branch_mid_energy_meter,mid_energy_meter,MID energy meter,duplicate_identity_review_required,canonical component identity decision; whether repeated allocations are one shared physical item or separate installed lines; updated componentWordId or quantity basis,*.component-identity.csv; *.bom-evidence-trace.csv; *.component-allocation-gate.csv,Component identity worklist no longer reports this component as duplicated.; Sourcing evidence is admitted only after the line identity is unambiguous.,Same componentWordId continues to represent ambiguous physical quantities.,no,yes,yes,Resolve duplicate component identity before pricing or using this line.
