id,kind,status,basis,scope,claim,provenanceRefs,sourceRefs,reviewerEvidenceRefs,linkedRequirementIds,linkedModuleIds,linkedComponentWordIds,blocksBom,blocksPublish,nextAction
bom_source_field:actuation_kinematics_disposable_applicator_disposable_applicator:manufacturer,bom_source_field,source_required,assumption,Disposable applicator / manufacturer,manufacturer is required but not source-backed.,,,,,actuation_kinematics,disposable_applicator,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_disposable_applicator_disposable_applicator:mpn,bom_source_field,source_required,assumption,Disposable applicator / mpn,mpn is required but not source-backed.,,,,,actuation_kinematics,disposable_applicator,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_disposable_applicator_disposable_applicator:supplier,bom_source_field,source_required,assumption,Disposable applicator / supplier,supplier is required but not source-backed.,,,,,actuation_kinematics,disposable_applicator,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_disposable_applicator_disposable_applicator:unit_cost_gbp,bom_source_field,source_required,assumption,Disposable applicator / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,actuation_kinematics,disposable_applicator,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_ble_telemetry_ble_radio_module:manufacturer,bom_source_field,source_required,assumption,BLE radio module / manufacturer,manufacturer is required but not source-backed.,,,,,control_compute_communication,ble_radio_module,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_ble_telemetry_ble_radio_module:mpn,bom_source_field,source_required,assumption,BLE radio module / mpn,mpn is required but not source-backed.,,,,,control_compute_communication,ble_radio_module,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_ble_telemetry_ble_radio_module:supplier,bom_source_field,source_required,assumption,BLE radio module / supplier,supplier is required but not source-backed.,,,,,control_compute_communication,ble_radio_module,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_ble_telemetry_ble_radio_module:unit_cost_gbp,bom_source_field,source_required,assumption,BLE radio module / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,control_compute_communication,ble_radio_module,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_mcu_firmware_low_power_microcontroller:manufacturer,bom_source_field,source_required,assumption,Low-power microcontroller / manufacturer,manufacturer is required but not source-backed.,,,,reading_interval_minutes; mard_percent,control_compute_communication,low_power_microcontroller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_mcu_firmware_low_power_microcontroller:mpn,bom_source_field,source_required,assumption,Low-power microcontroller / mpn,mpn is required but not source-backed.,,,,reading_interval_minutes; mard_percent,control_compute_communication,low_power_microcontroller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_mcu_firmware_low_power_microcontroller:supplier,bom_source_field,source_required,assumption,Low-power microcontroller / supplier,supplier is required but not source-backed.,,,,reading_interval_minutes; mard_percent,control_compute_communication,low_power_microcontroller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_mcu_firmware_low_power_microcontroller:unit_cost_gbp,bom_source_field,source_required,assumption,Low-power microcontroller / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,reading_interval_minutes; mard_percent,control_compute_communication,low_power_microcontroller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_storage_source_battery_cell_thin_film_battery:manufacturer,bom_source_field,source_required,assumption,Thin-film battery / manufacturer,manufacturer is required but not source-backed.,,,,wear_days,energy_storage_source,thin_film_battery,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_storage_source_battery_cell_thin_film_battery:mpn,bom_source_field,source_required,assumption,Thin-film battery / mpn,mpn is required but not source-backed.,,,,wear_days,energy_storage_source,thin_film_battery,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_storage_source_battery_cell_thin_film_battery:supplier,bom_source_field,source_required,assumption,Thin-film battery / supplier,supplier is required but not source-backed.,,,,wear_days,energy_storage_source,thin_film_battery,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_storage_source_battery_cell_thin_film_battery:unit_cost_gbp,bom_source_field,source_required,assumption,Thin-film battery / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,wear_days,energy_storage_source,thin_film_battery,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_temperature_compensation_temperature_sensor:manufacturer,bom_source_field,source_required,assumption,Temperature sensor / manufacturer,manufacturer is required but not source-backed.,,,,wear_days; mard_percent,environmental_interface,temperature_sensor,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_temperature_compensation_temperature_sensor:mpn,bom_source_field,source_required,assumption,Temperature sensor / mpn,mpn is required but not source-backed.,,,,wear_days; mard_percent,environmental_interface,temperature_sensor,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_temperature_compensation_temperature_sensor:supplier,bom_source_field,source_required,assumption,Temperature sensor / supplier,supplier is required but not source-backed.,,,,wear_days; mard_percent,environmental_interface,temperature_sensor,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:environmental_interface_temperature_compensation_temperature_sensor:unit_cost_gbp,bom_source_field,source_required,assumption,Temperature sensor / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,wear_days; mard_percent,environmental_interface,temperature_sensor,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:maintenance_serviceability_lot_traceability_udi_label_set:manufacturer,bom_source_field,source_required,assumption,UDI label set / manufacturer,manufacturer is required but not source-backed.,,,,,maintenance_serviceability,udi_label_set,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:maintenance_serviceability_lot_traceability_udi_label_set:mpn,bom_source_field,source_required,assumption,UDI label set / mpn,mpn is required but not source-backed.,,,,,maintenance_serviceability,udi_label_set,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:maintenance_serviceability_lot_traceability_udi_label_set:supplier,bom_source_field,source_required,assumption,UDI label set / supplier,supplier is required but not source-backed.,,,,,maintenance_serviceability,udi_label_set,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:maintenance_serviceability_lot_traceability_udi_label_set:unit_cost_gbp,bom_source_field,source_required,assumption,UDI label set / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,maintenance_serviceability,udi_label_set,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:maintenance_serviceability_sterile_packaging_sterile_barrier_pouch:manufacturer,bom_source_field,source_required,assumption,Sterile barrier pouch / manufacturer,manufacturer is required but not source-backed.,,,,,maintenance_serviceability,sterile_barrier_pouch,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:maintenance_serviceability_sterile_packaging_sterile_barrier_pouch:mpn,bom_source_field,source_required,assumption,Sterile barrier pouch / mpn,mpn is required but not source-backed.,,,,,maintenance_serviceability,sterile_barrier_pouch,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:maintenance_serviceability_sterile_packaging_sterile_barrier_pouch:supplier,bom_source_field,source_required,assumption,Sterile barrier pouch / supplier,supplier is required but not source-backed.,,,,,maintenance_serviceability,sterile_barrier_pouch,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:maintenance_serviceability_sterile_packaging_sterile_barrier_pouch:unit_cost_gbp,bom_source_field,source_required,assumption,Sterile barrier pouch / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,maintenance_serviceability,sterile_barrier_pouch,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:sensing_instrumentation_glucose_filament_stack_enzyme_reagent_membrane:manufacturer,bom_source_field,source_required,assumption,Enzyme reagent membrane / manufacturer,manufacturer is required but not source-backed.,,,,,sensing_instrumentation,enzyme_reagent_membrane,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:sensing_instrumentation_glucose_filament_stack_enzyme_reagent_membrane:mpn,bom_source_field,source_required,assumption,Enzyme reagent membrane / mpn,mpn is required but not source-backed.,,,,,sensing_instrumentation,enzyme_reagent_membrane,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:sensing_instrumentation_glucose_filament_stack_enzyme_reagent_membrane:supplier,bom_source_field,source_required,assumption,Enzyme reagent membrane / supplier,supplier is required but not source-backed.,,,,,sensing_instrumentation,enzyme_reagent_membrane,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:sensing_instrumentation_glucose_filament_stack_enzyme_reagent_membrane:unit_cost_gbp,bom_source_field,source_required,assumption,Enzyme reagent membrane / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,sensing_instrumentation,enzyme_reagent_membrane,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:sensing_instrumentation_glucose_filament_stack_glucose_sensing_filament:manufacturer,bom_source_field,source_required,assumption,Glucose sensing filament / manufacturer,manufacturer is required but not source-backed.,,,,reading_interval_minutes; mard_percent,sensing_instrumentation,glucose_sensing_filament,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:sensing_instrumentation_glucose_filament_stack_glucose_sensing_filament:mpn,bom_source_field,source_required,assumption,Glucose sensing filament / mpn,mpn is required but not source-backed.,,,,reading_interval_minutes; mard_percent,sensing_instrumentation,glucose_sensing_filament,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:sensing_instrumentation_glucose_filament_stack_glucose_sensing_filament:supplier,bom_source_field,source_required,assumption,Glucose sensing filament / supplier,supplier is required but not source-backed.,,,,reading_interval_minutes; mard_percent,sensing_instrumentation,glucose_sensing_filament,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:sensing_instrumentation_glucose_filament_stack_glucose_sensing_filament:unit_cost_gbp,bom_source_field,source_required,assumption,Glucose sensing filament / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,reading_interval_minutes; mard_percent,sensing_instrumentation,glucose_sensing_filament,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:sensing_instrumentation_glucose_filament_stack_reference_electrode:manufacturer,bom_source_field,source_required,assumption,Reference electrode / manufacturer,manufacturer is required but not source-backed.,,,,,sensing_instrumentation,reference_electrode,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:sensing_instrumentation_glucose_filament_stack_reference_electrode:mpn,bom_source_field,source_required,assumption,Reference electrode / mpn,mpn is required but not source-backed.,,,,,sensing_instrumentation,reference_electrode,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:sensing_instrumentation_glucose_filament_stack_reference_electrode:supplier,bom_source_field,source_required,assumption,Reference electrode / supplier,supplier is required but not source-backed.,,,,,sensing_instrumentation,reference_electrode,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
