id,kind,priority,status,scope,issue,requiredEvidence,closurePath,blocks,linkedIds,source
readiness:1,readiness_blocker,blocker,open,Report readiness gate,bom score 1 is below 8.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",score_repair,publishable,,report_readiness_gate
readiness:2,readiness_blocker,blocker,open,Report readiness gate,8 critical BoM line(s) lack source-backed cost evidence.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",sourcing_intake,bom; publishable,,report_readiness_gate
readiness:3,readiness_blocker,blocker,open,Report readiness gate,5 verification activity/activities remain blocked.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",verification_intake,publishable,,report_readiness_gate
readiness:4,readiness_blocker,blocker,open,Report readiness gate,0/19 non-sourcing verification activity/activities have accepted reviewer evidence.,"Admit source-backed evidence for every critical BoM line through sourcing intake. Increase priced-line coverage with admissible supplier evidence, not estimates. Collect engineering-review evidence for pending verification activities. Accept reviewer evidence for every non-sourcing verification activity before treating the report as publishable. Clear blocked verification activities or explicitly defer them with reviewer evidence. Use sourcing intake to admit source-backed supplier, manufacturer, MPN and cost evidence for critical BoM lines.",verification_intake,publishable,,report_readiness_gate
calculation:farm_service_clearance_area_m2,calculation_review,major,needs_review,Indicative service-clearance footprint,4.2 m2 allows a provisional 25% service envelope around the parsed footprint.,"Review maintenance access, nutrient tank access, airflow paths and electrical service clearances.",engineering_review,publishable,footprint_m2,engineering_calculation_ledger
assumption:metric:headline_output,assumption_review,major,needs_review,Annual leafy-green yield,Annual leafy-green yield uses class_pack_default with low confidence.,"Review the formula, input values and operating envelope before treating this metric as a performance claim.",engineering_review,publishable,,engineering_assumption_ledger
assumption:metric:capex_gbp,assumption_review,blocker,ready_for_intake,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,Admit source-backed BoM pricing before treating this cost metric as a claim.,sourcing_intake,bom; publishable,,engineering_assumption_ledger
assumption:metric:opex_annual_gbp,assumption_review,blocker,ready_for_intake,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,Admit source-backed BoM pricing before treating this cost metric as a claim.,sourcing_intake,bom; publishable,,engineering_assumption_ledger
assumption:sanity:farm_footprint,assumption_review,major,needs_review,Grow Unit Footprint,Grow Unit Footprint currently evaluates as pass against 1 to 20 m2 for compact prototype grow units.,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,envelope_length_m; envelope_width_m; footprint_m2,engineering_assumption_ledger
assumption:sanity:farm_wet_electrical_separation,assumption_review,major,needs_review,Wet/Electrical Separation,"Wet/Electrical Separation currently evaluates as pass against washdown boundary, mains supply and protective-earth interfaces present.","Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,envelope_length_m; envelope_width_m; footprint_m2,engineering_assumption_ledger
assumption:sanity:farm_process_closure,assumption_review,major,needs_review,Climate/Nutrient/Control Closure,"Climate/Nutrient/Control Closure currently evaluates as pass against environmental, nutrient transport, sensing and control modules all present.","Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",engineering_review,publishable,envelope_length_m; envelope_width_m; footprint_m2,engineering_assumption_ledger
assumption:compliance:CE-UKCA,assumption_review,major,needs_review,CE-UKCA,Electrical safety and UKCA/CE file is relevant to this product class in UK/EU.,"Technical file, electrical risk assessment and declarations.",engineering_review,publishable,,engineering_assumption_ledger
