id,kind,status,basis,scope,claim,provenanceRefs,sourceRefs,reviewerEvidenceRefs,linkedRequirementIds,linkedModuleIds,linkedComponentWordIds,blocksBom,blocksPublish,nextAction
bom_source_field:compute_acceleration_accelerator_module_ai_accelerator_module:manufacturer,bom_source_field,source_required,assumption,AI accelerator module / manufacturer,manufacturer is required but not source-backed.,,,,compute_tops,compute_acceleration,ai_accelerator_module,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:compute_acceleration_accelerator_module_ai_accelerator_module:mpn,bom_source_field,source_required,assumption,AI accelerator module / mpn,mpn is required but not source-backed.,,,,compute_tops,compute_acceleration,ai_accelerator_module,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:compute_acceleration_accelerator_module_ai_accelerator_module:supplier,bom_source_field,source_required,assumption,AI accelerator module / supplier,supplier is required but not source-backed.,,,,compute_tops,compute_acceleration,ai_accelerator_module,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:compute_acceleration_accelerator_module_ai_accelerator_module:unit_cost_gbp,bom_source_field,source_required,assumption,AI accelerator module / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,compute_tops,compute_acceleration,ai_accelerator_module,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:compute_acceleration_cpu_memory_complex_cpu_module:manufacturer,bom_source_field,source_required,assumption,CPU module / manufacturer,manufacturer is required but not source-backed.,,,,,compute_acceleration,cpu_module,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:compute_acceleration_cpu_memory_complex_cpu_module:mpn,bom_source_field,source_required,assumption,CPU module / mpn,mpn is required but not source-backed.,,,,,compute_acceleration,cpu_module,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:compute_acceleration_cpu_memory_complex_cpu_module:supplier,bom_source_field,source_required,assumption,CPU module / supplier,supplier is required but not source-backed.,,,,,compute_acceleration,cpu_module,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:compute_acceleration_cpu_memory_complex_cpu_module:unit_cost_gbp,bom_source_field,source_required,assumption,CPU module / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,compute_acceleration,cpu_module,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:compute_acceleration_cpu_memory_complex_ecc_memory:manufacturer,bom_source_field,source_required,assumption,ECC memory / manufacturer,manufacturer is required but not source-backed.,,,,,compute_acceleration,ecc_memory,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:compute_acceleration_cpu_memory_complex_ecc_memory:mpn,bom_source_field,source_required,assumption,ECC memory / mpn,mpn is required but not source-backed.,,,,,compute_acceleration,ecc_memory,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:compute_acceleration_cpu_memory_complex_ecc_memory:supplier,bom_source_field,source_required,assumption,ECC memory / supplier,supplier is required but not source-backed.,,,,,compute_acceleration,ecc_memory,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:compute_acceleration_cpu_memory_complex_ecc_memory:unit_cost_gbp,bom_source_field,source_required,assumption,ECC memory / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,compute_acceleration,ecc_memory,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:compute_acceleration_cpu_memory_complex_system_motherboard:manufacturer,bom_source_field,source_required,assumption,System motherboard / manufacturer,manufacturer is required but not source-backed.,,,,,compute_acceleration,system_motherboard,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:compute_acceleration_cpu_memory_complex_system_motherboard:mpn,bom_source_field,source_required,assumption,System motherboard / mpn,mpn is required but not source-backed.,,,,,compute_acceleration,system_motherboard,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:compute_acceleration_cpu_memory_complex_system_motherboard:supplier,bom_source_field,source_required,assumption,System motherboard / supplier,supplier is required but not source-backed.,,,,,compute_acceleration,system_motherboard,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:compute_acceleration_cpu_memory_complex_system_motherboard:unit_cost_gbp,bom_source_field,source_required,assumption,System motherboard / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,compute_acceleration,system_motherboard,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_host_control_bmc_management_controller:manufacturer,bom_source_field,source_required,assumption,BMC management controller / manufacturer,manufacturer is required but not source-backed.,,,,compute_tops,control_compute_communication,bmc_management_controller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_host_control_bmc_management_controller:mpn,bom_source_field,source_required,assumption,BMC management controller / mpn,mpn is required but not source-backed.,,,,compute_tops,control_compute_communication,bmc_management_controller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_host_control_bmc_management_controller:supplier,bom_source_field,source_required,assumption,BMC management controller / supplier,supplier is required but not source-backed.,,,,compute_tops,control_compute_communication,bmc_management_controller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_host_control_bmc_management_controller:unit_cost_gbp,bom_source_field,source_required,assumption,BMC management controller / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,compute_tops,control_compute_communication,bmc_management_controller,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:data_storage_nvme_storage_nvme_ssd:manufacturer,bom_source_field,source_required,assumption,NVMe SSD / manufacturer,manufacturer is required but not source-backed.,,,,,data_storage,nvme_ssd,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:data_storage_nvme_storage_nvme_ssd:mpn,bom_source_field,source_required,assumption,NVMe SSD / mpn,mpn is required but not source-backed.,,,,,data_storage,nvme_ssd,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:data_storage_nvme_storage_nvme_ssd:supplier,bom_source_field,source_required,assumption,NVMe SSD / supplier,supplier is required but not source-backed.,,,,,data_storage,nvme_ssd,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
