id,category,status,scope,assumption,basis,evidenceRequired,linkedRequirements,linkedInterfaces,linkedComponents,blocksArchitecture,blocksBom
brief:thermal_output_kw,brief_requirement,brief_supported,Thermal output,"Thermal output = 8 kW is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",thermal_output_kw,,,false,false
brief:cop,brief_requirement,brief_supported,Coefficient of performance,"Coefficient of performance = 3.5 COP is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",cop,,,false,false
metric:headline_output,derived_metric,review_required,Annual useful heat output,Annual useful heat output uses thermal_output_kw * annual_full_load_hours with medium confidence.,class_pack:heat_pump.class_pack; formula:thermal_output_kw * annual_full_load_hours,"Review the formula, input values and operating envelope before treating this metric as a performance claim.",,,,false,false
metric:capex_gbp,derived_metric,source_required,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,formula:capex=sum(bom.totalCostGbp); class_pack:heat_pump.class_pack,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,true
metric:opex_annual_gbp,derived_metric,source_required,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,formula:opex=capex*0.04,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,true
sanity:heatpump_cop_input_power,sanity_envelope,review_required,COP And Input Power,COP And Input Power currently evaluates as pass against COP 2.5 to 5.5 for plausible air-source heat-pump operating points.,brief:input.brief; formula:thermal_output_kw / cop; model:engineering_sanity.heat_pump; model:engineering_sanity.heat_pump,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",thermal_output_kw; cop,,,false,false
sanity:heatpump_refrigerant_hydronic_closure,sanity_envelope,review_required,Refrigerant/Hydronic Closure,"Refrigerant/Hydronic Closure currently evaluates as pass against refrigerant loop, hydronic loop, control bus and sensor bus present.",model:engineering_sanity.heat_pump; model:engineering_sanity.heat_pump,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",thermal_output_kw; cop,,,false,false
sanity:heatpump_safety_serviceability,sanity_envelope,review_required,Safety And Serviceability Interfaces,"Safety And Serviceability Interfaces currently evaluates as pass against pressure relief, protective earth, condensate drain and service access present.",model:engineering_sanity.heat_pump; model:engineering_sanity.heat_pump,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",,,,false,false
interface:environmental_interface:energy_conversion_transduction:refrigerant_loop,interface_closure,model_present,environmental_interface -> energy_conversion_transduction,refrigerant_loop is named on both endpoint modules in the generated architecture.,Outdoor evaporator must connect to compressor and expansion circuit over a closed refrigerant loop.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,refrigerant_loop,,false,false
interface:energy_conversion_transduction:mass_fluid_transport_process:hydronic_loop,interface_closure,model_present,energy_conversion_transduction -> mass_fluid_transport_process,hydronic_loop is named on both endpoint modules in the generated architecture.,Condenser heat must transfer into the hydronic delivery loop.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,hydronic_loop,,false,false
