rowType,id,moduleId,moduleName,subModuleId,subModuleName,componentWordId,label,status,interfaces,componentWordIds,criticalComponentWordIds,duplicateComponentWordIds,blockers,requiredAction
submodule,structure_containment:wing_primary_structure,structure_containment,Ultra-Light Wing Structure,wing_primary_structure,Wing primary structure,,,ready,aero_load_path; solar_mount; propulsion_mounts,high_aspect_ratio_wing_structure; carbon_spar_cap_set; foam_rib_set; wing_joiner_sleeve,high_aspect_ratio_wing_structure,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:tail_control_structure,structure_containment,Ultra-Light Wing Structure,tail_control_structure,Tail and control structure,,,ready,aero_load_path; flight_control_bus; service_access,tail_boom_assembly; elevator_surface; rudder_surface; control_hinge_set,,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:payload_bay_structure,structure_containment,Ultra-Light Wing Structure,payload_bay_structure,Payload bay structure,,,ready,payload_mount; service_access; aero_load_path,payload_bay_frame; avionics_tray; access_panel_latch_set; mass_balance_bracket,,,,Submodule has component candidates and no allocation blocker.
submodule,energy_harvesting:solar_skin_array,energy_harvesting,Solar Energy Harvesting,solar_skin_array,Solar skin array,,,ready,solar_dc_bus; solar_mount; thermal_path,solar_cell_array; cell_interconnect_ribbon; transparent_encapsulation_film; solar_string_bypass_diode,solar_cell_array,,,Submodule has component candidates and no allocation blocker.
submodule,energy_harvesting:mppt_conversion,energy_harvesting,Solar Energy Harvesting,mppt_conversion,MPPT conversion,,,ready,solar_dc_bus; sensor_bus; service_access,mppt_power_tracker; solar_input_current_sensor; solar_voltage_tap_loom; mppt_heat_spreader,mppt_power_tracker,,,Submodule has component candidates and no allocation blocker.
submodule,energy_harvesting:solar_health_monitoring,energy_harvesting,Solar Energy Harvesting,solar_health_monitoring,Solar health monitoring,,,ready,solar_dc_bus; sensor_bus; service_access,solar_string_monitor_board; uv_exposure_witness_coupon; wing_surface_temperature_sensor; solar_inspection_connector,,,,Submodule has component candidates and no allocation blocker.
submodule,energy_storage_source:stratospheric_battery_pack,energy_storage_source,Night-Cycle Energy Storage,stratospheric_battery_pack,Stratospheric battery pack,,,ready,battery_dc_bus; thermal_path; battery_monitor_bus,stratospheric_battery_pack; battery_management_board; lightweight_battery_enclosure; cell_heater_film,stratospheric_battery_pack,,,Submodule has component candidates and no allocation blocker.
submodule,energy_storage_source:battery_thermal_zone,energy_storage_source,Night-Cycle Energy Storage,battery_thermal_zone,Battery thermal zone,,,ready,thermal_path; battery_monitor_bus; sensor_bus,battery_insulation_sleeve; phase_change_thermal_buffer; battery_temperature_sensor_harness; battery_vent_path,,,,Submodule has component candidates and no allocation blocker.
submodule,energy_storage_source:energy_reserve_monitoring,energy_storage_source,Night-Cycle Energy Storage,energy_reserve_monitoring,Energy reserve monitoring,,,ready,battery_monitor_bus; sensor_bus; telemetry_link,coulomb_counter_module; reserve_energy_estimator; battery_isolation_contactor; night_cycle_test_connector,,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:solar_battery_power_management,power_distribution,Flight Power Distribution,solar_battery_power_management,Solar and battery power management,,,ready,solar_dc_bus; battery_dc_bus; propulsion_power_bus; payload_power_bus,solar_battery_charge_controller; main_dc_bus_board; payload_power_switch; propulsion_bus_fuse_set,,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:low_voltage_distribution,power_distribution,Flight Power Distribution,low_voltage_distribution,Low-voltage distribution,,,ready,low_voltage_rail; payload_power_bus; service_access,avionics_dc_converter; servo_power_rail; communications_dc_converter; low_voltage_harness_loom,,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:load_shed_protection,power_distribution,Flight Power Distribution,load_shed_protection,Load-shed protection,,,ready,hardwired_trip; payload_power_bus; battery_monitor_bus,load_shed_relay_set; brownout_supervisor; energy_priority_controller; fault_latch_indicator,,,,Submodule has component candidates and no allocation blocker.
