batchId,batchSequence,batchKind,batchTitle,batchStatus,itemId,closureRowId,action,priority,status,componentWordId,description,searchTerms,requiredEvidence,acceptanceCriteria,rejectionCriteria,targetOutcome,blocksProcurement,sourceArtifacts
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:1:bms_master_controller,bom-close:control_compute_communication_bms_master_bms_master_controller,collect_source_evidence,blocker,ready,bms_master_controller,BMS master controller,BMS master controller; BMS master controller manufacturer part number; BMS master controller catalogue price GBP; BMS master controller datasheet; BMS master controller BESS; BMS master controller IEC UL battery storage,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:2:pcs_inverter,bom-close:energy_conversion_transduction_pcs_inverter_pcs_inverter,collect_source_evidence,blocker,ready,pcs_inverter,PCS inverter,PCS inverter; PCS inverter manufacturer part number; PCS inverter catalogue price GBP; PCS inverter datasheet; PCS inverter BESS; PCS inverter IEC UL battery storage,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:3:lfp_prismatic_cells,bom-close:energy_storage_source_cell_string_lfp_prismatic_cells,collect_source_evidence,blocker,ready,lfp_prismatic_cells,LFP prismatic cells,LFP prismatic cells; LFP prismatic cells manufacturer part number; LFP prismatic cells catalogue price GBP; LFP prismatic cells datasheet; LFP prismatic cells BESS; LFP prismatic cells IEC UL battery storage,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:4:dc_contactor_or_breaker,bom-close:energy_storage_source_dc_string_output_dc_contactor_or_breaker,collect_source_evidence,blocker,ready,dc_contactor_or_breaker,DC contactor or breaker,DC contactor or breaker; DC contactor or breaker manufacturer part number; DC contactor or breaker catalogue price GBP; DC contactor or breaker datasheet; DC contactor or breaker BESS; DC contactor or breaker IEC UL battery storage,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:5:thermal_management_loop,bom-close:mass_fluid_transport_process_pump_station_thermal_management_loop,collect_source_evidence,blocker,ready,thermal_management_loop,Thermal management loop,Thermal management loop; Thermal management loop manufacturer part number; Thermal management loop catalogue price GBP; Thermal management loop datasheet; Thermal management loop BESS; Thermal management loop IEC UL battery storage,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:2:critical_source_collection,2,critical_source_collection,Collect Critical Source Evidence,active,critical_source_collection:6:fire_detection_suppression,bom-close:safety_protection_fire_suppression_fire_detection_suppression,collect_source_evidence,blocker,ready,fire_detection_suppression,Fire detection/suppression,Fire detection/suppression; Fire detection/suppression manufacturer part number; Fire detection/suppression catalogue price GBP; Fire detection/suppression datasheet; Fire detection/suppression BESS; Fire detection/suppression IEC UL battery storage,supplierName; manufacturer; mpn; unitCostGbp; evidence.ref; evidence.quote; retrievedAt,"Sourcing admission accepts the row.; BoM provenance manifest shows supplier, manufacturer, MPN and unit cost as source_backed.; BoM evidence trace leaves critical_unsourced/rejected_evidence for this line.",LLM-estimated supplier/manufacturer/MPN/cost.; benchmark average without source evidence.; test-fixture:// source used as production evidence.; placeholder URL or stale retrieval timestamp.,source evidence admitted,yes,*.sourcing-intake-template.csv; *.sourcing-pack.csv; *.sourcing-ledger.csv; *.bom-provenance-manifest.csv; *.source-reference-quality-gate.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:6:candidate_sourcing_deferred,6,candidate_sourcing_deferred,Defer Candidate-Only Sourcing,deferred,candidate_sourcing_deferred:1:contactor_driver_output,bom-close:control_compute_communication_bms_master_contactor_driver_output,defer_candidate_sourcing,minor,deferred,contactor_driver_output,contactor driver output,contactor driver output; contactor driver output manufacturer part number; contactor driver output catalogue price GBP; contactor driver output datasheet; contactor driver output BESS; contactor driver output IEC UL battery storage,no immediate evidence required unless this candidate is promoted to procurement scope,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,candidate remains out of procurement totals,no,*.sourcing-pack.csv; *.bom-evidence-trace.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:6:candidate_sourcing_deferred,6,candidate_sourcing_deferred,Defer Candidate-Only Sourcing,deferred,candidate_sourcing_deferred:2:isolation_interface,bom-close:control_compute_communication_bms_master_isolation_interface,defer_candidate_sourcing,minor,deferred,isolation_interface,isolation interface,isolation interface; isolation interface manufacturer part number; isolation interface catalogue price GBP; isolation interface datasheet; isolation interface BESS; isolation interface IEC UL battery storage,no immediate evidence required unless this candidate is promoted to procurement scope,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,candidate remains out of procurement totals,no,*.sourcing-pack.csv; *.bom-evidence-trace.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:6:candidate_sourcing_deferred,6,candidate_sourcing_deferred,Defer Candidate-Only Sourcing,deferred,candidate_sourcing_deferred:3:soc_estimation_firmware,bom-close:control_compute_communication_bms_master_soc_estimation_firmware,defer_candidate_sourcing,minor,deferred,soc_estimation_firmware,SOC estimation firmware,SOC estimation firmware; SOC estimation firmware manufacturer part number; SOC estimation firmware catalogue price GBP; SOC estimation firmware datasheet; SOC estimation firmware BESS; SOC estimation firmware IEC UL battery storage,no immediate evidence required unless this candidate is promoted to procurement scope,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,candidate remains out of procurement totals,no,*.sourcing-pack.csv; *.bom-evidence-trace.csv; *.bom-evidence-closure-plan.csv
sourcing-batch:6:candidate_sourcing_deferred,6,candidate_sourcing_deferred,Defer Candidate-Only Sourcing,deferred,candidate_sourcing_deferred:4:cybersecurity_firewall,bom-close:control_compute_communication_communications_gateway_cybersecurity_firewall,defer_candidate_sourcing,minor,deferred,cybersecurity_firewall,cybersecurity firewall,cybersecurity firewall; cybersecurity firewall manufacturer part number; cybersecurity firewall catalogue price GBP; cybersecurity firewall datasheet; cybersecurity firewall BESS; cybersecurity firewall IEC UL battery storage,no immediate evidence required unless this candidate is promoted to procurement scope,"Candidate remains candidate-only, or is promoted to sourcing intake with explicit procurement scope.",Candidate is used in procurement totals without source-backed evidence.,candidate remains out of procurement totals,no,*.sourcing-pack.csv; *.bom-evidence-trace.csv; *.bom-evidence-closure-plan.csv
