activityId,activity,evidenceKind,reviewerName,verdict,evidenceRef,evidenceNote,reviewedAt
design_review:power_distribution,Review AC Input And DC Output Distribution architecture allocation,design_review,,,,,
calculation:power_distribution,Verify AC Input And DC Output Distribution requirement calculations,calculation,,,,,
design_review:energy_conversion_transduction,Review Power Conversion Stack architecture allocation,design_review,,,,,
calculation:energy_conversion_transduction,Verify Power Conversion Stack requirement calculations,calculation,,,,,
design_review:charging_connector_interface,Review Vehicle Charging Interface architecture allocation,design_review,,,,,
calculation:charging_connector_interface,Verify Vehicle Charging Interface requirement calculations,calculation,,,,,
design_review:control_compute_communication,Review Control Compute Communication architecture allocation,design_review,,,,,
design_review:sensing_instrumentation,Review Metering And Electrical Sensing architecture allocation,design_review,,,,,
design_review:environmental_interface,Review Thermal And Environmental Interface architecture allocation,design_review,,,,,
calculation:environmental_interface,Verify Thermal And Environmental Interface requirement calculations,calculation,,,,,
design_review:structure_containment,Review Cabinet Structure And Containment architecture allocation,design_review,,,,,
design_review:safety_protection,Review Safety Protection architecture allocation,design_review,,,,,
design_review:maintenance_serviceability,Review Maintenance And Commissioning architecture allocation,design_review,,,,,
design_review:hmi_ergonomics,Review User Payment And HMI architecture allocation,design_review,,,,,
interface_review:power_distribution:energy_conversion_transduction:ac_input_bus,Verify ac_input_bus interface contract,interface_review,,,,,
interface_review:energy_conversion_transduction:charging_connector_interface:dc_output_bus,Verify dc_output_bus interface contract,interface_review,,,,,
interface_review:control_compute_communication:charging_connector_interface:iso15118_plc,Verify iso15118_plc interface contract,interface_review,,,,,
interface_review:control_compute_communication:energy_conversion_transduction:control_bus,Verify control_bus interface contract,interface_review,,,,,
interface_review:sensing_instrumentation:control_compute_communication:metering_bus,Verify metering_bus interface contract,interface_review,,,,,
interface_review:environmental_interface:energy_conversion_transduction:coolant_loop,Verify coolant_loop interface contract,interface_review,,,,,
compliance_review:IEC-61851,Plan evidence for IEC-61851,compliance_review,,,,,
compliance_review:IEC-62196-3,Plan evidence for IEC-62196-3,compliance_review,,,,,
compliance_review:ISO-15118,Plan evidence for ISO-15118,compliance_review,,,,,
compliance_review:OCPP-1.6J/2.0.1,Plan evidence for OCPP-1.6J/2.0.1,compliance_review,,,,,
risk_review:1,Review risk control for DC output fault or insulation failure,compliance_review,,,,,
risk_review:2,Review risk control for Connector overheating at high current,compliance_review,,,,,
risk_review:3,Review risk control for Backend or payment outage stops sessions,compliance_review,,,,,
