lineId,componentWordId,description,duplicateGroupSize,duplicatePeerLineIds,duplicateResolution,priority,ledgerStatus,quantity,unit,unitCostGbp,totalCostGbp,supplier,manufacturer,mpn,leadTimeWeeks,sourceGrade,evidenceRef,evidenceQuote,retrievedAt,rejectionReasons,nextAction
structure_containment_single_use_bag_chamber_single_use_bioreactor_bag,single_use_bioreactor_bag,Single-use bioreactor bag,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_single_use_bag_chamber_bag_support_tray,bag_support_tray,bag support tray,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_single_use_bag_chamber_port_clamp_set,port_clamp_set,port clamp set,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_single_use_bag_chamber_bag_integrity_test_label,bag_integrity_test_label,bag integrity test label,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_support_frame_load_path_stainless_support_frame,stainless_support_frame,stainless support frame,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_support_frame_load_path_load_cell_mounting_bracket_set,load_cell_mounting_bracket_set,load cell mounting bracket set,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_support_frame_load_path_levelling_foot_set,levelling_foot_set,levelling foot set,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_support_frame_load_path_lifting_eye_kit,lifting_eye_kit,lifting eye kit,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_sterile_connector_panel_sterile_tubing_and_connector_set,sterile_tubing_and_connector_set,Sterile tubing and connector set,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_sterile_connector_panel_aseptic_sampling_port,aseptic_sampling_port,aseptic sampling port,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_sterile_connector_panel_clamp_rail,clamp_rail,clamp rail,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
structure_containment_sterile_connector_panel_connector_parking_bracket,connector_parking_bracket,connector parking bracket,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
actuation_kinematics_agitation_drive_train_agitation_drive,agitation_drive,Agitation drive,1,,unique_allocation,critical,critical_unpriced,1,candidate,,,,,,,assumption,,,,,Collect admissible supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
actuation_kinematics_agitation_drive_train_magnetic_coupling_hub,magnetic_coupling_hub,magnetic coupling hub,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
actuation_kinematics_agitation_drive_train_drive_encoder,drive_encoder,drive encoder,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
actuation_kinematics_agitation_drive_train_motor_mounting_plate,motor_mounting_plate,motor mounting plate,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
actuation_kinematics_mixing_impeller_interface_single_use_impeller_coupling,single_use_impeller_coupling,single-use impeller coupling,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
actuation_kinematics_mixing_impeller_interface_impeller_guard_insert,impeller_guard_insert,impeller guard insert,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
actuation_kinematics_mixing_impeller_interface_rocker_angle_stop,rocker_angle_stop,rocker angle stop,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
actuation_kinematics_mixing_impeller_interface_mixing_validation_coupon,mixing_validation_coupon,mixing validation coupon,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
actuation_kinematics_agitation_safety_feedback_motor_current_sensor,motor_current_sensor,motor current sensor,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
actuation_kinematics_agitation_safety_feedback_overspeed_interlock_input,overspeed_interlock_input,overspeed interlock input,1,,unique_allocation,candidate,candidate_unpriced,1,candidate,,,,,,,assumption,,,,,Source after critical lines or when detailed procurement planning starts.
