lineId,componentWordId,description,critical,field,value,status,sourceRef,sourceQuote,retrievedAt,nextAction
structure_containment_growing_rack_stack_growing_rack_structure,growing_rack_structure,Growing rack structure,true,supplier,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_growing_rack_stack_growing_rack_structure,growing_rack_structure,Growing rack structure,true,manufacturer,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_growing_rack_stack_growing_rack_structure,growing_rack_structure,Growing rack structure,true,mpn,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_growing_rack_stack_growing_rack_structure,growing_rack_structure,Growing rack structure,true,unit_cost_gbp,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_growing_rack_stack_growing_rack_structure,growing_rack_structure,Growing rack structure,true,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_growing_rack_stack_aluminium_extrusion_upright,aluminium_extrusion_upright,aluminium extrusion upright,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_growing_rack_stack_aluminium_extrusion_upright,aluminium_extrusion_upright,aluminium extrusion upright,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_growing_rack_stack_aluminium_extrusion_upright,aluminium_extrusion_upright,aluminium extrusion upright,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_growing_rack_stack_aluminium_extrusion_upright,aluminium_extrusion_upright,aluminium extrusion upright,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_growing_rack_stack_aluminium_extrusion_upright,aluminium_extrusion_upright,aluminium extrusion upright,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_growing_rack_stack_cross_brace_set,cross_brace_set,cross brace set,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_growing_rack_stack_cross_brace_set,cross_brace_set,cross brace set,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_growing_rack_stack_cross_brace_set,cross_brace_set,cross brace set,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_growing_rack_stack_cross_brace_set,cross_brace_set,cross brace set,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_growing_rack_stack_cross_brace_set,cross_brace_set,cross brace set,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_growing_rack_stack_adjustable_levelling_foot,adjustable_levelling_foot,adjustable levelling foot,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_growing_rack_stack_adjustable_levelling_foot,adjustable_levelling_foot,adjustable levelling foot,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_growing_rack_stack_adjustable_levelling_foot,adjustable_levelling_foot,adjustable levelling foot,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_growing_rack_stack_adjustable_levelling_foot,adjustable_levelling_foot,adjustable levelling foot,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
