id,lineId,componentWordId,description,priority,quantity,unit,traceStatus,ledgerStatus,duplicateResolution,supplier,manufacturer,mpn,unitCostGbp,totalCostGbp,sourceRef,sourceReferenceClass,sourceReferenceStatus,sourceQualityIssues,supplierClaim,manufacturerClaim,mpnClaim,unitCostClaim,sourceBackedRequiredClaims,missingRequiredClaims,provenanceViolations,canDisplayCandidate,canDisplayPricedReview,canUseForProcurement,requiredAction
bom-trace:structure_containment_growing_rack_stack_growing_rack_structure,structure_containment_growing_rack_stack_growing_rack_structure,growing_rack_structure,Growing rack structure,critical,1,candidate,critical_unsourced,critical_unpriced,unique_allocation,,,,,,,,,,missing_source,missing_source,missing_source,missing_source,0,4,0,yes,no,no,Collect admissible source evidence for this critical line before BoM can pass.
bom-trace:structure_containment_growing_rack_stack_aluminium_extrusion_upright,structure_containment_growing_rack_stack_aluminium_extrusion_upright,aluminium_extrusion_upright,aluminium extrusion upright,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_growing_rack_stack_cross_brace_set,structure_containment_growing_rack_stack_cross_brace_set,cross_brace_set,cross brace set,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_growing_rack_stack_adjustable_levelling_foot,structure_containment_growing_rack_stack_adjustable_levelling_foot,adjustable_levelling_foot,adjustable levelling foot,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_growing_rack_stack_tray_slide_rail,structure_containment_growing_rack_stack_tray_slide_rail,tray_slide_rail,tray slide rail,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_crop_tray_carriers_food_safe_grow_tray,structure_containment_crop_tray_carriers_food_safe_grow_tray,food_safe_grow_tray,food-safe grow tray,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_crop_tray_carriers_nft_channel_insert,structure_containment_crop_tray_carriers_nft_channel_insert,nft_channel_insert,NFT channel insert,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_crop_tray_carriers_seedling_raft,structure_containment_crop_tray_carriers_seedling_raft,seedling_raft,seedling raft,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_crop_tray_carriers_root_zone_cover,structure_containment_crop_tray_carriers_root_zone_cover,root_zone_cover,root-zone cover,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_crop_tray_carriers_tray_drain_fitting,structure_containment_crop_tray_carriers_tray_drain_fitting,tray_drain_fitting,tray drain fitting,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
