id,moduleId,moduleName,subModuleId,subModuleName,verdict,purposePresent,componentWordCount,interfaceCount,linkedRequirementCount,criticalComponentCount,duplicateComponentCount,carrierContractCount,missingCarrierContractCount,localOnlyInterfaceCount,reviewQuestions,acceptedReviewQuestions,blockedReviewQuestions,verificationActivities,acceptedVerificationActivities,blockedVerificationActivities,criticalUnpricedLines,passRatio,blockers,requiredAction
energy_storage_source:cell_string,energy_storage_source,Energy Storage Source,cell_string,Cell string,review,yes,5,3,1,1,0,2,0,1,4,2,0,5,1,0,0,0.6667,,Review 1 local-only interface declaration(s): bms_tap_harness. 2 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence.
energy_storage_source:rack_structure,energy_storage_source,Energy Storage Source,rack_structure,Rack structure,review,yes,5,2,0,0,0,0,0,2,2,2,0,1,1,0,0,1,,"Review 2 local-only interface declaration(s): mechanical_mounts, service_access."
energy_storage_source:bms_slave,energy_storage_source,Energy Storage Source,bms_slave,BMS slave board,review,yes,5,2,0,0,0,1,0,1,3,2,0,2,1,0,0,0.6667,,Review 1 local-only interface declaration(s): sensor_harness. 1 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence.
energy_storage_source:dc_string_output,energy_storage_source,Energy Storage Source,dc_string_output,DC string output,review,yes,5,2,0,1,0,1,0,1,3,2,0,3,1,0,1,0.6667,,Review 1 local-only interface declaration(s): hardwired_trip. 1 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
energy_storage_source:module_interconnect_harness,energy_storage_source,Energy Storage Source,module_interconnect_harness,Module interconnect harness,review,yes,4,3,0,0,0,0,0,3,2,2,0,1,1,0,0,1,,"Review 3 local-only interface declaration(s): bms_tap_harness, sensor_harness, service_access."
energy_storage_source:rack_thermal_interface,energy_storage_source,Energy Storage Source,rack_thermal_interface,Rack thermal interface,review,yes,5,3,0,0,0,1,0,2,3,2,0,2,1,0,0,0.6667,,"Review 2 local-only interface declaration(s): mechanical_mounts, service_access. 1 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
energy_conversion_transduction:pcs_inverter,energy_conversion_transduction,Power Conversion System,pcs_inverter,PCS inverter bridge,review,yes,6,3,2,1,0,1,0,2,3,0,0,4,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): ac_bus, modbus_tcp. 3 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
energy_conversion_transduction:transformer_stage,energy_conversion_transduction,Power Conversion System,transformer_stage,Transformer stage,review,yes,5,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): ac_bus, thermal_path. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
energy_conversion_transduction:grid_filter,energy_conversion_transduction,Power Conversion System,grid_filter,Grid filter,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): ac_bus, protective_earth. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
energy_conversion_transduction:grid_protection_relay,energy_conversion_transduction,Power Conversion System,grid_protection_relay,Grid protection relay,review,yes,5,4,0,0,0,0,0,4,2,0,0,1,0,0,0,0.6667,,"Review 4 local-only interface declaration(s): ac_bus, modbus_tcp, hardwired_trip, protective_earth. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
structure_containment:container_shell,structure_containment,Container Structure And Fit-Out,container_shell,ISO container shell,review,yes,4,2,1,0,0,0,0,2,2,0,0,2,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): lifting_points, service_access. 2 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
structure_containment:internal_partitions,structure_containment,Container Structure And Fit-Out,internal_partitions,Internal partitions,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): fire_boundary, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
structure_containment:rack_mounting,structure_containment,Container Structure And Fit-Out,rack_mounting,Rack mounting rails,review,yes,4,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0.6667,,Review 1 local-only interface declaration(s): mechanical_mounts. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence.
structure_containment:cable_penetration_sealing,structure_containment,Container Structure And Fit-Out,cable_penetration_sealing,Cable penetration sealing,review,yes,5,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): fire_boundary, service_access, protective_earth. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
sensing_instrumentation:electrical_measurement,sensing_instrumentation,Sensing And Instrumentation,electrical_measurement,Electrical measurement,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): sensor_bus, dc_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
sensing_instrumentation:environmental_sensors,sensing_instrumentation,Sensing And Instrumentation,environmental_sensors,Environmental sensors,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): sensor_bus, alarm_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
sensing_instrumentation:thermal_sensors,sensing_instrumentation,Sensing And Instrumentation,thermal_sensors,Thermal sensors,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): sensor_bus, thermal_loop. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
sensing_instrumentation:event_recording,sensing_instrumentation,Sensing And Instrumentation,event_recording,Event recording,review,yes,5,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): sensor_bus, alarm_bus, site_scada. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
control_compute_communication:bms_master,control_compute_communication,Control Compute And Communication,bms_master,BMS master controller,review,yes,4,2,1,1,0,1,0,1,3,0,0,4,0,0,1,0.6667,,Review 1 local-only interface declaration(s): hardwired_trip. 3 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
