id,kind,priority,status,scope,reviewerQuestion,evidenceRequired,acceptanceCriteria,linkedModuleIds,linkedSubModuleIds,linkedComponentWordIds,linkedRequirementIds,linkedInterfaceIds,linkedCalculationIds,blockers
assumption_resolution:compliance:CE-UKCA,assumption_resolution,major,needs_review,CE-UKCA,"Can the CE-UKCA assumption be accepted for architecture review, or must it be replaced with evidence?","Technical file, electrical risk assessment and declarations.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:WRAS,assumption_resolution,major,needs_review,WRAS,"Can the WRAS assumption be accepted for architecture review, or must it be replaced with evidence?",Approved fittings or evidence for water-contact components.,"Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:component:control_compute_communication_environmental_controller_environmental_controller,assumption_resolution,major,needs_review,Environmental controller,"Can the Environmental controller assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",control_compute_communication,,environmental_controller,,,,
assumption_resolution:component:environmental_interface_canopy_air_mixing_air_circulation_fans,assumption_resolution,major,needs_review,Air circulation fans,"Can the Air circulation fans assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",environmental_interface,,air_circulation_fans,,,,
assumption_resolution:component:environmental_interface_co2_enrichment_co2_sensor_or_dosing,assumption_resolution,major,needs_review,CO2 sensor or dosing,"Can the CO2 sensor or dosing assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",environmental_interface,,co2_sensor_or_dosing,,,,
assumption_resolution:component:environmental_interface_horticultural_lighting_led_grow_lights,assumption_resolution,major,needs_review,LED grow lights,"Can the LED grow lights assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",environmental_interface,,led_grow_lights,,,,
assumption_resolution:component:mass_fluid_transport_process_fertigation_pumping_nutrient_pump,assumption_resolution,major,needs_review,Nutrient pump,"Can the Nutrient pump assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",mass_fluid_transport_process,,nutrient_pump,,,,
assumption_resolution:component:mass_fluid_transport_process_reservoir_plumbing_reservoir_and_plumbing_set,assumption_resolution,major,needs_review,Reservoir and plumbing set,"Can the Reservoir and plumbing set assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",mass_fluid_transport_process,,reservoir_and_plumbing_set,,,,
assumption_resolution:component:power_distribution_mains_panel_rcd_isolator_panel,assumption_resolution,major,needs_review,RCD isolator panel,"Can the RCD isolator panel assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",power_distribution,,rcd_isolator_panel,,,,
assumption_resolution:component:structure_containment_growing_rack_stack_growing_rack_structure,assumption_resolution,major,needs_review,Growing rack structure,"Can the Growing rack structure assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",structure_containment,,growing_rack_structure,,,,
assumption_resolution:interface:control_compute_communication:environmental_interface:actuator_bus,assumption_resolution,major,needs_review,control_compute_communication -> environmental_interface,"Can the control_compute_communication -> environmental_interface assumption be accepted for architecture review, or must it be replaced with evidence?","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,actuator_bus,,
assumption_resolution:interface:control_compute_communication:mass_fluid_transport_process:actuator_bus,assumption_resolution,major,needs_review,control_compute_communication -> mass_fluid_transport_process,"Can the control_compute_communication -> mass_fluid_transport_process assumption be accepted for architecture review, or must it be replaced with evidence?","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,actuator_bus,,
assumption_resolution:interface:environmental_interface:mass_fluid_transport_process:sensor_bus,assumption_resolution,major,needs_review,environmental_interface -> mass_fluid_transport_process,"Can the environmental_interface -> mass_fluid_transport_process assumption be accepted for architecture review, or must it be replaced with evidence?","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,sensor_bus,,
assumption_resolution:metric:capex_gbp,assumption_resolution,major,needs_review,Estimated CAPEX,"Can the Estimated CAPEX assumption be accepted for architecture review, or must it be replaced with evidence?",Admit source-backed BoM pricing before treating this cost metric as a claim.,"Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:metric:headline_output,assumption_resolution,major,needs_review,Annual leafy-green yield,"Can the Annual leafy-green yield assumption be accepted for architecture review, or must it be replaced with evidence?","Review the formula, input values and operating envelope before treating this metric as a performance claim.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:metric:opex_annual_gbp,assumption_resolution,major,needs_review,Estimated annual OPEX,"Can the Estimated annual OPEX assumption be accepted for architecture review, or must it be replaced with evidence?",Admit source-backed BoM pricing before treating this cost metric as a claim.,"Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:sanity:farm_footprint,assumption_resolution,major,needs_review,Grow Unit Footprint,"Can the Grow Unit Footprint assumption be accepted for architecture review, or must it be replaced with evidence?","Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",structure_containment; maintenance_serviceability; environmental_interface,,,envelope_length_m; envelope_width_m; footprint_m2,,,
assumption_resolution:sanity:farm_process_closure,assumption_resolution,major,needs_review,Climate/Nutrient/Control Closure,"Can the Climate/Nutrient/Control Closure assumption be accepted for architecture review, or must it be replaced with evidence?","Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",structure_containment; maintenance_serviceability; environmental_interface,,,envelope_length_m; envelope_width_m; footprint_m2,,,
assumption_resolution:sanity:farm_wet_electrical_separation,assumption_resolution,major,needs_review,Wet/Electrical Separation,"Can the Wet/Electrical Separation assumption be accepted for architecture review, or must it be replaced with evidence?","Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",structure_containment; maintenance_serviceability; environmental_interface,,,envelope_length_m; envelope_width_m; footprint_m2,,,
calculation_envelope:farm_service_clearance_area_m2,calculation_envelope,major,needs_review,Indicative service-clearance footprint,"Does the Indicative service-clearance footprint calculation support the architecture envelope, or does the concept need revision?","Review maintenance access, nutrient tank access, airflow paths and electrical service clearances.","Inputs match the parsed brief or a named assumption. Formula is appropriate for a first-pass engineering screen. Reviewer either accepts the envelope, supplies corrected inputs or marks the concept for revision.",structure_containment; maintenance_serviceability; environmental_interface,,,footprint_m2,,farm_service_clearance_area_m2,
calculation_envelope:farm_footprint_check_m2,calculation_envelope,major,ready_for_review,Vertical farm footprint check,"Does the Vertical farm footprint check calculation support the architecture envelope, or does the concept need revision?","Confirm whether the envelope includes aisle, service clearance, reservoir and electrical cabinet space.","Inputs match the parsed brief or a named assumption. Formula is appropriate for a first-pass engineering screen. Reviewer either accepts the envelope, supplies corrected inputs or marks the concept for revision.",structure_containment; maintenance_serviceability; environmental_interface,,,envelope_length_m; envelope_width_m; footprint_m2,,farm_footprint_check_m2,
