id,kind,priority,status,scope,reviewerQuestion,evidenceRequired,acceptanceCriteria,linkedModuleIds,linkedSubModuleIds,linkedComponentWordIds,linkedRequirementIds,linkedInterfaceIds,linkedCalculationIds,blockers
assumption_resolution:compliance:CAA-UAS-OPS,assumption_resolution,major,needs_review,CAA-UAS-OPS,"Can the CAA-UAS-OPS assumption be accepted for architecture review, or must it be replaced with evidence?","Airspace concept of operations, detect-and-avoid assumptions, command link and recovery evidence.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:DO-160-ENV,assumption_resolution,major,needs_review,DO-160-ENV,"Can the DO-160-ENV assumption be accepted for architecture review, or must it be replaced with evidence?","Temperature, vibration, electrical power and EMC environmental evidence tailored to stratospheric operation.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:SOLAR-ENERGY-BALANCE-REVIEW,assumption_resolution,major,needs_review,SOLAR-ENERGY-BALANCE-REVIEW,"Can the SOLAR-ENERGY-BALANCE-REVIEW assumption be accepted for architecture review, or must it be replaced with evidence?","Solar collection, battery night-cycle, propulsion load and station-keeping wind model evidence.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:component:actuation_kinematics_electric_propulsion_pods_electric_propulsion_pod,assumption_resolution,major,needs_review,Electric propulsion pod,"Can the Electric propulsion pod assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",actuation_kinematics,,electric_propulsion_pod,,,,
assumption_resolution:component:control_compute_communication_flight_control_computer_flight_control_computer,assumption_resolution,major,needs_review,Flight control computer,"Can the Flight control computer assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",control_compute_communication,,flight_control_computer,,,,
assumption_resolution:component:control_compute_communication_ground_command_link_ground_control_link,assumption_resolution,major,needs_review,Ground control link,"Can the Ground control link assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",control_compute_communication,,ground_control_link,,,,
assumption_resolution:component:energy_harvesting_mppt_conversion_mppt_power_tracker,assumption_resolution,major,needs_review,MPPT power tracker,"Can the MPPT power tracker assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",energy_harvesting,,mppt_power_tracker,,,,
assumption_resolution:component:energy_harvesting_solar_skin_array_solar_cell_array,assumption_resolution,major,needs_review,Solar cell array,"Can the Solar cell array assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",energy_harvesting,,solar_cell_array,,,,
assumption_resolution:component:energy_storage_source_stratospheric_battery_pack_stratospheric_battery_pack,assumption_resolution,major,needs_review,Stratospheric battery pack,"Can the Stratospheric battery pack assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",energy_storage_source,,stratospheric_battery_pack,,,,
assumption_resolution:component:environmental_interface_thermal_protection_thermal_insulation_blanket,assumption_resolution,major,needs_review,Thermal insulation blanket,"Can the Thermal insulation blanket assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",environmental_interface,,thermal_insulation_blanket,,,,
