moduleId,moduleName,verdict,subModuleCount,componentWordCount,interfaceCount,linkedRequirementCount,requiredInterfaceContracts,carrierCompleteInterfaceContracts,blockedAllocationRows,reviewQuestions,acceptedReviewQuestions,blockedReviewQuestions,linkedCalculationRows,assumptionReviewRows,criticalBomLines,unpricedCriticalLines,passRatio,blockers,requiredAction
power_distribution,AC Input And DC Output Distribution,review,3,12,6,1,1,1,0,14,0,0,2,10,3,3,0.86,,3 critical BoM line(s) need source-backed cost evidence. 14 engineering review question(s) await acceptance. 10 assumption row(s) need review or source evidence.
energy_conversion_transduction,Power Conversion Stack,review,3,12,6,1,4,4,0,14,0,0,2,8,1,1,0.86,,1 critical BoM line(s) need source-backed cost evidence. 14 engineering review question(s) await acceptance. 8 assumption row(s) need review or source evidence.
charging_connector_interface,Vehicle Charging Interface,review,3,12,8,1,2,2,0,14,0,0,2,8,2,2,0.86,,2 critical BoM line(s) need source-backed cost evidence. 14 engineering review question(s) await acceptance. 8 assumption row(s) need review or source evidence.
control_compute_communication,Control Compute Communication,review,3,12,6,0,3,3,0,10,0,0,0,6,2,2,0.71,,2 critical BoM line(s) need source-backed cost evidence. 10 engineering review question(s) await acceptance. 6 assumption row(s) need review or source evidence.
sensing_instrumentation,Metering And Electrical Sensing,review,3,12,8,0,1,1,0,9,0,0,0,7,2,2,0.71,,2 critical BoM line(s) need source-backed cost evidence. 9 engineering review question(s) await acceptance. 7 assumption row(s) need review or source evidence.
environmental_interface,Thermal And Environmental Interface,review,3,12,6,1,1,1,0,11,0,0,2,5,1,1,0.86,,1 critical BoM line(s) need source-backed cost evidence. 11 engineering review question(s) await acceptance. 5 assumption row(s) need review or source evidence.
structure_containment,Cabinet Structure And Containment,review,3,12,4,0,0,0,0,4,0,0,0,0,0,0,0.71,,4 engineering review question(s) await acceptance.
safety_protection,Safety Protection,review,3,12,7,0,0,0,0,7,0,0,0,4,2,2,0.71,,2 critical BoM line(s) need source-backed cost evidence. 7 engineering review question(s) await acceptance. 4 assumption row(s) need review or source evidence.
maintenance_serviceability,Maintenance And Commissioning,review,3,12,6,0,0,0,0,4,0,0,0,2,0,0,0.71,,4 engineering review question(s) await acceptance. 2 assumption row(s) need review or source evidence.
hmi_ergonomics,User Payment And HMI,review,3,12,4,0,0,0,0,4,0,0,0,1,0,0,0.71,,4 engineering review question(s) await acceptance. 1 assumption row(s) need review or source evidence.
