id,interfaceId,fromModuleId,toModuleId,contractStatus,carrierStatus,fromCarrierSubModules,toCarrierSubModules,componentWordIds,verificationActivityId,plannedStatus,ledgerStatus,status,blockers,requiredAction
required:skin_patient_interface:sensing_instrumentation:interstitial_fluid_path,interstitial_fluid_path,skin_patient_interface,sensing_instrumentation,present,both_endpoints_carried,adhesive_patch_stack; cannula_skin_contact,glucose_filament_stack,adhesive_skin_patch; hydrocolloid_edge_seal; breathable_backing_film; pull_tab_liner; skin_contact_gasket; filament_entry_seal; antimicrobial_contact_pad; insertion_site_spacing_ring; glucose_sensing_filament; enzyme_reagent_membrane; reference_electrode; diffusion_limiting_membrane,interface_review:skin_patient_interface:sensing_instrumentation:interstitial_fluid_path,ready_for_review,pending,review_ready,,Collect named interface-review evidence through verification intake.
required:actuation_kinematics:skin_patient_interface:insertion_path,insertion_path,actuation_kinematics,skin_patient_interface,present,both_endpoints_carried,disposable_applicator; insertion_mechanism,cannula_skin_contact,disposable_applicator; spring_insertion_driver; trigger_button; safety_cap; introducer_needle; filament_deployment_shuttle; depth_stop_collar; retraction_latch; skin_contact_gasket; filament_entry_seal; antimicrobial_contact_pad; insertion_site_spacing_ring,interface_review:actuation_kinematics:skin_patient_interface:insertion_path,ready_for_review,pending,review_ready,,Collect named interface-review evidence through verification intake.
required:sensing_instrumentation:control_compute_communication:sensor_signal_bus,sensor_signal_bus,sensing_instrumentation,control_compute_communication,present,both_endpoints_carried,analog_front_end; calibration_drift_monitoring,mcu_firmware; data_buffering,potentiostat_afe; low_leakage_input_guard; electrode_flex_tail; sensor_bias_resistor_network; calibration_data_eeprom; drift_estimator_firmware_table; factory_calibration_code; signal_integrity_test_pad; low_power_microcontroller; firmware_image; secure_boot_key_store; real_time_clock; glucose_trend_buffer_flash; event_log_memory; calibration_data_bus_bridge; clock_drift_compensator,interface_review:sensing_instrumentation:control_compute_communication:sensor_signal_bus,ready_for_review,pending,review_ready,,Collect named interface-review evidence through verification intake.
required:sensing_instrumentation:control_compute_communication:calibration_data_bus,calibration_data_bus,sensing_instrumentation,control_compute_communication,present,both_endpoints_carried,calibration_drift_monitoring,mcu_firmware; data_buffering,calibration_data_eeprom; drift_estimator_firmware_table; factory_calibration_code; signal_integrity_test_pad; low_power_microcontroller; firmware_image; secure_boot_key_store; real_time_clock; glucose_trend_buffer_flash; event_log_memory; calibration_data_bus_bridge; clock_drift_compensator,interface_review:sensing_instrumentation:control_compute_communication:calibration_data_bus,ready_for_review,pending,review_ready,,Collect named interface-review evidence through verification intake.
required:energy_storage_source:power_distribution:cell_power_bus,cell_power_bus,energy_storage_source,power_distribution,present,both_endpoints_carried,battery_cell; power_reserve; battery_safety,low_power_rails; analog_excitation,thin_film_battery; battery_weld_tab; battery_pouch_insulator; state_of_charge_witness_pad; brownout_hold_up_capacitor; battery_cut_off_tab; shelf_life_isolation_film; activation_pull_strip; battery_vent_clearance; reverse_polarity_fuse; pack_temperature_dot; battery_lot_barcode; nanoamp_power_switch; digital_buck_regulator; rail_measurement_divider; wake_timer_oscillator; sensor_excitation_mux; analog_power_filter; electrode_guard_driver; afe_wake_timer,interface_review:energy_storage_source:power_distribution:cell_power_bus,ready_for_review,pending,review_ready,,Collect named interface-review evidence through verification intake.
required:power_distribution:sensing_instrumentation:analog_power_rail,analog_power_rail,power_distribution,sensing_instrumentation,present,both_endpoints_carried,analog_excitation; power_fault_handling,glucose_filament_stack; analog_front_end,sensor_excitation_mux; analog_power_filter; electrode_guard_driver; afe_wake_timer; hardwired_reset_supervisor; overcurrent_limiter; load_gate_transistor; fault_latch; glucose_sensing_filament; enzyme_reagent_membrane; reference_electrode; diffusion_limiting_membrane; potentiostat_afe; low_leakage_input_guard; electrode_flex_tail; sensor_bias_resistor_network,interface_review:power_distribution:sensing_instrumentation:analog_power_rail,ready_for_review,pending,review_ready,,Collect named interface-review evidence through verification intake.
required:power_distribution:control_compute_communication:low_power_rail,low_power_rail,power_distribution,control_compute_communication,present,both_endpoints_carried,low_power_rails; power_fault_handling,mcu_firmware; ble_telemetry,nanoamp_power_switch; digital_buck_regulator; rail_measurement_divider; wake_timer_oscillator; hardwired_reset_supervisor; overcurrent_limiter; load_gate_transistor; fault_latch; low_power_microcontroller; firmware_image; secure_boot_key_store; real_time_clock; ble_radio_module; printed_antenna; pairing_button_pad; encrypted_session_counter,interface_review:power_distribution:control_compute_communication:low_power_rail,ready_for_review,pending,review_ready,,Collect named interface-review evidence through verification intake.
required:environmental_interface:control_compute_communication:temperature_compensation_bus,temperature_compensation_bus,environmental_interface,control_compute_communication,present,both_endpoints_carried,temperature_compensation,mcu_firmware,temperature_sensor; thermal_model_table; skin_temperature_flex_tail; cold_start_delay_flag; low_power_microcontroller; firmware_image; secure_boot_key_store; real_time_clock,interface_review:environmental_interface:control_compute_communication:temperature_compensation_bus,ready_for_review,pending,review_ready,,Collect named interface-review evidence through verification intake.
required:control_compute_communication:safety_protection:alarm_state_bus,alarm_state_bus,control_compute_communication,safety_protection,present,both_endpoints_carried,ble_telemetry; data_buffering,patient_alarm_logic,ble_radio_module; printed_antenna; pairing_button_pad; encrypted_session_counter; glucose_trend_buffer_flash; event_log_memory; calibration_data_bus_bridge; clock_drift_compensator; hypoglycaemia_alarm_state; hyperglycaemia_alarm_state; sensor_fault_classifier; stale_data_lockout,interface_review:control_compute_communication:safety_protection:alarm_state_bus,ready_for_review,pending,review_ready,,Collect named interface-review evidence through verification intake.
required:maintenance_serviceability:skin_patient_interface:sterile_boundary,sterile_boundary,maintenance_serviceability,skin_patient_interface,present,both_endpoints_carried,sterile_packaging,adhesive_patch_stack; cannula_skin_contact,sterile_barrier_pouch; desiccant_sachet; pouch_seal_indicator; expiry_date_label; adhesive_skin_patch; hydrocolloid_edge_seal; breathable_backing_film; pull_tab_liner; skin_contact_gasket; filament_entry_seal; antimicrobial_contact_pad; insertion_site_spacing_ring,interface_review:maintenance_serviceability:skin_patient_interface:sterile_boundary,ready_for_review,pending,review_ready,,Collect named interface-review evidence through verification intake.
