activityId,activity,status,evidenceKind,moduleId,moduleName,requirementIds,sanityCheckIds,interfaceIds,componentWordIds,acceptanceCriteria,blockers
design_review:structure_containment,Review Growing Structure And Containment architecture allocation,ready_for_review,design_review,structure_containment,Growing Structure And Containment,envelope_length_m; envelope_width_m; footprint_m2,farm_footprint; farm_wet_electrical_separation; farm_process_closure,service_access; tray_support; washdown_boundary; mains_supply; nutrient_loop; airflow,growing_rack_structure; aluminium_extrusion_upright; cross_brace_set; adjustable_levelling_foot; tray_slide_rail; food_safe_grow_tray; nft_channel_insert; seedling_raft; root_zone_cover; tray_drain_fitting; washdown_side_panel; clear_inspection_door; epdm_door_gasket; condensate_drip_channel,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:structure_containment,Verify Growing Structure And Containment requirement calculations,ready_for_review,calculation,structure_containment,Growing Structure And Containment,envelope_length_m; envelope_width_m; footprint_m2,farm_footprint; farm_wet_electrical_separation; farm_process_closure,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:structure_containment,Collect source-backed evidence for Growing Structure And Containment critical components,blocked,source_evidence,structure_containment,Growing Structure And Containment,envelope_length_m; envelope_width_m; footprint_m2,,,growing_rack_structure,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",growing_rack_structure
design_review:environmental_interface,Review Light Climate And Gas Environment architecture allocation,ready_for_review,design_review,environmental_interface,Light Climate And Gas Environment,envelope_length_m; envelope_width_m; footprint_m2,farm_footprint; farm_wet_electrical_separation; farm_process_closure,lighting_control; airflow; sensor_bus; actuator_bus; mains_supply; service_access,led_grow_lights; dimmable_led_driver; lighting_suspension_bracket; ppfd_calibration_target; glare_shield; air_circulation_fans; fan_guard_grille; airflow_baffle_plate; replaceable_intake_filter; dehumidifier_module; heat_exchanger_coil; condensate_pump; supply_air_temperature_probe; humidity_control_relay; co2_sensor_or_dosing; ndir_co2_sensor_head; co2_solenoid_valve; gas_regulator; co2_distribution_tube,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:environmental_interface,Verify Light Climate And Gas Environment requirement calculations,ready_for_review,calculation,environmental_interface,Light Climate And Gas Environment,envelope_length_m; envelope_width_m; footprint_m2,farm_footprint; farm_wet_electrical_separation; farm_process_closure,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:environmental_interface,Collect source-backed evidence for Light Climate And Gas Environment critical components,blocked,source_evidence,environmental_interface,Light Climate And Gas Environment,envelope_length_m; envelope_width_m; footprint_m2,,,led_grow_lights; air_circulation_fans; co2_sensor_or_dosing,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",led_grow_lights air_circulation_fans co2_sensor_or_dosing
design_review:mass_fluid_transport_process,Review Nutrient And Water Transport Process architecture allocation,ready_for_review,design_review,mass_fluid_transport_process,Nutrient And Water Transport Process,,,nutrient_loop; sensor_bus; actuator_bus; service_access; washdown_boundary,reservoir_and_plumbing_set; opaque_nutrient_reservoir; bulkhead_fitting_set; pvc_u_manifold; return_drain_header; nutrient_pump; pump_isolation_valve; check_valve; flow_meter; pump_vibration_mount; peristaltic_dosing_pump; ph_dosing_pump; chemical_suction_lance; anti_siphon_valve; mixing_eductor; inline_mesh_filter; uv_steriliser; drain_valve; sample_port,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
source_evidence:mass_fluid_transport_process,Collect source-backed evidence for Nutrient And Water Transport Process critical components,blocked,source_evidence,mass_fluid_transport_process,Nutrient And Water Transport Process,,,,reservoir_and_plumbing_set; nutrient_pump,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",reservoir_and_plumbing_set nutrient_pump
design_review:sensing_instrumentation,Review Crop And Process Instrumentation architecture allocation,ready_for_review,design_review,sensing_instrumentation,Crop And Process Instrumentation,,,sensor_bus; video_link; nutrient_loop; airflow,temperature_humidity_probe; par_light_sensor; leaf_temperature_sensor; differential_pressure_switch; ph_probe; ec_probe; reservoir_level_sensor; solution_temperature_probe; rgb_crop_camera; camera_light_shield; time_lapse_controller; calibration_colour_card,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
design_review:control_compute_communication,Review Recipe Control And Communications architecture allocation,ready_for_review,design_review,control_compute_communication,Recipe Control And Communications,,,sensor_bus; actuator_bus; lighting_control; video_link; operator_network,environmental_controller; din_rail_plc; analog_input_module; relay_output_module; real_time_clock_module; recipe_database; set_point_scheduler; alarm_historian; data_export_module; industrial_ethernet_switch; wi_fi_gateway; mqtt_telemetry_bridge; sms_alarm_modem,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
source_evidence:control_compute_communication,Collect source-backed evidence for Recipe Control And Communications critical components,blocked,source_evidence,control_compute_communication,Recipe Control And Communications,,,,environmental_controller,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",environmental_controller
design_review:power_distribution,Review Wet-Zone Power Distribution architecture allocation,ready_for_review,design_review,power_distribution,Wet-Zone Power Distribution,,,mains_supply; lighting_control; actuator_bus; protective_earth; service_access; sensor_bus,rcd_isolator_panel; lockable_main_isolator; rcbo_breaker_bank; protective_earth_bar; surge_protection_device; lighting_bus_trunk; ip65_cable_gland_set; driver_mounting_rail; fused_spur_module; 24_v_dc_power_supply; dc_distribution_terminal; ups_buffer_module; control_cabinet_heater,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
source_evidence:power_distribution,Collect source-backed evidence for Wet-Zone Power Distribution critical components,blocked,source_evidence,power_distribution,Wet-Zone Power Distribution,,,,rcd_isolator_panel,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",rcd_isolator_panel
design_review:safety_protection,Review Food-Safe Safety And Protection architecture allocation,ready_for_review,design_review,safety_protection,Food-Safe Safety And Protection,,,mains_supply; washdown_boundary; service_access; alarm_bus,leak_detection_rope; bunded_base_tray; overflow_standpipe; floor_drain_adapter; door_interlock_switch; lighting_inhibit_relay; chemical_storage_latch; emergency_stop_button; food_grade_tubing_set; cleaning_validation_swab_kit; material_traceability_label; washdown_sop_placard,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
design_review:maintenance_serviceability,Review Harvest Cleaning And Serviceability architecture allocation,ready_for_review,design_review,maintenance_serviceability,Harvest Cleaning And Serviceability,envelope_length_m; envelope_width_m; footprint_m2,farm_footprint; farm_wet_electrical_separation; farm_process_closure,service_access; washdown_boundary; nutrient_loop; tray_support,slide_out_tray_handle; shelf_stop_latch; harvest_work_ledge; removable_seedling_cassette; quick_release_manifold_union; removable_sump_screen; washdown_hose_connection; drying_fan_mode_switch; filter_service_hatch; probe_calibration_cup; dosing_bottle_tray; spare_gasket_kit,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:maintenance_serviceability,Verify Harvest Cleaning And Serviceability requirement calculations,ready_for_review,calculation,maintenance_serviceability,Harvest Cleaning And Serviceability,envelope_length_m; envelope_width_m; footprint_m2,farm_footprint; farm_wet_electrical_separation; farm_process_closure,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
