id,lineId,componentWordId,description,priority,quantity,unit,traceStatus,ledgerStatus,duplicateResolution,supplier,manufacturer,mpn,unitCostGbp,totalCostGbp,sourceRef,sourceReferenceClass,sourceReferenceStatus,sourceQualityIssues,supplierClaim,manufacturerClaim,mpnClaim,unitCostClaim,sourceBackedRequiredClaims,missingRequiredClaims,provenanceViolations,canDisplayCandidate,canDisplayPricedReview,canUseForProcurement,requiredAction
bom-trace:structure_containment_pressure_hull_shell_pressure_hull,structure_containment_pressure_hull_shell_pressure_hull,pressure_hull,Pressure hull,critical,1,candidate,critical_unsourced,critical_unpriced,unique_allocation,,,,,,,,,,missing_source,missing_source,missing_source,missing_source,0,4,0,yes,no,no,Collect admissible source evidence for this critical line before BoM can pass.
bom-trace:structure_containment_pressure_hull_shell_endcap_clamp_ring,structure_containment_pressure_hull_shell_endcap_clamp_ring,endcap_clamp_ring,endcap clamp ring,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_pressure_hull_shell_double_o_ring_gland_set,structure_containment_pressure_hull_shell_double_o_ring_gland_set,double_o_ring_gland_set,double O-ring gland set,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_pressure_hull_shell_hull_proof_test_port,structure_containment_pressure_hull_shell_hull_proof_test_port,hull_proof_test_port,hull proof-test port,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_internal_mounting_frame_electronics_tray_rail,structure_containment_internal_mounting_frame_electronics_tray_rail,electronics_tray_rail,electronics tray rail,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_internal_mounting_frame_battery_cradle_frame,structure_containment_internal_mounting_frame_battery_cradle_frame,battery_cradle_frame,battery cradle frame,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_internal_mounting_frame_payload_mounting_rail,structure_containment_internal_mounting_frame_payload_mounting_rail,payload_mounting_rail,payload mounting rail,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_internal_mounting_frame_trim_weight_pocket,structure_containment_internal_mounting_frame_trim_weight_pocket,trim_weight_pocket,trim weight pocket,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_hydrodynamic_fairing_nose_fairing,structure_containment_hydrodynamic_fairing_nose_fairing,nose_fairing,nose fairing,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
bom-trace:structure_containment_hydrodynamic_fairing_tail_cone_fairing,structure_containment_hydrodynamic_fairing_tail_cone_fairing,tail_cone_fairing,tail cone fairing,candidate,1,candidate,candidate_only,candidate_unpriced,unique_allocation,,,,,,,,,,not_claimed,not_claimed,not_claimed,not_claimed,0,0,0,yes,no,no,Keep as candidate-only until critical sourcing is complete or procurement planning starts.
