id,moduleId,moduleName,subModuleId,subModuleName,verdict,purposePresent,componentWordCount,interfaceCount,linkedRequirementCount,criticalComponentCount,duplicateComponentCount,carrierContractCount,missingCarrierContractCount,localOnlyInterfaceCount,reviewQuestions,acceptedReviewQuestions,blockedReviewQuestions,verificationActivities,acceptedVerificationActivities,blockedVerificationActivities,criticalUnpricedLines,passRatio,blockers,requiredAction
skin_patient_interface:adhesive_patch_stack,skin_patient_interface,Skin Patient Interface,adhesive_patch_stack,Adhesive patch stack,review,yes,4,3,1,1,0,2,0,1,4,0,0,5,0,0,1,0.6667,,Review 1 local-only interface declaration(s): adhesive_skin_boundary. 4 engineering review question(s) await acceptance. 4 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
skin_patient_interface:cannula_skin_contact,skin_patient_interface,Skin Patient Interface,cannula_skin_contact,Sensor skin contact,review,yes,4,3,0,0,0,3,0,0,5,0,0,4,0,0,0,0.6667,,5 engineering review question(s) await acceptance. 4 verification activity row(s) await accepted evidence.
skin_patient_interface:wear_comfort_retention,skin_patient_interface,Skin Patient Interface,wear_comfort_retention,Wear comfort and retention,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): adhesive_skin_boundary, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
sensing_instrumentation:glucose_filament_stack,sensing_instrumentation,Glucose Sensing Instrumentation,glucose_filament_stack,Glucose filament stack,review,yes,4,3,2,3,0,2,0,1,4,0,0,5,0,0,3,0.6667,,Review 1 local-only interface declaration(s): electrode_signal_path. 4 engineering review question(s) await acceptance. 4 verification activity row(s) await accepted evidence. 3 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
sensing_instrumentation:analog_front_end,sensing_instrumentation,Glucose Sensing Instrumentation,analog_front_end,Analog front end,review,yes,4,3,0,0,0,2,0,1,4,0,0,3,0,0,0,0.6667,,Review 1 local-only interface declaration(s): electrode_signal_path. 4 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence.
sensing_instrumentation:calibration_drift_monitoring,sensing_instrumentation,Glucose Sensing Instrumentation,calibration_drift_monitoring,Calibration and drift monitoring,review,yes,4,3,0,0,0,2,0,1,4,0,0,3,0,0,0,0.6667,,Review 1 local-only interface declaration(s): temperature_compensation_bus. 4 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence.
actuation_kinematics:disposable_applicator,actuation_kinematics,Applicator Insertion Mechanism,disposable_applicator,Disposable applicator,review,yes,4,3,0,1,0,1,0,2,3,0,0,3,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): sterile_boundary, user_trigger. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
actuation_kinematics:insertion_mechanism,actuation_kinematics,Applicator Insertion Mechanism,insertion_mechanism,Insertion mechanism,review,yes,4,2,0,0,0,1,0,1,3,0,0,2,0,0,0,0.6667,,Review 1 local-only interface declaration(s): user_trigger. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence.
actuation_kinematics:sharps_lockout,actuation_kinematics,Applicator Insertion Mechanism,sharps_lockout,Sharps lockout,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): service_access, sterile_boundary. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
structure_containment:transmitter_housing,structure_containment,Transmitter Housing Structure,transmitter_housing,Transmitter housing,review,yes,4,3,0,1,0,0,0,3,2,0,0,2,0,0,1,0.6667,,"Review 3 local-only interface declaration(s): electronics_mount, ingress_boundary, adhesive_skin_boundary. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
structure_containment:patch_mechanical_frame,structure_containment,Transmitter Housing Structure,patch_mechanical_frame,Patch mechanical frame,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): electronics_mount, adhesive_skin_boundary, insertion_path. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
structure_containment:ingress_boundary,structure_containment,Transmitter Housing Structure,ingress_boundary,Ingress boundary,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): ingress_boundary, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
energy_storage_source:battery_cell,energy_storage_source,Wearable Energy Source,battery_cell,Battery cell,review,yes,4,2,1,1,0,1,0,1,3,0,0,4,0,0,1,0.6667,,Review 1 local-only interface declaration(s): lot_traceability. 3 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
energy_storage_source:power_reserve,energy_storage_source,Wearable Energy Source,power_reserve,Power reserve,review,yes,4,2,0,0,0,1,0,1,3,0,0,2,0,0,0,0.6667,,Review 1 local-only interface declaration(s): service_access. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence.
energy_storage_source:battery_safety,energy_storage_source,Wearable Energy Source,battery_safety,Battery safety,review,yes,4,2,0,0,0,1,0,1,3,0,0,2,0,0,0,0.6667,,Review 1 local-only interface declaration(s): lot_traceability. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence.
power_distribution:low_power_rails,power_distribution,Low-Power Distribution,low_power_rails,Low-power rails,review,yes,4,3,1,0,0,2,0,1,4,0,0,4,0,0,0,0.6667,,Review 1 local-only interface declaration(s): hardwired_trip. 4 engineering review question(s) await acceptance. 4 verification activity row(s) await accepted evidence.
power_distribution:analog_excitation,power_distribution,Low-Power Distribution,analog_excitation,Analog excitation,review,yes,4,3,0,0,0,2,0,1,4,0,0,3,0,0,0,0.6667,,Review 1 local-only interface declaration(s): sensor_signal_bus. 4 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence.
power_distribution:power_fault_handling,power_distribution,Low-Power Distribution,power_fault_handling,Power fault handling,review,yes,4,3,0,0,0,2,0,1,4,0,0,3,0,0,0,0.6667,,Review 1 local-only interface declaration(s): hardwired_trip. 4 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence.
control_compute_communication:mcu_firmware,control_compute_communication,Control Compute Communication,mcu_firmware,MCU firmware,review,yes,4,4,2,1,0,4,0,0,6,0,0,7,0,0,1,0.6667,,6 engineering review question(s) await acceptance. 6 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
control_compute_communication:ble_telemetry,control_compute_communication,Control Compute Communication,ble_telemetry,BLE telemetry,review,yes,4,3,0,1,0,2,0,1,4,0,0,4,0,0,1,0.6667,,Review 1 local-only interface declaration(s): ble_link. 4 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
control_compute_communication:data_buffering,control_compute_communication,Control Compute Communication,data_buffering,Data buffering,review,yes,4,3,0,0,0,3,0,0,5,0,0,4,0,0,0,0.6667,,5 engineering review question(s) await acceptance. 4 verification activity row(s) await accepted evidence.
environmental_interface:temperature_compensation,environmental_interface,Wear Environment Compensation,temperature_compensation,Temperature compensation,review,yes,4,2,2,1,0,1,0,1,3,0,0,4,0,0,1,0.6667,,Review 1 local-only interface declaration(s): sensor_signal_bus. 3 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
environmental_interface:sweat_water_boundary,environmental_interface,Wear Environment Compensation,sweat_water_boundary,Sweat and water boundary,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): ingress_boundary, adhesive_skin_boundary. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
environmental_interface:motion_pressure,environmental_interface,Wear Environment Compensation,motion_pressure,Motion and pressure artefact control,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): adhesive_skin_boundary, sensor_signal_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
safety_protection:patient_alarm_logic,safety_protection,Patient Safety Protection,patient_alarm_logic,Patient alarm logic,review,yes,4,2,1,0,0,1,0,1,3,0,0,3,0,0,0,0.6667,,Review 1 local-only interface declaration(s): sensor_signal_bus. 3 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence.
