id,category,status,scope,assumption,basis,evidenceRequired,linkedRequirements,linkedInterfaces,linkedComponents,blocksArchitecture,blocksBom
brief:working_volume_l,brief_requirement,brief_supported,Working volume,"Working volume = 50 L is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",working_volume_l,,,false,false
metric:headline_output,derived_metric,review_required,Annual culture volume,Annual culture volume uses working_volume_l * batches_per_year with medium confidence.,class_pack:bioreactor.class_pack; formula:working_volume_l * batches_per_year,"Review the formula, input values and operating envelope before treating this metric as a performance claim.",,,,false,false
metric:capex_gbp,derived_metric,source_required,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,formula:capex=sum(bom.totalCostGbp); class_pack:bioreactor.class_pack,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,true
metric:opex_annual_gbp,derived_metric,source_required,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,formula:opex=capex*0.04,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,true
sanity:bioreactor_working_volume,sanity_envelope,review_required,Single-Use Working Volume,Single-Use Working Volume currently evaluates as pass against 1 to 2000 L for common single-use mammalian-cell systems; larger volumes need platform-specific bag and mixing evidence.,brief:input.brief; model:engineering_sanity.bioreactor; model:engineering_sanity.bioreactor,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",working_volume_l,,,false,false
sanity:bioreactor_process_closure,sanity_envelope,review_required,Sterile Process Closure,"Sterile Process Closure currently evaluates as pass against sterile fluid path, gas path, sensor bus and pump control present.",model:engineering_sanity.bioreactor; model:engineering_sanity.bioreactor,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",working_volume_l,,,false,false
sanity:bioreactor_aseptic_pressure_safety,sanity_envelope,review_required,Aseptic And Pressure Safety,"Aseptic And Pressure Safety currently evaluates as pass against sterile boundary, pressure relief, exhaust path, alarm bus and service access present.",model:engineering_sanity.bioreactor; model:engineering_sanity.bioreactor,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",working_volume_l,,,false,false
interface:structure_containment:mass_fluid_transport_process:sterile_fluid_path,interface_closure,model_present,structure_containment -> mass_fluid_transport_process,sterile_fluid_path is named on both endpoint modules in the generated architecture.,"The sterile bag must connect to feed, harvest and sampling fluid paths.","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,sterile_fluid_path,,false,false
interface:actuation_kinematics:structure_containment:sterile_boundary,interface_closure,model_present,actuation_kinematics -> structure_containment,sterile_boundary is named on both endpoint modules in the generated architecture.,Mixing drive must couple into the disposable culture boundary without breaking sterility.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,sterile_boundary,,false,false
interface:mass_fluid_transport_process:environmental_interface:gas_path,interface_closure,model_present,mass_fluid_transport_process -> environmental_interface,gas_path is named on both endpoint modules in the generated architecture.,Sparging and exhaust conditioning must share a declared gas path.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,gas_path,,false,false
interface:sensing_instrumentation:control_compute_communication:sensor_bus,interface_closure,model_present,sensing_instrumentation -> control_compute_communication,sensor_bus is named on both endpoint modules in the generated architecture.,"DO, pH, mass and temperature measurements must feed process control.","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,sensor_bus,,false,false
interface:control_compute_communication:mass_fluid_transport_process:pump_control,interface_closure,model_present,control_compute_communication -> mass_fluid_transport_process,pump_control is named on both endpoint modules in the generated architecture.,"Controller must command feed, harvest and gas-flow actuators.","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,pump_control,,false,false
interface:safety_protection:structure_containment:pressure_relief,interface_closure,model_present,safety_protection -> structure_containment,pressure_relief is named on both endpoint modules in the generated architecture.,Disposable culture containment must connect to pressure relief and sterile exhaust protection.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,pressure_relief,,false,false
component:structure_containment_single_use_bag_chamber_single_use_bioreactor_bag,critical_component,source_required,Single-use bioreactor bag,Single-use bioreactor bag is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.bioreactor,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,single_use_bioreactor_bag,false,true
component:structure_containment_sterile_connector_panel_sterile_tubing_and_connector_set,critical_component,source_required,Sterile tubing and connector set,Sterile tubing and connector set is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.bioreactor,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,sterile_tubing_and_connector_set,false,true
component:actuation_kinematics_agitation_drive_train_agitation_drive,critical_component,source_required,Agitation drive,Agitation drive is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.bioreactor,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,agitation_drive,false,true
component:mass_fluid_transport_process_feed_pump_manifold_peristaltic_feed_pump,critical_component,source_required,Peristaltic feed pump,Peristaltic feed pump is a critical architecture-derived component candidate with quantity 3 each.,model:scratch_universal_architecture.bioreactor,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,peristaltic_feed_pump,false,true
component:mass_fluid_transport_process_sparger_gas_mixing_sparger_and_gas_mix_manifold,critical_component,source_required,Sparger and gas-mix manifold,Sparger and gas-mix manifold is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.bioreactor,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,sparger_and_gas_mix_manifold,false,true
