activityId,activity,evidenceKind,reviewerName,verdict,evidenceRef,evidenceNote,reviewedAt
design_review:structure_containment,Review Airframe Structure And Payload Mounting architecture allocation,design_review,,,,,
design_review:energy_storage_source,Review Flight Energy Storage architecture allocation,design_review,,,,,
calculation:energy_storage_source,Verify Flight Energy Storage requirement calculations,calculation,,,,,
design_review:actuation_kinematics,Review Propulsion And Flight Actuation architecture allocation,design_review,,,,,
calculation:actuation_kinematics,Verify Propulsion And Flight Actuation requirement calculations,calculation,,,,,
design_review:control_compute_communication,Review Flight Control Compute And Communications architecture allocation,design_review,,,,,
calculation:control_compute_communication,Verify Flight Control Compute And Communications requirement calculations,calculation,,,,,
design_review:sensing_instrumentation,Review Navigation And Cinematography Sensing architecture allocation,design_review,,,,,
design_review:power_distribution,Review Aircraft Power Distribution architecture allocation,design_review,,,,,
design_review:safety_protection,Review Flight Safety And Containment architecture allocation,design_review,,,,,
design_review:maintenance_serviceability,Review Field Maintenance And Serviceability architecture allocation,design_review,,,,,
design_review:hmi_ergonomics,Review Ground Operator Interface architecture allocation,design_review,,,,,
interface_review:energy_storage_source:actuation_kinematics:power_bus,Verify power_bus interface contract,interface_review,,,,,
interface_review:control_compute_communication:actuation_kinematics:motor_drive,Verify motor_drive interface contract,interface_review,,,,,
interface_review:control_compute_communication:sensing_instrumentation:sensor_bus,Verify sensor_bus interface contract,interface_review,,,,,
compliance_review:UK-UAS,Plan evidence for UK-UAS,compliance_review,,,,,
compliance_review:CE-EMC,Plan evidence for CE-EMC,compliance_review,,,,,
risk_review:1,Review risk control for Loss of propulsion,compliance_review,,,,,
risk_review:2,Review risk control for Battery thermal event,compliance_review,,,,,
