activityId,activity,evidenceKind,reviewerName,verdict,evidenceRef,evidenceNote,reviewedAt
design_review:energy_conversion_transduction,Review Refrigerant Energy Conversion architecture allocation,design_review,,,,,
calculation:energy_conversion_transduction,Verify Refrigerant Energy Conversion requirement calculations,calculation,,,,,
design_review:environmental_interface,Review Outdoor Air Interface architecture allocation,design_review,,,,,
calculation:environmental_interface,Verify Outdoor Air Interface requirement calculations,calculation,,,,,
design_review:mass_fluid_transport_process,Review Hydronic Heat Delivery architecture allocation,design_review,,,,,
calculation:mass_fluid_transport_process,Verify Hydronic Heat Delivery requirement calculations,calculation,,,,,
design_review:control_compute_communication,Review Control Compute Communication architecture allocation,design_review,,,,,
calculation:control_compute_communication,Verify Control Compute Communication requirement calculations,calculation,,,,,
design_review:sensing_instrumentation,Review Sensing Instrumentation architecture allocation,design_review,,,,,
calculation:sensing_instrumentation,Verify Sensing Instrumentation requirement calculations,calculation,,,,,
design_review:power_distribution,Review Electrical Power Distribution architecture allocation,design_review,,,,,
design_review:structure_containment,Review Monobloc Structure And Containment architecture allocation,design_review,,,,,
design_review:safety_protection,Review Safety Protection architecture allocation,design_review,,,,,
design_review:maintenance_serviceability,Review Maintenance And Commissioning architecture allocation,design_review,,,,,
design_review:hmi_ergonomics,Review User And Installer Interface architecture allocation,design_review,,,,,
interface_review:environmental_interface:energy_conversion_transduction:refrigerant_loop,Verify refrigerant_loop interface contract,interface_review,,,,,
interface_review:energy_conversion_transduction:mass_fluid_transport_process:hydronic_loop,Verify hydronic_loop interface contract,interface_review,,,,,
interface_review:control_compute_communication:energy_conversion_transduction:control_bus,Verify control_bus interface contract,interface_review,,,,,
interface_review:sensing_instrumentation:control_compute_communication:sensor_bus,Verify sensor_bus interface contract,interface_review,,,,,
compliance_review:EN-14511,Plan evidence for EN-14511,compliance_review,,,,,
compliance_review:EN-378,Plan evidence for EN-378,compliance_review,,,,,
compliance_review:EN-60335-2-40,Plan evidence for EN-60335-2-40,compliance_review,,,,,
risk_review:1,Review risk control for Refrigerant leak or flammability hazard,compliance_review,,,,,
risk_review:2,Review risk control for Frozen outdoor coil reduces capacity,compliance_review,,,,,
risk_review:3,Review risk control for Hydronic overpressure or low flow,compliance_review,,,,,
