id,kind,status,basis,scope,claim,provenanceRefs,sourceRefs,reviewerEvidenceRefs,linkedRequirementIds,linkedModuleIds,linkedComponentWordIds,blocksBom,blocksPublish,nextAction
bom_source_field:actuation_kinematics_thruster_array_thruster_set:manufacturer,bom_source_field,source_required,assumption,Thruster set / manufacturer,manufacturer is required but not source-backed.,,,,endurance_hours,actuation_kinematics,thruster_set,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_thruster_array_thruster_set:mpn,bom_source_field,source_required,assumption,Thruster set / mpn,mpn is required but not source-backed.,,,,endurance_hours,actuation_kinematics,thruster_set,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_thruster_array_thruster_set:supplier,bom_source_field,source_required,assumption,Thruster set / supplier,supplier is required but not source-backed.,,,,endurance_hours,actuation_kinematics,thruster_set,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:actuation_kinematics_thruster_array_thruster_set:unit_cost_gbp,bom_source_field,source_required,assumption,Thruster set / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,endurance_hours,actuation_kinematics,thruster_set,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_acoustic_communications_acoustic_modem:manufacturer,bom_source_field,source_required,assumption,Acoustic modem / manufacturer,manufacturer is required but not source-backed.,,,,,control_compute_communication,acoustic_modem,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_acoustic_communications_acoustic_modem:mpn,bom_source_field,source_required,assumption,Acoustic modem / mpn,mpn is required but not source-backed.,,,,,control_compute_communication,acoustic_modem,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_acoustic_communications_acoustic_modem:supplier,bom_source_field,source_required,assumption,Acoustic modem / supplier,supplier is required but not source-backed.,,,,,control_compute_communication,acoustic_modem,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_acoustic_communications_acoustic_modem:unit_cost_gbp,bom_source_field,source_required,assumption,Acoustic modem / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,control_compute_communication,acoustic_modem,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_mission_computer_stack_mission_computer:manufacturer,bom_source_field,source_required,assumption,Mission computer / manufacturer,manufacturer is required but not source-backed.,,,,endurance_hours,control_compute_communication,mission_computer,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_mission_computer_stack_mission_computer:mpn,bom_source_field,source_required,assumption,Mission computer / mpn,mpn is required but not source-backed.,,,,endurance_hours,control_compute_communication,mission_computer,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_mission_computer_stack_mission_computer:supplier,bom_source_field,source_required,assumption,Mission computer / supplier,supplier is required but not source-backed.,,,,endurance_hours,control_compute_communication,mission_computer,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:control_compute_communication_mission_computer_stack_mission_computer:unit_cost_gbp,bom_source_field,source_required,assumption,Mission computer / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,endurance_hours,control_compute_communication,mission_computer,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_storage_source_subsea_battery_pack_battery_pack:manufacturer,bom_source_field,source_required,assumption,Battery pack / manufacturer,manufacturer is required but not source-backed.,,,,endurance_hours,energy_storage_source,battery_pack,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_storage_source_subsea_battery_pack_battery_pack:mpn,bom_source_field,source_required,assumption,Battery pack / mpn,mpn is required but not source-backed.,,,,endurance_hours,energy_storage_source,battery_pack,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_storage_source_subsea_battery_pack_battery_pack:supplier,bom_source_field,source_required,assumption,Battery pack / supplier,supplier is required but not source-backed.,,,,endurance_hours,energy_storage_source,battery_pack,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:energy_storage_source_subsea_battery_pack_battery_pack:unit_cost_gbp,bom_source_field,source_required,assumption,Battery pack / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,endurance_hours,energy_storage_source,battery_pack,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:power_distribution_dc_distribution_wet_mate_connector_set:manufacturer,bom_source_field,source_required,assumption,Wet-mate connector set / manufacturer,manufacturer is required but not source-backed.,,,,,power_distribution,wet_mate_connector_set,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:power_distribution_dc_distribution_wet_mate_connector_set:mpn,bom_source_field,source_required,assumption,Wet-mate connector set / mpn,mpn is required but not source-backed.,,,,,power_distribution,wet_mate_connector_set,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:power_distribution_dc_distribution_wet_mate_connector_set:supplier,bom_source_field,source_required,assumption,Wet-mate connector set / supplier,supplier is required but not source-backed.,,,,,power_distribution,wet_mate_connector_set,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:power_distribution_dc_distribution_wet_mate_connector_set:unit_cost_gbp,bom_source_field,source_required,assumption,Wet-mate connector set / unit_cost_gbp,unit_cost_gbp is required but not source-backed.,,,,,power_distribution,wet_mate_connector_set,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
bom_source_field:safety_protection_abort_recovery_recovery_beacon:manufacturer,bom_source_field,source_required,assumption,Recovery beacon / manufacturer,manufacturer is required but not source-backed.,,,,,safety_protection,recovery_beacon,true,true,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
