rowType,id,moduleId,moduleName,subModuleId,subModuleName,componentWordId,label,status,interfaces,componentWordIds,criticalComponentWordIds,duplicateComponentWordIds,blockers,requiredAction
submodule,structure_containment:carbon_airframe,structure_containment,Airframe Structure And Payload Mounting,carbon_airframe,Carbon airframe,,,ready,motor_mounts; payload_mount; battery_mount,carbon_airframe; carbon_fibre_arm_tube; centre_plate_pair; arm_folding_hinge; landing_gear_strut,carbon_airframe,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:payload_mounting,structure_containment,Airframe Structure And Payload Mounting,payload_mounting,Payload mounting,,,ready,payload_mount; video_link,camera_gimbal_mount_plate; rubber_vibration_damper; payload_quick_release_latch; payload_cg_adjustment_rail,,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:battery_mounting,structure_containment,Airframe Structure And Payload Mounting,battery_mounting,Battery mounting,,,ready,battery_mount; power_bus,battery_tray; battery_retention_strap; anti_slip_battery_pad; pack_latch_sensor,,,,Submodule has component candidates and no allocation blocker.
submodule,energy_storage_source:flight_battery_pack,energy_storage_source,Flight Energy Storage,flight_battery_pack,Flight battery pack,,,ready,power_bus; charger_interface; battery_mount,flight_battery_pack; high_discharge_cell_group; battery_management_pcb; xt90_anti_spark_connector; pack_temperature_sensor,flight_battery_pack,,,Submodule has component candidates and no allocation blocker.
submodule,energy_storage_source:power_monitoring,energy_storage_source,Flight Energy Storage,power_monitoring,Power monitoring,,,ready,power_bus; sensor_bus,power_module_shunt; voltage_divider_board; low_voltage_alarm_output; battery_telemetry_connector,,,,Submodule has component candidates and no allocation blocker.
submodule,energy_storage_source:charging_interface,energy_storage_source,Flight Energy Storage,charging_interface,Charging interface,,,ready,charger_interface; service_access,balance_charge_harness; charging_cradle; pack_id_label; transport_storage_case_insert,,,,Submodule has component candidates and no allocation blocker.
submodule,actuation_kinematics:motor_sets,actuation_kinematics,Propulsion And Flight Actuation,motor_sets,Motor sets,,,ready,power_bus; motor_drive; motor_mounts,brushless_motors; motor_mounting_screw_set; motor_phase_lead_set; motor_bearing_shield,brushless_motors,,,Submodule has component candidates and no allocation blocker.
submodule,actuation_kinematics:esc_stack,actuation_kinematics,Propulsion And Flight Actuation,esc_stack,ESC stack,,,ready,power_bus; motor_drive; sensor_bus,esc; esc_cooling_plate; pwm_signal_harness; current_telemetry_line; esc_conformal_coating,esc,,,Submodule has component candidates and no allocation blocker.
submodule,actuation_kinematics:propeller_sets,actuation_kinematics,Propulsion And Flight Actuation,propeller_sets,Propeller sets,,,ready,motor_mounts,propeller_set; propeller_hub_adapter; propeller_lock_nut; spare_propeller_pouch,propeller_set,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:flight_controller_stack,control_compute_communication,Flight Control Compute And Communications,flight_controller_stack,Flight controller stack,,,ready,sensor_bus; motor_drive; power_bus,flight_controller; imu_vibration_isolation_mount; barometer_foam_cover; sd_card_flight_logger; failsafe_firmware_profile,flight_controller,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:radio_navigation_link,control_compute_communication,Flight Control Compute And Communications,radio_navigation_link,Radio and navigation link,,,ready,radio_link; sensor_bus,radio_and_gnss_link; gnss_antenna_mast; rc_receiver; telemetry_radio_module; antenna_diversity_mount,radio_and_gnss_link,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:video_downlink,control_compute_communication,Flight Control Compute And Communications,video_downlink,Video downlink,,,ready,video_link; power_bus,low_latency_video_transmitter; video_antenna_pair; hdmi_micro_cable; video_power_filter,,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:camera_payload,sensing_instrumentation,Navigation And Cinematography Sensing,camera_payload,Camera payload,,,ready,video_link; payload_mount,4k_camera_payload; three_axis_gimbal; camera_control_cable; lens_protection_hood; microsd_media_card,4k_camera_payload,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:navigation_sensors,sensing_instrumentation,Navigation And Cinematography Sensing,navigation_sensors,Navigation sensors,,,ready,sensor_bus,magnetometer_module; rangefinder_altimeter; optical_flow_sensor; airspeed_estimate_port,,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:health_sensing,sensing_instrumentation,Navigation And Cinematography Sensing,health_sensing,Health sensing,,,ready,sensor_bus; payload_mount,vibration_monitor_pad; payload_presence_switch; avionics_temperature_probe; landing_contact_switch,,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:main_power_bus,power_distribution,Aircraft Power Distribution,main_power_bus,Main power bus,,,ready,power_bus; motor_drive,power_distribution_pcb; copper_bus_plane; main_fuse_link; anti_spark_loop_key,,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:voltage_regulation,power_distribution,Aircraft Power Distribution,voltage_regulation,Voltage regulation,,,ready,power_bus; video_link,5_v_bec_regulator; 12_v_payload_regulator; lc_noise_filter; rail_status_led,,,,Submodule has component candidates and no allocation blocker.
submodule,power_distribution:wiring_harness,power_distribution,Aircraft Power Distribution,wiring_harness,Wiring harness,,,ready,power_bus; sensor_bus; video_link,silicone_power_lead_set; jst_signal_harness; braided_cable_sleeve; strain_relief_clip_set,,,,Submodule has component candidates and no allocation blocker.
submodule,safety_protection:arming_interlocks,safety_protection,Flight Safety And Containment,arming_interlocks,Arming interlocks,,,ready,power_bus; alarm_bus,arming_switch; status_buzzer; motor_inhibit_logic; preflight_checklist_tag,,,,Submodule has component candidates and no allocation blocker.
submodule,safety_protection:lost_link_response,safety_protection,Flight Safety And Containment,lost_link_response,Lost-link response,,,ready,radio_link; sensor_bus,return_to_home_failsafe; geofence_configuration; low_battery_landing_logic; flight_termination_setting,,,,Submodule has component candidates and no allocation blocker.
submodule,safety_protection:battery_safety,safety_protection,Flight Safety And Containment,battery_safety,Battery safety,,,ready,power_bus; service_access,fire_resistant_battery_pouch; pack_swelling_gauge; charge_log_sheet; thermal_warning_label,,,,Submodule has component candidates and no allocation blocker.
submodule,maintenance_serviceability:field_repair_access,maintenance_serviceability,Field Maintenance And Serviceability,field_repair_access,Field repair access,,,ready,service_access; motor_mounts,spare_arm_clamp; motor_alignment_gauge; propeller_torque_tool; field_fastener_kit,,,,Submodule has component candidates and no allocation blocker.
submodule,maintenance_serviceability:inspection_points,maintenance_serviceability,Field Maintenance And Serviceability,inspection_points,Inspection points,,,ready,service_access,crack_inspection_marker; fastener_witness_paint; battery_cycle_counter_label; payload_latch_witness_mark,,,,Submodule has component candidates and no allocation blocker.
submodule,maintenance_serviceability:transport_storage,maintenance_serviceability,Field Maintenance And Serviceability,transport_storage,Transport and storage,,,ready,service_access; payload_mount,foam_transport_case; propeller_guard_sleeve; gimbal_transport_lock; desiccant_storage_pouch,,,,Submodule has component candidates and no allocation blocker.
submodule,hmi_ergonomics:ground_controller,hmi_ergonomics,Ground Operator Interface,ground_controller,Ground controller,,,ready,radio_link; video_link,handheld_transmitter; ground_station_tablet; sun_hood; controller_neck_strap,,,,Submodule has component candidates and no allocation blocker.
submodule,hmi_ergonomics:mission_labelling,hmi_ergonomics,Ground Operator Interface,mission_labelling,Mission labelling,,,ready,service_access,aircraft_id_label; propeller_rotation_label; payload_mass_placard; preflight_checklist_card,,,,Submodule has component candidates and no allocation blocker.
critical_part,flight_controller,control_compute_communication,,flight_controller_stack,,flight_controller,Flight controller,allocated,,,flight_controller,,,Critical part is allocated to at least one architecture submodule.
critical_part,brushless_motors,actuation_kinematics,,motor_sets,,brushless_motors,Brushless motors,allocated,,,brushless_motors,,,Critical part is allocated to at least one architecture submodule.
critical_part,esc,actuation_kinematics,,esc_stack,,esc,ESC,allocated,,,esc,,,Critical part is allocated to at least one architecture submodule.
critical_part,4k_camera_payload,sensing_instrumentation,,camera_payload,,4k_camera_payload,4K camera payload,allocated,,,4k_camera_payload,,,Critical part is allocated to at least one architecture submodule.
critical_part,carbon_airframe,structure_containment,,carbon_airframe,,carbon_airframe,Carbon airframe,allocated,,,carbon_airframe,,,Critical part is allocated to at least one architecture submodule.
critical_part,flight_battery_pack,energy_storage_source,,flight_battery_pack,,flight_battery_pack,Flight battery pack,allocated,,,flight_battery_pack,,,Critical part is allocated to at least one architecture submodule.
critical_part,propeller_set,actuation_kinematics,,propeller_sets,,propeller_set,Propeller set,allocated,,,propeller_set,,,Critical part is allocated to at least one architecture submodule.
critical_part,radio_and_gnss_link,control_compute_communication,,radio_navigation_link,,radio_and_gnss_link,Radio and GNSS link,allocated,,,radio_and_gnss_link,,,Critical part is allocated to at least one architecture submodule.
