id,moduleId,moduleName,subModuleId,subModuleName,verdict,purposePresent,componentWordCount,interfaceCount,linkedRequirementCount,criticalComponentCount,duplicateComponentCount,carrierContractCount,missingCarrierContractCount,localOnlyInterfaceCount,reviewQuestions,acceptedReviewQuestions,blockedReviewQuestions,verificationActivities,acceptedVerificationActivities,blockedVerificationActivities,criticalUnpricedLines,passRatio,blockers,requiredAction
structure_containment:wing_primary_structure,structure_containment,Ultra-Light Wing Structure,wing_primary_structure,Wing primary structure,review,yes,4,3,1,1,0,0,0,3,2,0,0,3,0,0,1,0.6667,,"Review 3 local-only interface declaration(s): aero_load_path, solar_mount, propulsion_mounts. 2 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
structure_containment:tail_control_structure,structure_containment,Ultra-Light Wing Structure,tail_control_structure,Tail and control structure,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): aero_load_path, flight_control_bus, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
structure_containment:payload_bay_structure,structure_containment,Ultra-Light Wing Structure,payload_bay_structure,Payload bay structure,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): payload_mount, service_access, aero_load_path. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
energy_harvesting:solar_skin_array,energy_harvesting,Solar Energy Harvesting,solar_skin_array,Solar skin array,review,yes,4,3,2,1,0,1,0,2,3,0,0,4,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): solar_mount, thermal_path. 3 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
energy_harvesting:mppt_conversion,energy_harvesting,Solar Energy Harvesting,mppt_conversion,MPPT conversion,review,yes,4,3,0,1,0,1,0,2,3,0,0,3,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): sensor_bus, service_access. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
energy_harvesting:solar_health_monitoring,energy_harvesting,Solar Energy Harvesting,solar_health_monitoring,Solar health monitoring,review,yes,4,3,0,0,0,1,0,2,3,0,0,2,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): sensor_bus, service_access. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
energy_storage_source:stratospheric_battery_pack,energy_storage_source,Night-Cycle Energy Storage,stratospheric_battery_pack,Stratospheric battery pack,review,yes,4,3,1,1,0,2,0,1,4,0,0,5,0,0,1,0.6667,,Review 1 local-only interface declaration(s): battery_monitor_bus. 4 engineering review question(s) await acceptance. 4 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
energy_storage_source:battery_thermal_zone,energy_storage_source,Night-Cycle Energy Storage,battery_thermal_zone,Battery thermal zone,review,yes,4,3,0,0,0,1,0,2,3,0,0,2,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): battery_monitor_bus, sensor_bus. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
energy_storage_source:energy_reserve_monitoring,energy_storage_source,Night-Cycle Energy Storage,energy_reserve_monitoring,Energy reserve monitoring,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): battery_monitor_bus, sensor_bus, telemetry_link. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
power_distribution:solar_battery_power_management,power_distribution,Flight Power Distribution,solar_battery_power_management,Solar and battery power management,review,yes,4,4,1,0,0,3,0,1,5,0,0,5,0,0,0,0.6667,,Review 1 local-only interface declaration(s): payload_power_bus. 5 engineering review question(s) await acceptance. 5 verification activity row(s) await accepted evidence.
power_distribution:low_voltage_distribution,power_distribution,Flight Power Distribution,low_voltage_distribution,Low-voltage distribution,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): low_voltage_rail, payload_power_bus, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
power_distribution:load_shed_protection,power_distribution,Flight Power Distribution,load_shed_protection,Load-shed protection,review,yes,4,3,0,0,0,0,0,3,2,0,0,1,0,0,0,0.6667,,"Review 3 local-only interface declaration(s): hardwired_trip, payload_power_bus, battery_monitor_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
actuation_kinematics:electric_propulsion_pods,actuation_kinematics,Propulsion And Control Surfaces,electric_propulsion_pods,Electric propulsion pods,review,yes,4,3,2,1,0,2,0,1,4,0,0,5,0,0,1,0.6667,,Review 1 local-only interface declaration(s): propulsion_mounts. 4 engineering review question(s) await acceptance. 4 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
actuation_kinematics:control_surface_actuation,actuation_kinematics,Propulsion And Control Surfaces,control_surface_actuation,Control surface actuation,review,yes,4,3,0,0,0,1,0,2,3,0,0,2,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): aero_load_path, low_voltage_rail. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
actuation_kinematics:station_keeping_trim,actuation_kinematics,Propulsion And Control Surfaces,station_keeping_trim,Station-keeping trim,review,yes,4,3,0,0,0,1,0,2,3,0,0,2,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): sensor_bus, aero_load_path. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence."
control_compute_communication:flight_control_computer,control_compute_communication,Autonomy Control Communication,flight_control_computer,Flight control computer,review,yes,4,4,2,1,0,2,0,2,4,0,0,5,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): battery_monitor_bus, hardwired_trip. 4 engineering review question(s) await acceptance. 4 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
