rowType,id,moduleId,moduleName,subModuleId,subModuleName,componentWordId,label,status,interfaces,componentWordIds,criticalComponentWordIds,duplicateComponentWordIds,blockers,requiredAction
submodule,energy_storage_source:cell_string,energy_storage_source,Energy Storage Source,cell_string,Cell string,,,ready,dc_bus; thermal_loop; bms_tap_harness,lfp_prismatic_cells; cell_to_cell_busbar; cell_terminal_hardware_set; cell_insulation_pad; module_fuse,lfp_prismatic_cells,,,Submodule has component candidates and no allocation blocker.
submodule,energy_storage_source:rack_structure,energy_storage_source,Energy Storage Source,rack_structure,Rack structure,,,ready,mechanical_mounts; service_access,module_steel_frame; compression_plate; compression_tie_rod_set; module_top_cover; rack_label_plate,,,,Submodule has component candidates and no allocation blocker.
submodule,energy_storage_source:bms_slave,energy_storage_source,Energy Storage Source,bms_slave,BMS slave board,,,ready,bms_network; sensor_harness,bms_slave_pcb; afe_monitor_ic; ntc_thermistor_harness; isolated_can_transceiver; conformal_coating,,,,Submodule has component candidates and no allocation blocker.
submodule,energy_storage_source:dc_string_output,energy_storage_source,Energy Storage Source,dc_string_output,DC string output,,,ready,dc_bus; hardwired_trip,dc_contactor_or_breaker; precharge_resistor; hv_fuse_holder; pack_current_sensor; service_disconnect,dc_contactor_or_breaker,,,Submodule has component candidates and no allocation blocker.
submodule,energy_storage_source:module_interconnect_harness,energy_storage_source,Energy Storage Source,module_interconnect_harness,Module interconnect harness,,,ready,bms_tap_harness; sensor_harness; service_access,cell_voltage_sense_loom; rack_can_drop_cable; harness_strain_relief_rail; low_smoke_cable_sleeve,,,,Submodule has component candidates and no allocation blocker.
submodule,energy_storage_source:rack_thermal_interface,energy_storage_source,Energy Storage Source,rack_thermal_interface,Rack thermal interface,,,ready,thermal_loop; mechanical_mounts; service_access,rack_cold_plate_manifold; thermally_conductive_gap_pad; coolant_quick_connector_pair; rack_drip_tray; leak_detection_rope,,,,Submodule has component candidates and no allocation blocker.
submodule,energy_conversion_transduction:pcs_inverter,energy_conversion_transduction,Power Conversion System,pcs_inverter,PCS inverter bridge,,,ready,dc_bus; ac_bus; modbus_tcp,pcs_inverter; igbt_power_module; dc_link_capacitor_bank; gate_driver_board; inverter_control_board; liquid_cooled_heatsink,pcs_inverter,,,Submodule has component candidates and no allocation blocker.
submodule,energy_conversion_transduction:transformer_stage,energy_conversion_transduction,Power Conversion System,transformer_stage,Transformer stage,,,ready,ac_bus; thermal_path,cast_resin_transformer; hv_winding; lv_winding; temperature_probe; anti_vibration_mount,,,,Submodule has component candidates and no allocation blocker.
submodule,energy_conversion_transduction:grid_filter,energy_conversion_transduction,Power Conversion System,grid_filter,Grid filter,,,ready,ac_bus; protective_earth,grid_filter_choke; ac_filter_capacitor; emi_filter_assembly; protective_earth_bar,,,,Submodule has component candidates and no allocation blocker.
submodule,energy_conversion_transduction:grid_protection_relay,energy_conversion_transduction,Power Conversion System,grid_protection_relay,Grid protection relay,,,ready,ac_bus; modbus_tcp; hardwired_trip; protective_earth,grid_protection_relay; voltage_sensing_fuse_set; relay_test_block; trip_circuit_monitor; g99_settings_label,,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:container_shell,structure_containment,Container Structure And Fit-Out,container_shell,ISO container shell,,,ready,lifting_points; service_access,corten_steel_side_panel; corner_casting; marine_plywood_floor; roof_panel,,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:internal_partitions,structure_containment,Container Structure And Fit-Out,internal_partitions,Internal partitions,,,ready,fire_boundary; service_access,steel_stud_frame; fire_rated_board; mineral_wool_insulation; intumescent_sealant,,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:rack_mounting,structure_containment,Container Structure And Fit-Out,rack_mounting,Rack mounting rails,,,ready,mechanical_mounts,floor_reinforcement_plate; rack_mounting_rail; vibration_isolator; anchor_bolt_set,,,,Submodule has component candidates and no allocation blocker.
submodule,structure_containment:cable_penetration_sealing,structure_containment,Container Structure And Fit-Out,cable_penetration_sealing,Cable penetration sealing,,,ready,fire_boundary; service_access; protective_earth,gland_plate_assembly; firestop_collar_set; emc_cable_gland; rain_drip_shield; penetration_schedule_label,,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:electrical_measurement,sensing_instrumentation,Sensing And Instrumentation,electrical_measurement,Electrical measurement,,,ready,sensor_bus; dc_bus,dc_voltage_transducer; hall_current_sensor; insulation_monitoring_device; auxiliary_metering_transducer,,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:environmental_sensors,sensing_instrumentation,Sensing And Instrumentation,environmental_sensors,Environmental sensors,,,ready,sensor_bus; alarm_bus,temperature_humidity_sensor; hydrogen_detector; smoke_aspirating_detector; door_position_switch,,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:thermal_sensors,sensing_instrumentation,Sensing And Instrumentation,thermal_sensors,Thermal sensors,,,ready,sensor_bus; thermal_loop,coolant_inlet_thermistor; coolant_outlet_thermistor; flow_meter; pressure_transducer,,,,Submodule has component candidates and no allocation blocker.
submodule,sensing_instrumentation:event_recording,sensing_instrumentation,Sensing And Instrumentation,event_recording,Event recording,,,ready,sensor_bus; alarm_bus; site_scada,fault_recorder_module; event_timestamp_logger; digital_input_card; local_historian_buffer; calibration_certificate_holder,,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:bms_master,control_compute_communication,Control Compute And Communication,bms_master,BMS master controller,,,ready,bms_network; hardwired_trip,bms_master_controller; isolation_interface; contactor_driver_output; soc_estimation_firmware,bms_master_controller,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:ems_controller,control_compute_communication,Control Compute And Communication,ems_controller,EMS controller,,,ready,modbus_tcp; site_scada,industrial_controller; i_o_expansion_module; network_switch; cellular_router,,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:communications_gateway,control_compute_communication,Control Compute And Communication,communications_gateway,Communications gateway,,,ready,site_scada; modbus_tcp,modbus_tcp_gateway; scada_protocol_adapter; time_synchronisation_module; cybersecurity_firewall,,,,Submodule has component candidates and no allocation blocker.
submodule,control_compute_communication:cybersecurity_monitoring,control_compute_communication,Control Compute And Communication,cybersecurity_monitoring,Cybersecurity monitoring,,,ready,site_scada; modbus_tcp; service_access,vpn_access_appliance; syslog_collector; account_key_switch; firmware_escrow_tag; configuration_backup_module,,,,Submodule has component candidates and no allocation blocker.
submodule,safety_protection:fire_suppression,safety_protection,Safety Protection And Interlocks,fire_suppression,Fire suppression system,,,ready,alarm_bus; fire_boundary,fire_detection_suppression; clean_agent_cylinder; release_solenoid; nozzle_pipework; pressure_switch,fire_detection_suppression,,,Submodule has component candidates and no allocation blocker.
submodule,safety_protection:emergency_stop,safety_protection,Safety Protection And Interlocks,emergency_stop,Emergency stop chain,,,ready,hardwired_trip; dc_bus; ac_bus,e_stop_mushroom_button; safety_relay; dc_shunt_trip_output; ac_breaker_trip_coil,,,,Submodule has component candidates and no allocation blocker.
submodule,safety_protection:surge_fault_protection,safety_protection,Safety Protection And Interlocks,surge_fault_protection,Surge and fault protection,,,ready,dc_bus; ac_bus; protective_earth,dc_surge_protection_device; ac_surge_protection_device; arc_flash_label_set; protective_earth_bonding_kit,,,,Submodule has component candidates and no allocation blocker.
submodule,safety_protection:deflagration_venting,safety_protection,Safety Protection And Interlocks,deflagration_venting,Deflagration venting,,,ready,fire_boundary; alarm_bus; service_access,pressure_relief_vent_panel; vent_microswitch; flame_arrestor_mesh; vent_weather_hood; post_event_inspection_tag,,,,Submodule has component candidates and no allocation blocker.
submodule,environmental_interface:hvac_unit,environmental_interface,Environmental Interface,hvac_unit,HVAC unit,,,ready,electrical_power; thermal_loop; thermal_path; sensor_bus,container_hvac_unit; air_filter_element; condensate_drain_kit; hvac_controller,,,,Submodule has component candidates and no allocation blocker.
submodule,environmental_interface:ventilation_path,environmental_interface,Environmental Interface,ventilation_path,Ventilation path,,,ready,thermal_loop; thermal_path; service_access,intake_louvre; exhaust_louvre; ec_fan_assembly; airflow_baffle,,,,Submodule has component candidates and no allocation blocker.
submodule,environmental_interface:thermal_insulation,environmental_interface,Environmental Interface,thermal_insulation,Thermal insulation,,,ready,fire_boundary; thermal_path,insulation_panel; vapour_barrier_film; thermal_break_strip; seal_gasket_set,,,,Submodule has component candidates and no allocation blocker.
