id,moduleId,moduleName,subModuleId,subModuleName,verdict,purposePresent,componentWordCount,interfaceCount,linkedRequirementCount,criticalComponentCount,duplicateComponentCount,carrierContractCount,missingCarrierContractCount,localOnlyInterfaceCount,reviewQuestions,acceptedReviewQuestions,blockedReviewQuestions,verificationActivities,acceptedVerificationActivities,blockedVerificationActivities,criticalUnpricedLines,passRatio,blockers,requiredAction
structure_containment:carbon_airframe,structure_containment,Airframe Structure And Payload Mounting,carbon_airframe,Carbon airframe,review,yes,5,3,0,1,0,0,0,3,2,0,0,2,0,0,1,0.6667,,"Review 3 local-only interface declaration(s): motor_mounts, payload_mount, battery_mount. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
structure_containment:payload_mounting,structure_containment,Airframe Structure And Payload Mounting,payload_mounting,Payload mounting,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): payload_mount, video_link. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
structure_containment:battery_mounting,structure_containment,Airframe Structure And Payload Mounting,battery_mounting,Battery mounting,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): battery_mount, power_bus. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
energy_storage_source:flight_battery_pack,energy_storage_source,Flight Energy Storage,flight_battery_pack,Flight battery pack,review,yes,5,3,1,1,0,1,0,2,3,0,0,4,0,0,1,0.6667,,"Review 2 local-only interface declaration(s): charger_interface, battery_mount. 3 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence."
energy_storage_source:power_monitoring,energy_storage_source,Flight Energy Storage,power_monitoring,Power monitoring,review,yes,4,2,0,0,0,1,0,1,3,0,0,2,0,0,0,0.6667,,Review 1 local-only interface declaration(s): sensor_bus. 3 engineering review question(s) await acceptance. 2 verification activity row(s) await accepted evidence.
energy_storage_source:charging_interface,energy_storage_source,Flight Energy Storage,charging_interface,Charging interface,review,yes,4,2,0,0,0,0,0,2,2,0,0,1,0,0,0,0.6667,,"Review 2 local-only interface declaration(s): charger_interface, service_access. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence."
actuation_kinematics:motor_sets,actuation_kinematics,Propulsion And Flight Actuation,motor_sets,Motor sets,review,yes,4,3,1,1,0,2,0,1,4,0,0,5,0,0,1,0.6667,,Review 1 local-only interface declaration(s): motor_mounts. 4 engineering review question(s) await acceptance. 4 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
actuation_kinematics:esc_stack,actuation_kinematics,Propulsion And Flight Actuation,esc_stack,ESC stack,review,yes,5,3,0,1,0,2,0,1,4,0,0,4,0,0,1,0.6667,,Review 1 local-only interface declaration(s): sensor_bus. 4 engineering review question(s) await acceptance. 3 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
actuation_kinematics:propeller_sets,actuation_kinematics,Propulsion And Flight Actuation,propeller_sets,Propeller sets,review,yes,4,1,0,1,0,0,0,1,2,0,0,2,0,0,1,0.6667,,Review 1 local-only interface declaration(s): motor_mounts. 2 engineering review question(s) await acceptance. 1 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
control_compute_communication:flight_controller_stack,control_compute_communication,Flight Control Compute And Communications,flight_controller_stack,Flight controller stack,review,yes,5,3,1,1,0,2,0,1,4,0,0,5,0,0,1,0.6667,,Review 1 local-only interface declaration(s): power_bus. 4 engineering review question(s) await acceptance. 4 verification activity row(s) await accepted evidence. 1 critical component line(s) still need source-backed cost/manufacturer/MPN evidence.
