id,kind,priority,status,scope,reviewerQuestion,evidenceRequired,acceptanceCriteria,linkedModuleIds,linkedSubModuleIds,linkedComponentWordIds,linkedRequirementIds,linkedInterfaceIds,linkedCalculationIds,blockers
assumption_resolution:compliance:EN-14511,assumption_resolution,major,needs_review,EN-14511,"Can the EN-14511 assumption be accepted for architecture review, or must it be replaced with evidence?","Capacity, COP and operating-point test evidence.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:EN-378,assumption_resolution,major,needs_review,EN-378,"Can the EN-378 assumption be accepted for architecture review, or must it be replaced with evidence?","Refrigerant charge, pressure protection and safety assessment.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:compliance:EN-60335-2-40,assumption_resolution,major,needs_review,EN-60335-2-40,"Can the EN-60335-2-40 assumption be accepted for architecture review, or must it be replaced with evidence?","Electrical safety, leakage, temperature and abnormal-operation evidence.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:component:control_compute_communication_main_controller_heat_pump_controller_pcb,assumption_resolution,major,needs_review,Heat pump controller PCB,"Can the Heat pump controller PCB assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",control_compute_communication,,heat_pump_controller_pcb,,,,
assumption_resolution:component:energy_conversion_transduction_compressor_inverter_stage_inverter_scroll_compressor,assumption_resolution,major,needs_review,Inverter scroll compressor,"Can the Inverter scroll compressor assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",energy_conversion_transduction,,inverter_scroll_compressor,,,,
assumption_resolution:component:energy_conversion_transduction_expansion_metering_stage_electronic_expansion_valve,assumption_resolution,major,needs_review,Electronic expansion valve,"Can the Electronic expansion valve assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",energy_conversion_transduction,,electronic_expansion_valve,,,,
assumption_resolution:component:environmental_interface_fan_air_path_variable_speed_fan_assembly,assumption_resolution,major,needs_review,Variable-speed fan assembly,"Can the Variable-speed fan assembly assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",environmental_interface,,variable_speed_fan_assembly,,,,
assumption_resolution:component:environmental_interface_outdoor_evaporator_outdoor_finned_evaporator_coil,assumption_resolution,major,needs_review,Outdoor finned evaporator coil,"Can the Outdoor finned evaporator coil assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",environmental_interface,,outdoor_finned_evaporator_coil,,,,
assumption_resolution:component:mass_fluid_transport_process_circulation_pump_group_hydronic_circulation_pump,assumption_resolution,major,needs_review,Hydronic circulation pump,"Can the Hydronic circulation pump assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",mass_fluid_transport_process,,hydronic_circulation_pump,,,,
assumption_resolution:component:mass_fluid_transport_process_condenser_heat_exchanger_brazed_plate_heat_exchanger,assumption_resolution,major,needs_review,Brazed plate heat exchanger,"Can the Brazed plate heat exchanger assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",mass_fluid_transport_process,,brazed_plate_heat_exchanger,,,,
assumption_resolution:component:mass_fluid_transport_process_hydronic_safety_group_hydronic_safety_valve_kit,assumption_resolution,major,needs_review,Hydronic safety valve kit,"Can the Hydronic safety valve kit assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",mass_fluid_transport_process,,hydronic_safety_valve_kit,,,,
assumption_resolution:component:sensing_instrumentation_refrigerant_sensing_refrigerant_sensor_and_pressure_transducers,assumption_resolution,major,needs_review,Refrigerant sensor and pressure transducers,"Can the Refrigerant sensor and pressure transducers assumption be accepted for architecture review, or must it be replaced with evidence?","Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",sensing_instrumentation,,refrigerant_sensor_and_pressure_transducers,,,,
assumption_resolution:interface:control_compute_communication:energy_conversion_transduction:control_bus,assumption_resolution,major,needs_review,control_compute_communication -> energy_conversion_transduction,"Can the control_compute_communication -> energy_conversion_transduction assumption be accepted for architecture review, or must it be replaced with evidence?","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,control_bus,,
assumption_resolution:interface:energy_conversion_transduction:mass_fluid_transport_process:hydronic_loop,assumption_resolution,major,needs_review,energy_conversion_transduction -> mass_fluid_transport_process,"Can the energy_conversion_transduction -> mass_fluid_transport_process assumption be accepted for architecture review, or must it be replaced with evidence?","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,hydronic_loop,,
assumption_resolution:interface:environmental_interface:energy_conversion_transduction:refrigerant_loop,assumption_resolution,major,needs_review,environmental_interface -> energy_conversion_transduction,"Can the environmental_interface -> energy_conversion_transduction assumption be accepted for architecture review, or must it be replaced with evidence?","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,refrigerant_loop,,
assumption_resolution:interface:sensing_instrumentation:control_compute_communication:sensor_bus,assumption_resolution,major,needs_review,sensing_instrumentation -> control_compute_communication,"Can the sensing_instrumentation -> control_compute_communication assumption be accepted for architecture review, or must it be replaced with evidence?","Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,sensor_bus,,
assumption_resolution:metric:capex_gbp,assumption_resolution,major,needs_review,Estimated CAPEX,"Can the Estimated CAPEX assumption be accepted for architecture review, or must it be replaced with evidence?",Admit source-backed BoM pricing before treating this cost metric as a claim.,"Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:metric:headline_output,assumption_resolution,major,needs_review,Annual useful heat output,"Can the Annual useful heat output assumption be accepted for architecture review, or must it be replaced with evidence?","Review the formula, input values and operating envelope before treating this metric as a performance claim.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:metric:opex_annual_gbp,assumption_resolution,major,needs_review,Estimated annual OPEX,"Can the Estimated annual OPEX assumption be accepted for architecture review, or must it be replaced with evidence?",Admit source-backed BoM pricing before treating this cost metric as a claim.,"Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",,,,,,,
assumption_resolution:sanity:heatpump_cop_input_power,assumption_resolution,major,needs_review,COP And Input Power,"Can the COP And Input Power assumption be accepted for architecture review, or must it be replaced with evidence?","Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.","Assumption is explicitly accepted, corrected or rejected by an engineering reviewer. Any rejected assumption creates a design-change action before BoM or cost review. Any sourcing-only assumption remains outside engineering sign-off until source evidence is admitted.",energy_conversion_transduction; environmental_interface; mass_fluid_transport_process; control_compute_communication; sensing_instrumentation,,,thermal_output_kw; cop,,,
