activityId,activity,status,evidenceKind,moduleId,moduleName,requirementIds,sanityCheckIds,interfaceIds,componentWordIds,acceptanceCriteria,blockers
design_review:energy_storage_source,Review Energy Storage Source architecture allocation,ready_for_review,design_review,energy_storage_source,Energy Storage Source,capacity_mwh,bess_c_rate; bess_duration; bess_container_energy_density,dc_bus; thermal_loop; bms_network; mechanical_mounts; bms_tap_harness; service_access; sensor_harness; hardwired_trip,lfp_prismatic_cells; cell_to_cell_busbar; cell_terminal_hardware_set; cell_insulation_pad; module_fuse; module_steel_frame; compression_plate; compression_tie_rod_set; module_top_cover; rack_label_plate; bms_slave_pcb; afe_monitor_ic; ntc_thermistor_harness; isolated_can_transceiver; conformal_coating; dc_contactor_or_breaker; precharge_resistor; hv_fuse_holder; pack_current_sensor; service_disconnect; cell_voltage_sense_loom; rack_can_drop_cable; harness_strain_relief_rail; low_smoke_cable_sleeve; rack_cold_plate_manifold; thermally_conductive_gap_pad; coolant_quick_connector_pair; rack_drip_tray; leak_detection_rope,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:energy_storage_source,Verify Energy Storage Source requirement calculations,ready_for_review,calculation,energy_storage_source,Energy Storage Source,capacity_mwh,bess_c_rate; bess_duration; bess_container_energy_density,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:energy_storage_source,Collect source-backed evidence for Energy Storage Source critical components,blocked,source_evidence,energy_storage_source,Energy Storage Source,capacity_mwh,,,dc_contactor_or_breaker,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",dc_contactor_or_breaker
design_review:energy_conversion_transduction,Review Power Conversion System architecture allocation,ready_for_review,design_review,energy_conversion_transduction,Power Conversion System,capacity_mwh; power_mw,bess_c_rate; bess_duration; bess_container_energy_density,dc_bus; ac_bus; modbus_tcp; thermal_path; hardwired_trip; protective_earth,pcs_inverter; igbt_power_module; dc_link_capacitor_bank; gate_driver_board; inverter_control_board; liquid_cooled_heatsink; cast_resin_transformer; hv_winding; lv_winding; temperature_probe; anti_vibration_mount; grid_filter_choke; ac_filter_capacitor; emi_filter_assembly; protective_earth_bar; grid_protection_relay; voltage_sensing_fuse_set; relay_test_block; trip_circuit_monitor; g99_settings_label,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:energy_conversion_transduction,Verify Power Conversion System requirement calculations,ready_for_review,calculation,energy_conversion_transduction,Power Conversion System,capacity_mwh; power_mw,bess_c_rate; bess_duration; bess_container_energy_density,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:energy_conversion_transduction,Collect source-backed evidence for Power Conversion System critical components,blocked,source_evidence,energy_conversion_transduction,Power Conversion System,capacity_mwh; power_mw,,,pcs_inverter,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",pcs_inverter
design_review:structure_containment,Review Container Structure And Fit-Out architecture allocation,ready_for_review,design_review,structure_containment,Container Structure And Fit-Out,mass_kg,bess_container_energy_density,mechanical_mounts; service_access; fire_boundary; lifting_points; protective_earth,corten_steel_side_panel; corner_casting; marine_plywood_floor; roof_panel; steel_stud_frame; fire_rated_board; mineral_wool_insulation; intumescent_sealant; floor_reinforcement_plate; rack_mounting_rail; vibration_isolator; anchor_bolt_set; gland_plate_assembly; firestop_collar_set; emc_cable_gland; rain_drip_shield; penetration_schedule_label,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:structure_containment,Verify Container Structure And Fit-Out requirement calculations,ready_for_review,calculation,structure_containment,Container Structure And Fit-Out,mass_kg,bess_container_energy_density,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
design_review:sensing_instrumentation,Review Sensing And Instrumentation architecture allocation,ready_for_review,design_review,sensing_instrumentation,Sensing And Instrumentation,,,sensor_bus; alarm_bus; bms_network; site_scada; dc_bus; thermal_loop,dc_voltage_transducer; hall_current_sensor; insulation_monitoring_device; auxiliary_metering_transducer; temperature_humidity_sensor; hydrogen_detector; smoke_aspirating_detector; door_position_switch; coolant_inlet_thermistor; coolant_outlet_thermistor; flow_meter; pressure_transducer; fault_recorder_module; event_timestamp_logger; digital_input_card; local_historian_buffer; calibration_certificate_holder,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
design_review:control_compute_communication,Review Control Compute And Communication architecture allocation,ready_for_review,design_review,control_compute_communication,Control Compute And Communication,power_mw,bess_c_rate; bess_duration,bms_network; modbus_tcp; sensor_bus; alarm_bus; site_scada; service_access; hardwired_trip,bms_master_controller; isolation_interface; contactor_driver_output; soc_estimation_firmware; industrial_controller; i_o_expansion_module; network_switch; cellular_router; modbus_tcp_gateway; scada_protocol_adapter; time_synchronisation_module; cybersecurity_firewall; vpn_access_appliance; syslog_collector; account_key_switch; firmware_escrow_tag; configuration_backup_module,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:control_compute_communication,Verify Control Compute And Communication requirement calculations,ready_for_review,calculation,control_compute_communication,Control Compute And Communication,power_mw,bess_c_rate; bess_duration,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
source_evidence:control_compute_communication,Collect source-backed evidence for Control Compute And Communication critical components,blocked,source_evidence,control_compute_communication,Control Compute And Communication,power_mw,,,bms_master_controller,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",bms_master_controller
design_review:safety_protection,Review Safety Protection And Interlocks architecture allocation,ready_for_review,design_review,safety_protection,Safety Protection And Interlocks,,,alarm_bus; hardwired_trip; fire_boundary; dc_bus; ac_bus; service_access; protective_earth,fire_detection_suppression; clean_agent_cylinder; release_solenoid; nozzle_pipework; pressure_switch; e_stop_mushroom_button; safety_relay; dc_shunt_trip_output; ac_breaker_trip_coil; dc_surge_protection_device; ac_surge_protection_device; arc_flash_label_set; protective_earth_bonding_kit; pressure_relief_vent_panel; vent_microswitch; flame_arrestor_mesh; vent_weather_hood; post_event_inspection_tag,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
source_evidence:safety_protection,Collect source-backed evidence for Safety Protection And Interlocks critical components,blocked,source_evidence,safety_protection,Safety Protection And Interlocks,,,,fire_detection_suppression,"Supplier name, manufacturer or equivalent, MPN where applicable, unit cost and source URL/reference are present. Evidence is explicitly retrieved and admissible under the sourcing admission protocol. Claimed quantity and component identity match the architecture candidate line.",fire_detection_suppression
design_review:environmental_interface,Review Environmental Interface architecture allocation,ready_for_review,design_review,environmental_interface,Environmental Interface,,,thermal_loop; thermal_path; electrical_power; sensor_bus; service_access; fire_boundary,container_hvac_unit; air_filter_element; condensate_drain_kit; hvac_controller; intake_louvre; exhaust_louvre; ec_fan_assembly; airflow_baffle; insulation_panel; vapour_barrier_film; thermal_break_strip; seal_gasket_set; dry_cooler_coil; ec_condenser_fan; fan_contactor; coil_guard_grille; drain_safe_condensate_pan,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
design_review:power_distribution,Review DC And AC Power Distribution architecture allocation,ready_for_review,design_review,power_distribution,DC And AC Power Distribution,capacity_mwh; power_mw,bess_c_rate; bess_duration; bess_container_energy_density,dc_bus; ac_bus; electrical_power; protective_earth; hardwired_trip; service_access,copper_dc_busbar; busbar_support_insulator; busbar_shroud; torque_witness_marker; moulded_case_circuit_breaker; ac_contactor; metering_ct_set; terminal_block_assembly; auxiliary_transformer; 24_v_dc_power_supply; miniature_circuit_breaker_bank; ups_module; main_earth_bar; earth_stud_array; lightning_surge_counter; equipotential_bonding_strap; earth_continuity_test_point,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:power_distribution,Verify DC And AC Power Distribution requirement calculations,ready_for_review,calculation,power_distribution,DC And AC Power Distribution,capacity_mwh; power_mw,bess_c_rate; bess_duration; bess_container_energy_density,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
design_review:maintenance_serviceability,Review Maintenance And Serviceability architecture allocation,ready_for_review,design_review,maintenance_serviceability,Maintenance And Serviceability,mass_kg,bess_container_energy_density,service_access; lifting_points; protective_earth; sensor_bus; dc_bus; electrical_power; mechanical_mounts,lockable_access_door; door_seal_gasket; panic_release_latch; door_stay_arm; led_service_luminaire; emergency_light_fitting; maintenance_receptacle; lighting_switchgear; certified_lifting_lug; forklift_pocket_reinforcement; removable_rack_guide; service_trolley_interface; insulated_test_socket; coolant_sampling_port; laptop_service_port; lockout_hasp_rail; commissioning_torque_log_plate,Every submodule has a stated purpose and at least one component candidate. Interfaces named on the module are carried by the responsible submodule where the design depends on that interface. No blocker or major architecture issue is attached to the module.,
calculation:maintenance_serviceability,Verify Maintenance And Serviceability requirement calculations,ready_for_review,calculation,maintenance_serviceability,Maintenance And Serviceability,mass_kg,bess_container_energy_density,,,"Each linked requirement has a calculation, sanity check or clearly stated deferred validation path. No linked sanity check is failing. Warnings have named follow-up calculations or test evidence.",
