id,category,status,scope,assumption,basis,evidenceRequired,linkedRequirements,linkedInterfaces,linkedComponents,blocksArchitecture,blocksBom
brief:dc_power_kw,brief_requirement,brief_supported,DC output power,"DC output power = 150 kW is treated as a design input, not as independently verified truth.",input.brief,"Confirm the requirement value, tolerance, duty cycle, environment and acceptance test with the project owner.",dc_power_kw,,,false,false
metric:headline_output,derived_metric,review_required,Annual energy dispensed,Annual energy dispensed uses dc_power_kw * equivalent_full_power_hours_per_day * days_per_year with medium confidence.,class_pack:ev_charger.class_pack; formula:dc_power_kw * equivalent_full_power_hours_per_day * days_per_year,"Review the formula, input values and operating envelope before treating this metric as a performance claim.",,,,false,false
metric:capex_gbp,derived_metric,source_required,Estimated CAPEX,Estimated CAPEX uses an implicit model with low confidence.,formula:capex=sum(bom.totalCostGbp); class_pack:ev_charger.class_pack,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,true
metric:opex_annual_gbp,derived_metric,source_required,Estimated annual OPEX,Estimated annual OPEX uses an implicit model with low confidence.,formula:opex=capex*0.04,Admit source-backed BoM pricing before treating this cost metric as a claim.,,,,false,true
sanity:evcharger_power_level,sanity_envelope,review_required,DC Charger Power Level,"DC Charger Power Level currently evaluates as pass against 50 to 350 kW for common public DC fast-charger classes; >350 kW needs heavier cable, grid and cooling evidence.",brief:input.brief; model:engineering_sanity.ev_charger; model:engineering_sanity.ev_charger,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",dc_power_kw,,,false,false
sanity:evcharger_protocol_closure,sanity_envelope,review_required,Vehicle/Backend Protocol Closure,"Vehicle/Backend Protocol Closure currently evaluates as pass against CCS2, ISO 15118 PLC, OCPP network and metering bus present.",model:engineering_sanity.ev_charger; model:engineering_sanity.ev_charger,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",dc_power_kw,,,false,false
sanity:evcharger_power_safety_chain,sanity_envelope,review_required,Power And Safety Chain,"Power And Safety Chain currently evaluates as pass against AC input, DC output, cooling, insulation monitoring, emergency stop and protective earth present.",model:engineering_sanity.ev_charger; model:engineering_sanity.ev_charger,"Supply an engineering calculation, reviewer note, test plan or datasheet-backed rationale for this envelope.",dc_power_kw,,,false,false
interface:power_distribution:energy_conversion_transduction:ac_input_bus,interface_closure,model_present,power_distribution -> energy_conversion_transduction,ac_input_bus is named on both endpoint modules in the generated architecture.,Grid input switchgear must feed the power-conversion stack over a protected AC bus.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,ac_input_bus,,false,false
interface:energy_conversion_transduction:charging_connector_interface:dc_output_bus,interface_closure,model_present,energy_conversion_transduction -> charging_connector_interface,dc_output_bus is named on both endpoint modules in the generated architecture.,Power modules must feed the CCS2 connector over a protected DC output bus.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,dc_output_bus,,false,false
interface:control_compute_communication:charging_connector_interface:iso15118_plc,interface_closure,model_present,control_compute_communication -> charging_connector_interface,iso15118_plc is named on both endpoint modules in the generated architecture.,Charge controller must communicate with the vehicle for ISO 15118 / PLC handshakes.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,iso15118_plc,,false,false
interface:control_compute_communication:energy_conversion_transduction:control_bus,interface_closure,model_present,control_compute_communication -> energy_conversion_transduction,control_bus is named on both endpoint modules in the generated architecture.,Charge controller must command power module output states.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,control_bus,,false,false
interface:sensing_instrumentation:control_compute_communication:metering_bus,interface_closure,model_present,sensing_instrumentation -> control_compute_communication,metering_bus is named on both endpoint modules in the generated architecture.,Energy and safety measurements must feed session control and billing.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,metering_bus,,false,false
interface:environmental_interface:energy_conversion_transduction:coolant_loop,interface_closure,model_present,environmental_interface -> energy_conversion_transduction,coolant_loop is named on both endpoint modules in the generated architecture.,Power conversion heat must couple into the charger cooling loop.,"Review the interface carrier, direction, capacity, safety margin and failure mode before detailed design or sourcing.",,coolant_loop,,false,false
component:power_distribution_ac_input_switchgear_ac_input_breaker_and_spd,critical_component,source_required,AC input breaker and SPD,AC input breaker and SPD is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.ev_charger,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,ac_input_breaker_and_spd,false,true
component:power_distribution_dc_output_switchgear_dc_output_contactor_set,critical_component,source_required,DC output contactor set,DC output contactor set is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.ev_charger,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,dc_output_contactor_set,false,true
component:power_distribution_billing_metering_branch_mid_energy_meter,critical_component,source_required,MID energy meter,MID energy meter is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.ev_charger,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,mid_energy_meter,false,true
component:energy_conversion_transduction_rectifier_power_modules_power_module_stack,critical_component,source_required,Power module stack,Power module stack is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.ev_charger,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,power_module_stack,false,true
component:charging_connector_interface_ccs2_cable_connector_ccs2_liquid_cooled_cable_and_connector,critical_component,source_required,CCS2 liquid-cooled cable and connector,CCS2 liquid-cooled cable and connector is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.ev_charger,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,ccs2_liquid_cooled_cable_and_connector,false,true
component:charging_connector_interface_vehicle_communication_frontend_iso_15118_plc_modem,critical_component,source_required,ISO 15118 PLC modem,ISO 15118 PLC modem is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.ev_charger,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,iso_15118_plc_modem,false,true
component:control_compute_communication_backend_gateway_ocpp_communications_gateway,critical_component,source_required,OCPP communications gateway,OCPP communications gateway is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.ev_charger,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,ocpp_communications_gateway,false,true
component:control_compute_communication_protocol_stack_iso_15118_plc_modem,critical_component,source_required,ISO 15118 PLC modem,ISO 15118 PLC modem is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.ev_charger,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,iso_15118_plc_modem,false,true
component:sensing_instrumentation_energy_metering_mid_energy_meter,critical_component,source_required,MID energy meter,MID energy meter is a critical architecture-derived component candidate with quantity 1 candidate.,model:scratch_universal_architecture.ev_charger,"Admit supplier, manufacturer, MPN where applicable, unit cost, lead time and evidence reference through sourcing intake.",,,mid_energy_meter,false,true
