id,kind,status,basis,scope,claim,provenanceRefs,sourceRefs,reviewerEvidenceRefs,linkedRequirementIds,linkedModuleIds,linkedComponentWordIds,blocksBom,blocksPublish,nextAction
brief_requirement:capacity_mwh,brief_requirement,brief_supplied,brief,Energy capacity,Energy capacity = 3.5 MWh.,brief:input.brief,,,capacity_mwh,energy_storage_source; energy_conversion_transduction; power_distribution,lfp_prismatic_cells; pcs_inverter; copper_dc_busbar,false,false,"Confirm requirement value, tolerance and acceptance condition with the project owner."
brief_requirement:mass_kg,brief_requirement,brief_supplied,brief,Mass constraint,Mass constraint = 28000 kg.,brief:input.brief,,,mass_kg,structure_containment; maintenance_serviceability,corten_steel_side_panel; lockable_access_door,false,false,"Confirm requirement value, tolerance and acceptance condition with the project owner."
brief_requirement:power_mw,brief_requirement,brief_supplied,brief,Power rating,Power rating = 1 MW.,brief:input.brief,,,power_mw,energy_conversion_transduction; power_distribution; control_compute_communication,pcs_inverter; copper_dc_busbar; bms_master_controller,false,false,"Confirm requirement value, tolerance and acceptance condition with the project owner."
bom_source_field:control_compute_communication_bms_master_bms_master_controller:lead_time_weeks,bom_source_field,source_backed,source_evidence,BMS master controller / lead_time_weeks,lead_time_weeks = 8.,,test-fixture://review-evidence-closure/source/bms_master_controller,,power_mw,control_compute_communication,bms_master_controller,false,false,Keep source record attached; refresh evidence before procurement use.
bom_source_field:control_compute_communication_bms_master_bms_master_controller:manufacturer,bom_source_field,source_backed,source_evidence,BMS master controller / manufacturer,manufacturer = Protocol Evidence Manufacturer.,,test-fixture://review-evidence-closure/source/bms_master_controller,,power_mw,control_compute_communication,bms_master_controller,false,false,Keep source record attached; refresh evidence before procurement use.
bom_source_field:control_compute_communication_bms_master_bms_master_controller:mpn,bom_source_field,source_backed,source_evidence,BMS master controller / mpn,mpn = PROTOCOL-84-bms_master_controller.,,test-fixture://review-evidence-closure/source/bms_master_controller,,power_mw,control_compute_communication,bms_master_controller,false,false,Keep source record attached; refresh evidence before procurement use.
bom_source_field:control_compute_communication_bms_master_bms_master_controller:supplier,bom_source_field,source_backed,source_evidence,BMS master controller / supplier,supplier = Protocol Evidence Supplier.,,test-fixture://review-evidence-closure/source/bms_master_controller,,power_mw,control_compute_communication,bms_master_controller,false,false,Keep source record attached; refresh evidence before procurement use.
bom_source_field:control_compute_communication_bms_master_bms_master_controller:unit_cost_gbp,bom_source_field,source_backed,source_evidence,BMS master controller / unit_cost_gbp,unit_cost_gbp = 183.,,test-fixture://review-evidence-closure/source/bms_master_controller,,power_mw,control_compute_communication,bms_master_controller,false,false,Keep source record attached; refresh evidence before procurement use.
bom_source_field:control_compute_communication_bms_master_contactor_driver_output:lead_time_weeks,bom_source_field,source_backed,source_evidence,contactor driver output / lead_time_weeks,lead_time_weeks = 8.,,test-fixture://review-evidence-closure/source/contactor_driver_output,,,control_compute_communication,contactor_driver_output,false,false,Keep source record attached; refresh evidence before procurement use.
bom_source_field:control_compute_communication_bms_master_contactor_driver_output:manufacturer,bom_source_field,source_backed,source_evidence,contactor driver output / manufacturer,manufacturer = Protocol Evidence Manufacturer.,,test-fixture://review-evidence-closure/source/contactor_driver_output,,,control_compute_communication,contactor_driver_output,false,false,Keep source record attached; refresh evidence before procurement use.
bom_source_field:control_compute_communication_bms_master_contactor_driver_output:mpn,bom_source_field,source_backed,source_evidence,contactor driver output / mpn,mpn = PROTOCOL-86-contactor_driver_output.,,test-fixture://review-evidence-closure/source/contactor_driver_output,,,control_compute_communication,contactor_driver_output,false,false,Keep source record attached; refresh evidence before procurement use.
bom_source_field:control_compute_communication_bms_master_contactor_driver_output:supplier,bom_source_field,source_backed,source_evidence,contactor driver output / supplier,supplier = Protocol Evidence Supplier.,,test-fixture://review-evidence-closure/source/contactor_driver_output,,,control_compute_communication,contactor_driver_output,false,false,Keep source record attached; refresh evidence before procurement use.
bom_source_field:control_compute_communication_bms_master_contactor_driver_output:unit_cost_gbp,bom_source_field,source_backed,source_evidence,contactor driver output / unit_cost_gbp,unit_cost_gbp = 185.,,test-fixture://review-evidence-closure/source/contactor_driver_output,,,control_compute_communication,contactor_driver_output,false,false,Keep source record attached; refresh evidence before procurement use.
